# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:02      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	 861.68 [111.35s]      	41011.7 [222.45s]      	40851.9 [222.5s]      	-10923.9 [204.9s]      	-10895.4 [204.9s]      	6.62662 [114.75s]      	4.76881 [126.35s]      	-4.78213 [264.2s]      	414.251 [101.7s]      
    Max      	1960.69 [131.25s]      	48571.6 [137.35s]      	43399.6 [114.95s]      	23190.1 [145.3s]      	23195.1 [145.3s]      	6.69103 [118.65s]      	5.47704 [114.35s]      	-2.11673 [133.55s]      	623.374 [137.55s]      
   Mean      	1468.67      	44112.8      	41995.9      	6046.55      	   6063      	6.65897      	5.11186      	-3.44532      	509.268      
Standard deviation      	380.102      	2271.29      	624.314      	12119.3      	12110.9      	0.0169894      	0.209656      	0.947808      	 72.274      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	9.29266e-11      	1.63132e-10      	-1.55273e-10      	4.94881e-11      	4.93237e-11      	9.90002      	-3.91317      	-1.78915      	-2.68828e-12      
   0.05      	1870.08      	128.237      	97.9311      	82.6058      	82.6797      	9.90002      	-3.90224      	-1.78774      	3.49626      
    0.1      	678.317      	141.521      	138.988      	-25.7599      	-25.5952      	9.80004      	-3.86741      	-1.78653      	3.21318      
   0.15      	946.119      	137.106      	136.917      	-0.669046      	-0.495016      	9.70006      	-3.81086      	-1.78977      	3.97518      
    0.2      	1571.06      	402.644      	401.834      	16.5552      	16.9052      	9.60008      	-3.73176      	-1.79396      	8.38694      
   0.25      	325.509      	938.394      	936.767      	-35.9137      	-35.4671      	9.50009      	-3.63431      	-1.79715      	9.45676      
    0.3      	1766.05      	1328.46      	1325.62      	63.0309      	63.5954      	9.40011      	-3.53332      	-1.79988      	14.3173      
   0.35      	560.354      	1776.16      	1774.35      	-16.198      	-15.6642      	9.30013      	-3.43579      	-1.80671      	11.8854      
    0.4      	 1203.5      	2403.57      	2400.57      	56.2259      	56.9296      	9.20015      	-3.34302      	-1.82298      	17.3595      
   0.45      	1253.59      	 2944.4      	2940.77      	67.9897      	68.6584      	9.10017      	-3.24806      	-1.84013      	16.8151      
    0.5      	584.461      	3675.87      	3672.29      	17.5678      	18.2642      	9.00019      	-3.1487      	-1.8565      	16.3503      
   0.55      	1624.38      	4237.02      	4230.49      	144.009      	144.765      	8.90021      	-3.04879      	-1.87824      	20.4953      
    0.6      	534.227      	4781.84      	4776.25      	98.7131      	99.2704      	8.80023      	-2.95249      	-1.90129      	14.9308      
