# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:04      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	15515.2 [119.2s]      	1.96092e+07 [118.55s]      	19609.2 [118.55s]      	-521.611 [364.2s]      	7.55083 [299.1s]      	7.55083 [299.1s]      	428.102 [100.05s]      	      0 [100.05s]      
    Max      	15555.2 [176s]      	1.9624e+07 [100.05s]      	  19624 [100.05s]      	547.542 [114.55s]      	7.56939 [697.15s]      	7.56939 [697.15s]      	3016.96 [700.05s]      	      0 [100.05s]      
   Mean      	15533.1      	1.96204e+07      	19620.4      	207.857      	   7.56      	   7.56      	1722.53      	      0      
Standard deviation      	8.89183      	4397.43      	4.39742      	221.349      	0.00427198      	0.00427198      	 747.43      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	13756.6      	1.87665e+07      	18766.5      	-18766.5      	      7      	      7      	0.191064      	      0      
   0.05      	13756.6      	1.87665e+07      	18766.5      	-18766.4      	      7      	      7      	0.191064      	      0      
    0.1      	13592.2      	1.85415e+07      	18541.5      	-18540.5      	7.00028      	7.00028      	0.379844      	      0      
   0.15      	13601.1      	1.85416e+07      	18541.6      	-18538.2      	7.00486      	7.00486      	0.568748      	      0      
    0.2      	13576.4      	1.85416e+07      	18541.6      	 -18534      	6.99214      	6.99214      	0.75731      	      0      
   0.25      	13575.4      	1.85415e+07      	18541.5      	 -18527      	6.99165      	6.99165      	0.945858      	      0      
    0.3      	13561.5      	1.85414e+07      	18541.4      	 -18517      	6.98454      	6.98454      	1.13421      	      0      
   0.35      	13556.7      	1.8541e+07      	  18541      	-18502.6      	6.98219      	6.98219      	 1.3225      	      0      
    0.4      	13563.7      	1.85405e+07      	18540.5      	-18483.2      	6.98598      	6.98598      	1.51088      	      0      
   0.45      	13548.9      	1.85398e+07      	18539.8      	-18458.7      	6.97863      	6.97863      	1.69906      	      0      
