# Sensor: Sensor Sea      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:03      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      
Time [s]      	Surface elevation (origin)      [      m      ]      	Dynamic pressure (origin)      [   k Pa      ]      
----------	----------	----------      
    Min      	 -0.918 [444.6s]      	-9.24467 [444.6s]      
    Max      	  0.918 [299.5s]      	9.24467 [299.5s]      
   Mean      	-0.00326307      	-0.0328606      
Standard deviation      	0.648653      	6.53223      
----------	----------	----------      
      0      	      0      	      0      
   0.05      	0.0387465      	0.390194      
    0.1      	0.0774239      	0.779693      
   0.15      	0.115963      	 1.1678      
    0.2      	0.154296      	1.55383      
   0.25      	0.192354      	1.93709      
    0.3      	0.230069      	 2.3169      
   0.35      	0.267374      	2.69257      
    0.4      	0.304202      	3.06345      
   0.45      	0.340488      	3.42887      
    0.5      	0.376168      	3.78818      
   0.55      	0.411176      	4.14073      
    0.6      	0.445453      	4.48591      
   0.65      	0.478935      	4.82309      
    0.7      	0.511563      	5.15167      
   0.75      	0.54328      	5.47107      
    0.8      	0.574029      	5.78073      
   0.85      	0.603754      	6.08008      
    0.9      	0.632404      	6.36859      
   0.95      	0.659926      	6.64575      
      1      	0.686272      	6.91107      
   1.05      	0.711395      	7.16407      
    1.1      	0.73525      	 7.4043      
   1.15      	0.757795      	7.63134      
    1.2      	0.778989      	7.84477      
   1.25      	0.798795      	8.04422      
    1.3      	0.817177      	8.22934      
   1.35      	0.834103      	8.39979      
    1.4      	0.849542      	8.55527      
   1.45      	0.863467      	 8.6955      
    1.5      	0.875853      	8.82023      
   1.55      	0.886678      	8.92925      
    1.6      	0.895923      	9.02235      
   1.65      	0.903571      	9.09936      
    1.7      	0.909608      	9.16017      
   1.75      	0.914025      	9.20464      
    1.8      	0.916812      	9.23271      
   1.85      	0.917966      	9.24433      
    1.9      	0.917483      	9.23947      
   1.95      	0.915365      	9.21814      
      2      	0.911616      	9.18038      
   2.05      	0.906242      	9.12626      
    2.1      	0.899253      	9.05588      
   2.15      	0.890661      	8.96935      
    2.2      	0.880481      	8.86684      
   2.25      	0.868733      	8.74853      
    2.3      	0.855436      	8.61462      
   2.35      	0.840614      	8.46536      
    2.4      	0.824295      	8.30102      
   2.45      	0.806506      	8.12188      
    2.5      	0.78728      	7.92826      
   2.55      	0.76665      	7.72051      
    2.6      	0.744655      	7.49901      
   2.65      	0.721332      	7.26413      
    2.7      	0.696723      	7.01631      
   2.75      	0.670873      	6.75599      
    2.8      	0.643827      	6.48363      
   2.85      	0.615634      	6.19971      
    2.9      	0.586343      	5.90474      
   2.95      	0.556007      	5.59924      
      3      	0.524681      	5.28377      
   3.05      	0.492419      	4.95888      
    3.1      	0.45928      	4.62515      
   3.15      	0.425322      	4.28318      
    3.2      	0.390606      	3.93358      
   3.25      	0.355194      	3.57696      
    3.3      	0.319149      	3.21397      
   3.35      	0.282535      	2.84525      
    3.4      	0.245417      	2.47146      
   3.45      	0.207862      	2.09327      
    3.5      	0.169937      	1.71134      
   3.55      	0.131709      	1.32637      
    3.6      	0.0932457      	0.939026      
   3.65      	0.0546165      	0.550013      
    3.7      	0.01589      	0.160019      
   3.75      	-0.0228648      	-0.230259      
    3.8      	-0.0615789      	-0.620127      
   3.85      	-0.100183      	-1.00889      
    3.9      	-0.138609      	-1.39586      
   3.95      	-0.176788      	-1.78033      
      4      	-0.214651      	-2.16164      
   4.05      	-0.252133      	-2.53909      
    4.1      	-0.289164      	-2.91201      
   4.15      	-0.325681      	-3.27975      
    4.2      	-0.361617      	-3.64164      
   4.25      	-0.396908      	-3.99704      
    4.3      	-0.431492      	-4.34532      
   4.35      	-0.465307      	-4.68585      
    4.4      	-0.498293      	-5.01803      
   4.45      	-0.53039      	-5.34127      
    4.5      	-0.561542      	-5.65498      
   4.55      	-0.591694      	-5.95862      
    4.6      	-0.620791      	-6.25164      
   4.65      	-0.648781      	-6.53352      
    4.7      	-0.675616      	-6.80375      
   4.75      	-0.701246      	-7.06186      
    4.8      	-0.725626      	-7.30738      
   4.85      	-0.748713      	-7.53988      
    4.9      	-0.770466      	-7.75893      
   4.95      	-0.790845      	-7.96416      
      5      	-0.809815      	-8.1552      
   5.05      	-0.827342      	-8.3317      
    5.1      	-0.843394      	-8.49335      
   5.15      	-0.857943      	-8.63987      
    5.2      	-0.870962      	-8.77098      
   5.25      	-0.88243      	-8.88647      
    5.3      	-0.892325      	-8.98611      
   5.35      	-0.900629      	-9.06974      
    5.4      	-0.907329      	-9.13721      
   5.45      	-0.912411      	-9.18839      
    5.5      	-0.915867      	-9.22319      
   5.55      	-0.917691      	-9.24156      
    5.6      	-0.917879      	-9.24345      
   5.65      	-0.916431      	-9.22887      
    5.7      	-0.91335      	-9.19784      
   5.75      	-0.908641      	-9.15042      
    5.8      	-0.902313      	-9.08669      
   5.85      	-0.894376      	-9.00677      
    5.9      	-0.884846      	-8.91079      
   5.95      	-0.873738      	-8.79894      
      6      	-0.861073      	-8.6714      
   6.05      	-0.846874      	-8.5284      
    6.1      	-0.831165      	-8.37021      
   6.15      	-0.813975      	-8.19709      
    6.2      	-0.795334      	-8.00937      
   6.25      	-0.775276      	-7.80737      
    6.3      	-0.753836      	-7.59146      
   6.35      	-0.731052      	-7.36202      
    6.4      	-0.706965      	-7.11946      
   6.45      	-0.681619      	-6.86421      
    6.5      	-0.655057      	-6.59672      
   6.55      	-0.627328      	-6.31748      
    6.6      	-0.598482      	-6.02698      
   6.65      	-0.568568      	-5.72573      
    6.7      	-0.537641      	-5.41429      
   6.75      	-0.505756      	-5.09319      
    6.8      	-0.472969      	-4.76301      
   6.85      	-0.43934      	-4.42435      
    6.9      	-0.404927      	-4.0778      
   6.95      	-0.369793      	-3.72398      
      7      	 -0.334      	-3.36353      
   7.05      	-0.297611      	-2.99708      
    7.1      	-0.260692      	-2.62529      
   7.15      	-0.223308      	-2.24882      
    7.2      	-0.185527      	-1.86834      
   7.25      	-0.147415      	-1.48453      
    7.3      	-0.109039      	-1.09808      
   7.35      	-0.0704701      	-0.709666      
    7.4      	-0.0317752      	-0.319991      
   7.45      	0.00697637      	0.0702552      
    7.5      	0.0457155      	0.460376      
   7.55      	0.0843732      	0.849676      
    7.6      	0.12288      	1.23746      
   7.65      	0.161169      	1.62304      
    7.7      	0.19917      	2.00573      
   7.75      	0.236816      	2.38484      
    7.8      	0.27404      	 2.7597      
   7.85      	0.310775      	3.12965      
    7.9      	0.346957      	3.49401      
   7.95      	0.38252      	3.85215      
      8      	0.417402      	4.20343      
   8.05      	0.45154      	4.54721      
    8.1      	0.484873      	4.88288      
   8.15      	0.517341      	5.20986      
    8.2      	0.548888      	5.52755      
   8.25      	0.579456      	5.83539      
    8.3      	0.608992      	6.13282      
   8.35      	0.637442      	6.41933      
    8.4      	0.664757      	 6.6944      
   8.45      	0.690886      	6.95753      
    8.5      	0.715784      	7.20827      
   8.55      	0.739406      	7.44615      
    8.6      	0.761711      	7.67077      
   8.65      	0.782658      	7.88172      
    8.7      	0.80221      	8.07861      
   8.75      	0.820332      	8.26111      
    8.8      	0.836992      	8.42889      
   8.85      	0.852161      	8.58164      
    8.9      	0.865811      	 8.7191      
   8.95      	0.877917      	8.84102      
      9      	0.888459      	8.94718      
   9.05      	0.897418      	 9.0374      
    9.1      	0.904777      	9.11151      
   9.15      	0.910523      	9.16938      
    9.2      	0.914647      	9.21091      
   9.25      	0.917141      	9.23602      
    9.3      	0.917999      	9.24467      
   9.35      	0.917222      	9.23684      
    9.4      	0.91481      	9.21255      
   9.45      	0.910768      	9.17184      
    9.5      	0.905103      	9.11479      
   9.55      	0.897824      	9.04149      
    9.6      	0.888945      	8.95207      
   9.65      	0.878482      	8.84671      
    9.7      	0.866453      	8.72557      
   9.75      	0.85288      	8.58888      
    9.8      	0.837787      	8.43689      
   9.85      	 0.8212      	8.26985      
    9.9      	0.80315      	8.08808      
   9.95      	0.783669      	 7.8919      
     10      	0.762791      	7.68165      
  10.05      	0.740553      	 7.4577      
   10.1      	0.716996      	7.22047      
  10.15      	0.69216      	6.97037      
   10.2      	0.666092      	6.70784      
  10.25      	0.638835      	6.43336      
   10.3      	0.610441      	6.14741      
  10.35      	0.580958      	5.85051      
   10.4      	0.55044      	5.54318      
  10.45      	0.518941      	5.22597      
   10.5      	0.486517      	4.89944      
  10.55      	0.453226      	4.56419      
   10.6      	0.419127      	 4.2208      
  10.65      	0.384281      	3.86988      
   10.7      	0.348751      	3.51207      
  10.75      	0.312598      	  3.148      
   10.8      	0.275889      	2.77832      
  10.85      	0.238688      	2.40369      
   10.9      	0.201061      	2.02478      
  10.95      	0.163076      	1.64225      
     11      	0.124801      	 1.2568      
  11.05      	0.0863027      	0.869107      
   11.1      	0.0476509      	0.479866      
  11.15      	0.0089142      	0.08977      
   11.2      	-0.0298384      	-0.300486      
  11.25      	-0.0685378      	-0.690207      
   11.3      	-0.107115      	-1.0787      
  11.35      	-0.145501      	-1.46526      
   11.4      	-0.183628      	-1.84922      
  11.45      	-0.221428      	-2.22988      
   11.5      	-0.258833      	-2.60657      
  11.55      	-0.295777      	-2.97861      
   11.6      	-0.332194      	-3.34534      
  11.65      	-0.368018      	-3.70611      
