# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:14      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	15484.5 [122.95s]      	1.95976e+07 [204.65s]      	19597.6 [204.65s]      	-1608.76 [394.55s]      	7.53492 [122.95s]      	7.53492 [122.95s]      	406.435 [100.05s]      	      0 [100.05s]      
    Max      	15581.3 [126.9s]      	1.9624e+07 [103.15s]      	  19624 [103.15s]      	 1085.7 [607.2s]      	7.58318 [108.4s]      	7.58318 [108.4s]      	2994.81 [700.05s]      	      0 [100.05s]      
   Mean      	15530.2      	1.96169e+07      	19616.9      	166.664      	7.55996      	7.55996      	1700.62      	      0      
Standard deviation      	20.6377      	 8793.5      	 8.7935      	 647.77      	0.0101995      	0.0101995      	747.295      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	13756.6      	1.87665e+07      	18766.5      	-18766.5      	      7      	      7      	0.191064      	      0      
   0.05      	13756.6      	1.87665e+07      	18766.5      	-18766.8      	      7      	      7      	0.191064      	      0      
    0.1      	13588.6      	1.85415e+07      	18541.5      	-18543.3      	6.99844      	6.99844      	0.379794      	      0      
   0.15      	13588.8      	1.85415e+07      	18541.5      	-18547.5      	6.99852      	6.99852      	0.568527      	      0      
    0.2      	  13559      	1.85414e+07      	18541.4      	-18555.4      	6.98323      	6.98323      	0.756847      	      0      
   0.25      	13552.4      	1.85412e+07      	18541.2      	-18567.6      	6.97995      	6.97995      	0.945075      	      0      
    0.3      	13541.8      	1.85407e+07      	18540.7      	-18585.4      	6.97463      	6.97463      	1.13316      	      0      
   0.35      	13537.5      	1.85399e+07      	18539.9      	-18607.9      	6.97273      	6.97273      	1.32118      	      0      
