# Sensor: Sensor Sea      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:13      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      
Time [s]      	Surface elevation (origin)      [      m      ]      	Dynamic pressure (origin)      [   k Pa      ]      
----------	----------	----------      
    Min      	 -2.258 [536.4s]      	-22.7391 [536.4s]      
    Max      	  2.258 [418.25s]      	22.7391 [418.25s]      
   Mean      	-0.0100953      	-0.101664      
Standard deviation      	 1.5968      	16.0805      
----------	----------	----------      
      0      	      0      	      0      
   0.05      	0.0750361      	0.755647      
    0.1      	0.149989      	1.51046      
   0.15      	0.224777      	 2.2636      
    0.2      	0.299316      	3.01425      
   0.25      	0.373525      	3.76156      
    0.3      	0.447321      	4.50472      
   0.35      	0.520622      	 5.2429      
    0.4      	0.593349      	5.97529      
   0.45      	0.665421      	6.70108      
    0.5      	0.736757      	7.41947      
   0.55      	0.807279      	8.12967      
    0.6      	0.87691      	8.83088      
   0.65      	0.945572      	9.52234      
    0.7      	1.01319      	10.2033      
   0.75      	1.07969      	10.8729      
    0.8      	1.14499      	11.5306      
   0.85      	1.20903      	12.1755      
    0.9      	1.27174      	 12.807      
   0.95      	1.33304      	13.4243      
      1      	1.39287      	14.0268      
   1.05      	1.45116      	14.6138      
    1.1      	1.50785      	15.1847      
   1.15      	1.56287      	15.7388      
    1.2      	1.61616      	16.2755      
   1.25      	1.66767      	16.7942      
    1.3      	1.71734      	17.2944      
   1.35      	1.76511      	17.7754      
    1.4      	1.81093      	18.2369      
   1.45      	1.85475      	18.6782      
    1.5      	1.89652      	19.0988      
   1.55      	 1.9362      	19.4984      
    1.6      	1.97373      	19.8764      
   1.65      	2.00909      	20.2325      
    1.7      	2.04223      	20.5662      
   1.75      	2.07311      	20.8772      
    1.8      	 2.1017      	21.1651      
   1.85      	2.12797      	21.4297      
    1.9      	2.15189      	21.6705      
   1.95      	2.17344      	21.8875      
      2      	2.19258      	22.0803      
   2.05      	 2.2093      	22.2486      
    2.1      	2.22358      	22.3924      
   2.15      	 2.2354      	22.5115      
    2.2      	2.24476      	22.6057      
   2.25      	2.25163      	 22.675      
    2.3      	2.25602      	22.7191      
   2.35      	2.25792      	22.7382      
    2.4      	2.25732      	22.7322      
   2.45      	2.25422      	22.7011      
    2.5      	2.24864      	22.6448      
   2.55      	2.24058      	22.5636      
    2.6      	2.23004      	22.4575      
   2.65      	2.21703      	22.3265      
    2.7      	2.20158      	22.1709      
   2.75      	2.18369      	21.9908      
    2.8      	 2.1634      	21.7864      
   2.85      	2.14071      	21.5579      
    2.9      	2.11566      	21.3056      
   2.95      	2.08827      	21.0298      
      3      	2.05857      	20.7307      
   3.05      	 2.0266      	20.4088      
    3.1      	1.99239      	20.0643      
   3.15      	1.95599      	19.6977      
    3.2      	1.91742      	19.3092      
   3.25      	1.87673      	18.8995      
    3.3      	1.83397      	18.4689      
   3.35      	1.78918      	18.0179      
    3.4      	1.74242      	17.5469      
   3.45      	1.69373      	17.0566      
    3.5      	1.64317      	16.5475      
   3.55      	 1.5908      	16.0201      
    3.6      	1.53667      	15.4749      
   3.65      	1.48084      	14.9127      
    3.7      	1.42338      	 14.334      
   3.75      	1.36434      	13.7395      
    3.8      	 1.3038      	13.1298      
   3.85      	1.24181      	12.5056      
    3.9      	1.17846      	11.8676      
   3.95      	 1.1138      	11.2165      
      4      	1.04791      	 10.553      
   4.05      	0.980868      	9.87779      
    4.1      	0.91274      	 9.1917      
   4.15      	0.843604      	8.49547      
    4.2      	0.773535      	7.78985      
   4.25      	0.702612      	7.07562      
    4.3      	0.630913      	6.35358      
   4.35      	0.558517      	5.62452      
    4.4      	0.485504      	4.88925      
   4.45      	0.411955      	4.14857      
    4.5      	0.337951      	3.40332      
   4.55      	0.263573      	 2.6543      
    4.6      	0.188905      	1.90235      
   4.65      	0.114027      	1.14831      
    4.7      	0.039024      	0.392989      
   4.75      	-0.0360224      	-0.362762      
    4.8      	-0.111029      	-1.11811      
   4.85      	-0.185913      	-1.87223      
    4.9      	-0.260592      	-2.62428      
   4.95      	-0.334982      	-3.37342      
      5      	-0.409003      	-4.11885      
   5.05      	-0.482572      	-4.85972      
    5.1      	-0.555608      	-5.59522      
   5.15      	-0.62803      	-6.32455      
    5.2      	-0.699759      	-7.04688      
   5.25      	-0.770714      	-7.76144      
    5.3      	-0.840818      	-8.46742      
   5.35      	-0.909994      	-9.16404      
    5.4      	-0.978164      	-9.85055      
   5.45      	-1.04525      	-10.5262      
    5.5      	-1.11119      	-11.1902      
   5.55      	-1.1759      	-11.8418      
    5.6      	-1.2393      	-12.4804      
   5.65      	-1.30134      	-13.1051      
    5.7      	-1.36195      	-13.7154      
   5.75      	-1.42104      	-14.3106      
    5.8      	-1.47857      	-14.8899      
   5.85      	-1.53447      	-15.4528      
    5.9      	-1.58867      	-15.9986      
   5.95      	-1.64111      	-16.5267      
      6      	-1.69174      	-17.0366      
   6.05      	-1.74051      	-17.5277      
    6.1      	-1.78735      	-17.9994      
   6.15      	-1.83221      	-18.4512      
    6.2      	-1.87506      	-18.8827      
   6.25      	-1.91583      	-19.2933      
    6.3      	-1.95448      	-19.6825      
   6.35      	-1.99098      	-20.0501      
    6.4      	-2.02528      	-20.3954      
   6.45      	-2.05734      	-20.7183      
    6.5      	-2.08712      	-21.0183      
   6.55      	-2.11461      	-21.295      
    6.6      	-2.13975      	-21.5483      
   6.65      	-2.16253      	-21.7777      
    6.7      	-2.18293      	-21.9831      
   6.75      	-2.20091      	-22.1641      
    6.8      	-2.21646      	-22.3207      
   6.85      	-2.22956      	-22.4527      
    6.9      	-2.2402      	-22.5598      
   6.95      	-2.24837      	-22.6421      
      7      	-2.25405      	-22.6993      
   7.05      	-2.25724      	-22.7314      
    7.1      	-2.25794      	-22.7385      
