# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:36:59      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	736.322 [101.1s]      	17445.7 [192.9s]      	16116.6 [142.5s]      	-9870.06 [115.4s]      	-9838.52 [115.4s]      	17.8981 [130.7s]      	-1.61347 [142.7s]      	-1.86733 [174.3s]      	504.602 [186.7s]      
    Max      	1922.54 [660.7s]      	27773.8 [198.45s]      	21804.2 [130.65s]      	21778.9 [174.45s]      	21785.8 [174.45s]      	17.9126 [211.6s]      	-1.01993 [155.1s]      	0.728122 [114.7s]      	655.546 [198.65s]      
   Mean      	1396.53      	22910.7      	18981.5      	5957.84      	5977.04      	17.9054      	-1.32073      	-0.541975      	570.504      
Standard deviation      	406.925      	2764.98      	1707.52      	11525.1      	  11516      	0.00459456      	0.168741      	0.92773      	 45.778      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	5.21675e-10      	9.15795e-10      	8.55531e-10      	3.24012e-10      	3.2454e-10      	   29.9      	-3.43028      	0.115043      	1.91899e-11      
   0.05      	 1870.4      	53.6014      	9.53244      	52.6891      	52.7451      	   29.9      	-3.42033      	0.114197      	2.43504      
    0.1      	677.551      	88.3729      	78.5897      	-40.1565      	-39.9866      	   29.8      	-3.3886      	0.107619      	3.01839      
   0.15      	945.447      	209.138      	208.461      	-12.991      	-12.7357      	29.7001      	-3.33679      	0.0907377      	5.56848      
    0.2      	1569.76      	451.922      	451.372      	6.04087      	 6.4069      	29.6001      	-3.26334      	0.0669847      	8.52363      
   0.25      	324.051      	 1054.8      	1053.64      	-15.818      	-15.3931      	29.5001      	-3.17154      	0.0411938      	9.39535      
    0.3      	1765.02      	1436.41      	1433.96      	54.0581      	54.6108      	29.4001      	-3.07682      	0.0186291      	13.8531      
   0.35      	559.041      	 1860.2      	1858.39      	2.22862      	2.73267      	29.3001      	-2.98854      	-0.00223888      	11.6052      
    0.4      	1203.48      	2520.69      	2517.38      	65.1122      	65.8566      	29.2002      	-2.90745      	-0.0264541      	18.4887      
   0.45      	1252.31      	2938.99      	2935.04      	80.2981      	80.9834      	29.1002      	-2.82347      	-0.0493568      	17.4625      
    0.5      	 584.84      	3730.02      	3726.02      	54.8516      	  55.62      	29.0002      	-2.73587      	-0.0686855      	18.8144      
   0.55      	1623.75      	4257.37      	4250.72      	146.885      	147.773      	28.9002      	-2.65712      	-0.0873689      	 23.554      
    0.6      	533.718      	4682.07      	4676.11      	117.031      	117.703      	28.8002      	-2.59473      	 -0.102      	17.9715      
   0.65      	1358.88      	4982.89      	4973.02      	224.138      	225.175      	28.7002      	-2.55384      	-0.106463      	28.6647      
    0.7      	1003.97      	4763.28      	4754.07      	209.636      	210.469      	28.6003      	-2.53297      	-0.102635      	23.6887      
   0.75      	 823.12      	4908.66      	4897.44      	252.009      	253.033      	28.5003      	-2.5313      	-0.0977235      	28.9586      
    0.8      	1437.24      	4843.73      	4824.82      	 370.79      	371.774      	28.4003      	-2.55094      	-0.0960023      	30.6389      
   0.85      	585.388      	4765.73      	4741.23      	435.292      	435.963      	28.3003      	-2.59411      	-0.094246      	24.8826      
    0.9      	1411.36      	 4616.6      	4573.34      	597.344      	598.112      	28.2003      	-2.66513      	-0.0861887      	30.6334      
   0.95      	817.692      	4110.09      	4054.95      	646.845      	647.183      	28.1004      	-2.76498      	-0.0709353      	21.8624      
      1      	1033.11      	3746.06      	3658.35      	789.484      	789.824      	28.0004      	-2.89089      	-0.0520531      	25.0206      
   1.05      	1194.01      	3016.26      	2864.84      	935.114      	935.184      	27.9004      	-3.02894      	-0.0327855      	22.0073      
    1.1      	731.806      	2473.35      	2235.25      	 1054.2      	1053.91      	27.8004      	-3.16796      	-0.0156906      	16.4801      
   1.15      	 1309.6      	2037.97      	 1585.5      	 1278.4      	 1278.1      	27.7004      	-3.3098      	0.00287576      	20.9506      
    1.2      	784.296      	1530.75      	671.524      	1375.22      	1374.43      	27.6005      	-3.45875      	0.0242728      	 11.962      
   1.25      	1093.02      	 1577.9      	-53.9533      	1576.87      	1576.18      	27.5005      	-3.6158      	0.0484006      	18.6136      
    1.3      	1062.22      	2031.96      	-1039.06      	1745.54      	1744.58      	27.4005      	-3.77264      	0.0756923      	16.0763      
   1.35      	815.831      	2644.77      	-1805.19      	1931.22      	1930.09      	27.3005      	-3.92187      	0.103213      	16.2179      
    1.4      	1238.36      	 3320.2      	-2432.83      	2256.85      	2255.58      	27.2005      	-4.06256      	0.128095      	 20.272      
   1.45      	757.264      	 3883.7      	-2952.06      	2520.25      	2518.39      	27.1005      	-4.19514      	0.147584      	12.2733      
    1.5      	1147.06      	4275.75      	-3174.29      	 2861.2      	2859.25      	27.0006      	-4.31812      	0.162829      	17.7848      
   1.55      	936.237      	4777.36      	-3599.32      	3137.39      	3134.94      	26.9006      	-4.4283      	0.174225      	12.2439      
    1.6      	922.009      	5106.42      	-3780.93      	3428.22      	3425.58      	26.8006      	-4.52288      	0.178246      	14.2613      
   1.65      	 1130.8      	5414.26      	-3867.61      	 3785.1      	3782.19      	26.7006      	-4.59612      	0.172627      	 15.827      
    1.7      	801.062      	5669.57      	-3908.89      	4103.09      	4099.72      	26.6006      	-4.64607      	0.157679      	12.3633      
   1.75      	1147.12      	5897.28      	-3823.3      	4486.88      	4483.43      	26.5007      	-4.67579      	0.13892      	18.6685      
    1.8      	878.504      	 6194.5      	-3890.67      	 4817.2      	4813.36      	26.4007      	-4.69265      	0.117759      	17.1583      
   1.85      	1007.17      	 6420.9      	-3786.37      	5182.99      	5179.12      	26.3007      	-4.70586      	0.093401      	 24.329      
    1.9      	 1043.4      	6725.44      	-3736.5      	5589.51      	5585.47      	26.2007      	-4.7152      	0.0673757      	29.2163      
   1.95      	883.925      	6982.68      	-3612.64      	5973.33      	5969.06      	26.1007      	-4.71815      	0.0380518      	32.5725      
      2      	 1121.2      	7251.33      	-3344.13      	6432.38      	6428.04      	26.0008      	-4.71775      	0.00773933      	40.9176      
   2.05      	901.083      	7535.08      	-3156.58      	6840.52      	6835.84      	25.9008      	-4.72065      	-0.0216471      	42.1662      
    2.1      	1059.94      	7869.36      	-2939.43      	7298.46      	7293.76      	25.8008      	-4.73021      	-0.048711      	51.7231      
   2.15      	 1023.2      	8256.89      	-2901.66      	7728.98      	7724.15      	25.7008      	-4.74366      	-0.072183      	58.1224      
    2.2      	962.401      	8649.37      	-2896.99      	8148.53      	8143.69      	25.6008      	-4.7585      	-0.0953269      	67.1124      
   2.25      	1125.05      	9058.75      	-2903.81      	8579.43      	8574.64      	25.5008      	-4.77356      	-0.11935      	77.5857      
    2.3      	947.446      	9455.66      	-2953.86      	8981.12      	8976.25      	25.4009      	-4.79052      	-0.144618      	84.6908      
   2.35      	 1124.7      	9840.45      	-2941.1      	9389.28      	9384.52      	25.3009      	-4.81063      	-0.169269      	 96.042      
    2.4      	1035.46      	10236.3      	-3036.81      	9774.02      	9769.25      	25.2009      	-4.83428      	-0.19112      	104.286      
   2.45      	 1062.4      	10637.6      	-3148.8      	10159.3      	10154.6      	25.1009      	-4.86303      	-0.211198      	114.586      
    2.5      	1141.74      	11052.7      	-3227.69      	10569.2      	10564.5      	25.0009      	-4.89443      	-0.230152      	123.853      
   2.55      	1030.32      	11421.8      	-3251.41      	10947.6      	10942.8      	 24.901      	-4.9249      	-0.249431      	131.197      
    2.6      	1184.78      	11765.3      	-3234.05      	11310.3      	11305.6      	 24.801      	-4.9525      	-0.267656      	139.599      
   2.65      	1079.85      	12061.4      	-3216.83      	11622.7      	  11618      	 24.701      	-4.97733      	-0.284854      	145.766      
    2.7      	1161.16      	12323.8      	-3121.43      	11920.1      	11915.5      	 24.601      	-5.00006      	-0.302403      	154.108      
   2.75      	1172.86      	12543.6      	-3023.93      	12171.8      	12167.2      	 24.501      	-5.01759      	-0.318087      	160.987      
    2.8      	1134.36      	12731.3      	-2875.17      	12400.7      	12396.2      	24.4011      	-5.02657      	-0.330946      	168.908      
   2.85      	1237.17      	12892.4      	-2678.42      	12609.3      	  12605      	24.3011      	-5.02671      	-0.340196      	177.409      
    2.9      	1158.46      	13015.8      	-2449.73      	12781.4      	12777.2      	24.2011      	-5.02033      	-0.345866      	185.252      
   2.95      	1243.48      	13120.6      	-2165.32      	12938.9      	12935.1      	24.1011      	-5.00812      	-0.348443      	195.747      
      3      	1229.76      	13199.9      	-1892.86      	13061.6      	13058.1      	24.0011      	-4.98842      	-0.347433      	205.224      
   3.05      	1228.27      	13255.6      	-1543.16      	13163.5      	13160.4      	23.9012      	-4.96146      	-0.345237      	216.406      
    3.1      	1300.46      	13288.1      	-1140.29      	13237.1      	13234.3      	23.8012      	-4.92792      	-0.34294      	226.806      
   3.15      	1239.58      	13288.4      	-705.006      	13267.5      	13265.2      	23.7012      	-4.8884      	-0.340715      	237.114      
    3.2      	1327.35      	13280.4      	-255.549      	13275.6      	13273.7      	23.6012      	-4.84309      	-0.338464      	248.052      
   3.25      	1291.31      	13248.9      	177.847      	13245.2      	13243.8      	23.5012      	-4.79228      	-0.335835      	258.003      
    3.3      	1320.62      	13218.9      	649.586      	13200.2      	13199.3      	23.4012      	-4.73732      	-0.334571      	269.215      
   3.35      	1354.05      	13173.4      	1100.68      	13124.2      	13123.9      	23.3013      	-4.67792      	-0.335193      	278.794      
    3.4      	1320.25      	13128.1      	1599.68      	13026.9      	13027.1      	23.2013      	-4.61338      	-0.337336      	288.964      
   3.45      	1393.97      	13083.7      	2119.78      	  12907      	12907.8      	23.1013      	-4.54433      	-0.339769      	298.932      
    3.5      	1353.42      	13031.2      	2621.59      	12760.5      	12761.8      	23.0013      	-4.4722      	-0.341457      	307.987      
   3.55      	1400.21      	13012.7      	3160.91      	12618.2      	  12620      	22.9013      	-4.39742      	-0.342715      	318.265      
    3.6      	1404.87      	  12986      	3668.93      	12451.6      	  12454      	22.8014      	-4.31863      	-0.34264      	327.347      
   3.65      	1397.11      	12970.7      	4192.83      	12268.3      	12271.3      	22.7014      	-4.23562      	-0.341138      	337.028      
    3.7      	1445.07      	12953.7      	4714.93      	12058.4      	  12062      	22.6014      	-4.14975      	-0.338277      	346.104      
   3.75      	1413.48      	12933.2      	5252.45      	11811.1      	11815.3      	22.5014      	-4.06191      	-0.334686      	354.634      
    3.8      	1459.17      	12938.9      	5822.82      	11546.1      	  11551      	22.4014      	-3.97139      	-0.33131      	363.442      
   3.85      	1450.45      	12931.6      	6368.69      	11245.1      	11250.5      	22.3015      	-3.87772      	-0.327153      	370.779      
    3.9      	1456.76      	12959.2      	6951.49      	10926.2      	10932.3      	22.2015      	-3.78192      	-0.321989      	378.476      
   3.95      	1485.75      	13003.1      	7530.25      	10588.6      	10595.3      	22.1015      	-3.6843      	-0.315737      	385.055      
      4      	1460.41      	13057.2      	8101.13      	10226.6      	10233.9      	22.0015      	-3.58469      	-0.308213      	391.235      
   4.05      	 1500.9      	13123.9      	8651.37      	9853.38      	9861.32      	21.9015      	-3.48313      	-0.299915      	397.108      
    4.1      	1480.13      	13187.9      	9176.51      	 9454.6      	9463.12      	21.8015      	-3.38019      	-0.291348      	401.704      
   4.15      	1497.01      	13296.2      	9735.01      	9037.18      	9046.29      	21.7016      	-3.27705      	-0.283061      	406.178      
    4.2      	1505.41      	13389.4      	10259.3      	8582.14      	8591.82      	21.6016      	-3.17412      	-0.274547      	 408.99      
   4.25      	1491.21      	13483.4      	10764.7      	8095.23      	8105.46      	21.5016      	-3.07187      	-0.265362      	410.946      
    4.3      	1518.74      	13587.2      	11249.1      	7593.15      	7603.92      	21.4016      	-2.97168      	-0.254898      	412.226      
   4.35      	1496.01      	13676.9      	11690.5      	7068.09      	7079.38      	21.3016      	-2.87494      	-0.242254      	412.606      
    4.4      	1513.91      	13772.8      	12107.8      	6529.78      	6541.61      	21.2017      	-2.78173      	-0.22711      	413.276      
   4.45      	1508.31      	13841.9      	12469.9      	5968.93      	5981.33      	21.1017      	-2.69149      	-0.2089      	413.985      
    4.5      	1502.22      	13923.5      	12813.8      	5402.25      	5415.29      	21.0017      	-2.60432      	-0.187672      	416.399      
   4.55      	1517.23      	14013.1      	13133.1      	4835.39      	4849.16      	20.9017      	-2.51928      	-0.163504      	420.603      
    4.6      	1497.65      	14121.5      	13439.8      	4273.34      	4287.91      	20.8017      	-2.43381      	-0.136593      	426.618      
   4.65      	1513.94      	14284.9      	13767.7      	 3735.9      	3751.33      	20.7018      	-2.34531      	-0.107791      	434.391      
    4.7      	1501.26      	  14483      	14101.5      	3213.48      	3229.75      	20.6018      	-2.25285      	-0.0777686      	442.354      
   4.75      	1500.92      	14762.7      	14490.8      	2710.99      	2728.09      	20.5018      	-2.1572      	-0.0477949      	450.225      
    4.8      	1505.66      	15144.2      	14958.7      	2223.84      	 2241.7      	20.4018      	-2.05866      	-0.0193374      	457.113      
   4.85      	1491.08      	15645.3      	15525.6      	1747.94      	1766.51      	20.3018      	-1.9575      	0.00611009      	 462.96      
    4.9      	1504.49      	16270.5      	16197.4      	1285.26      	1304.49      	20.2018      	-1.85477      	0.0272506      	467.994      
   4.95      	1490.86      	16983.5      	16940.2      	  834.9      	854.747      	20.1019      	-1.75139      	0.0436628      	 472.24      
      5      	1497.14      	17762.1      	17734.1      	407.789      	428.227      	20.0019      	-1.64736      	0.0556365      	476.488      
   5.05      	 1496.2      	18532.7      	18508.8      	-3.71344      	17.2822      	19.9019      	-1.54195      	0.0641761      	480.309      
    5.1      	1489.14      	19253.8      	19225.3      	-393.543      	-372.02      	19.8019      	-1.43495      	0.0698105      	483.924      
   5.15      	1496.98      	19919.5      	19880.1      	-759.135      	-737.109      	19.7019      	-1.32661      	0.072534      	487.509      
    5.2      	1483.89      	20522.5      	20467.2      	-1105.32      	-1082.81      	 19.602      	-1.2172      	0.072338      	491.021      
   5.25      	1487.98      	21074.1      	20999.4      	-1433.54      	-1410.58      	 19.502      	-1.10728      	0.0691347      	494.354      
    5.3      	1479.69      	21576.5      	21478.2      	-1761.93      	-1738.54      	 19.402      	-0.998179      	0.063111      	497.118      
   5.35      	1473.33      	22053.5      	21927.3      	-2092.85      	-2069.04      	 19.302      	-0.891754      	0.0545007      	499.385      
    5.4      	 1473.7      	22513.9      	22355.3      	-2431.06      	-2406.86      	 19.202      	-0.788838      	0.0441261      	 501.01      
   5.45      	1460.59      	22953.3      	22756.9      	-2781.36      	-2756.79      	19.1021      	-0.689258      	0.0331404      	501.908      
    5.5      	1462.16      	23385.8      	23146.6      	-3138.85      	-3113.92      	19.0021      	-0.593039      	0.022543      	502.315      
   5.55      	1450.63      	23813.1      	23526.3      	-3502.35      	-3477.07      	18.9021      	-0.50031      	0.0135526      	502.544      
    5.6      	1445.53      	24231.6      	23893.9      	-3860.81      	-3835.17      	18.8021      	-0.410695      	0.00729971      	502.925      
   5.65      	1439.98      	24634.4      	24242.8      	-4214.31      	-4188.31      	18.7021      	-0.323479      	0.00483045      	503.492      
    5.7      	 1427.3      	25023.9      	24576.9      	-4556.75      	-4530.38      	18.6022      	-0.238711      	0.00669467      	504.588      
   5.75      	1424.92      	25403.3      	24900.6      	-4883.39      	-4856.64      	18.5022      	-0.157032      	0.0128404      	506.202      
    5.8      	1411.06      	25763.9      	25203.9      	-5203.16      	-5176.03      	18.4022      	-0.0786886      	0.022695      	 508.01      
   5.85      	1406.15      	26113.2      	25493.4      	-5521.14      	-5493.63      	18.3022      	-0.00371186      	0.034915      	509.776      
    5.9      	1397.02      	26463.8      	25779.5      	-5849.92      	-5822.03      	18.2022      	0.0675983      	0.0480251      	511.346      
   5.95      	1387.71      	26827.2      	26072.2      	-6194.81      	-6166.53      	18.1022      	0.134906      	0.0607691      	512.716      
      6      	1383.82      	27207.9      	26376.5      	-6554.35      	-6525.68      	18.0023      	0.198684      	0.0724532      	513.874      
   6.05      	1372.53      	27598.5      	26686.3      	-6920.53      	-6891.47      	17.9023      	0.260075      	0.0829302      	514.948      
    6.1      	1368.55      	27992.4      	26999.4      	-7276.7      	-7247.25      	17.8023      	0.319897      	0.0925419      	516.025      
   6.15      	1359.41      	28380.3      	27309.4      	-7612.45      	-7582.63      	17.7023      	0.378589      	0.102201      	517.295      
    6.2      	1351.81      	28757.4      	27614.8      	-7917.63      	-7887.46      	17.6023      	0.436722      	0.112586      	518.849      
   6.25      	 1345.7      	29123.3      	27915.1      	-8194.71      	-8164.2      	17.5024      	0.494981      	0.123854      	 520.64      
    6.3      	1334.34      	29479.1      	28210.7      	-8448.78      	-8417.94      	17.4024      	0.553507      	0.135536      	522.688      
   6.35      	1328.53      	29832.2      	28508.4      	  -8684      	-8652.84      	17.3024      	0.611996      	0.146707      	524.947      
    6.4      	1317.09      	30192.1      	28814.5      	-8912.19      	-8880.7      	17.2024      	0.67052      	0.156695      	527.486      
   6.45      	1309.08      	30561.6      	29130.3      	-9139.89      	-9108.07      	17.1024      	0.729355      	0.16517      	530.146      
    6.5      	 1300.4      	30930.5      	29445.2      	-9367.03      	-9334.88      	17.0025      	0.788319      	0.17215      	532.754      
   6.55      	1290.15      	31292.9      	  29755      	-9586.89      	-9554.43      	16.9025      	0.847026      	0.177784      	535.305      
    6.6      	 1283.8      	  31647      	30062.3      	-9786.81      	-9754.04      	16.8025      	0.905492      	0.182235      	537.917      
   6.65      	1272.77      	31985.6      	30362.9      	-9956.04      	  -9923      	16.7025      	0.96402      	0.185621      	540.678      
    6.7      	1265.03      	32309.3      	30660.3      	-10087.2      	-10053.9      	16.6025      	1.02268      	0.187638      	543.572      
   6.75      	1254.82      	32626.3      	30962.5      	-10182.1      	-10148.6      	16.5025      	1.08133      	0.187676      	546.677      
    6.8      	1244.59      	32938.8      	31271.3      	-10242.1      	-10208.4      	16.4026      	1.14004      	0.185033      	549.769      
   6.85      	1235.47      	33239.8      	31578.9      	-10269.1      	-10235.2      	16.3026      	1.19902      	0.179005      	552.483      
    6.9      	1223.49      	33530.7      	31884.2      	-10269.4      	-10235.5      	16.2026      	1.25828      	0.168847      	555.167      
   6.95      	 1214.7      	33817.1      	32190.7      	-10250.3      	-10216.2      	16.1026      	 1.3178      	0.153871      	557.866      
      7      	1203.81      	34097.4      	32495.2      	-10216.2      	 -10182      	16.0026      	1.37814      	0.133929      	560.362      
   7.05      	1194.02      	34374.7      	32800.9      	-10166.4      	-10132.2      	15.9027      	1.43967      	0.109551      	562.617      
    7.1      	1184.69      	34653.5      	33113.4      	-10097.7      	-10063.5      	15.8027      	1.50206      	0.0818812      	564.881      
   7.15      	1173.85      	34934.4      	33433.8      	-10007.3      	-9973.05      	15.7027      	1.56518      	0.0522312      	567.391      
    7.2      	1164.94      	35215.6      	33761.9      	-9888.36      	-9854.12      	15.6027      	1.62972      	0.0216839      	570.209      
   7.25      	1153.42      	35495.6      	34097.2      	-9735.57      	-9701.34      	15.5027      	1.69618      	-0.00879667      	573.523      
    7.3      	1143.22      	  35777      	34441.5      	-9549.21      	-9514.98      	15.4028      	1.76423      	-0.0385173      	577.324      
   7.35      	1132.57      	36060.7      	34793.4      	-9335.76      	-9301.57      	15.3028      	1.83347      	-0.0673376      	581.552      
    7.4      	1121.62      	36351.6      	35154.4      	-9105.56      	-9071.39      	15.2028      	1.90412      	-0.0958117      	586.057      
   7.45      	1112.12      	  36656      	35528.4      	-8868.4      	-8834.25      	15.1028      	1.97645      	-0.124998      	590.731      
    7.5      	1101.27      	36977.8      	  35918      	-8628.32      	-8594.2      	15.0028      	2.05042      	-0.155926      	595.564      
   7.55      	1092.14      	37310.4      	36317.6      	-8380.8      	-8346.9      	15.0972      	2.12143      	-0.188216      	595.833      
    7.6      	1081.33      	37620.8      	36693.7      	-8123.14      	-8089.48      	15.1971      	2.18022      	-0.219737      	596.014      
   7.65      	1070.82      	37882.9      	37019.6      	-7855.17      	-7821.72      	15.2971      	2.22493      	-0.250168      	597.035      
    7.7      	1061.36      	38095.8      	37295.3      	-7573.09      	-7539.85      	15.3971      	2.26066      	-0.282173      	 598.63      
   7.75      	1051.63      	38248.2      	37511.1      	-7266.73      	-7233.65      	15.4971      	2.28776      	-0.316869      	601.708      
    7.8      	1043.09      	38279.9      	37607.6      	-6925.68      	-6892.78      	15.5971      	2.30277      	-0.351944      	605.118      
   7.85      	 1030.4      	38116.6      	37507.1      	-6561.26      	-6528.59      	 15.697      	2.30542      	-0.385259      	607.917      
    7.9      	 1015.1      	37786.2      	37235.8      	-6187.98      	-6155.59      	 15.797      	2.29795      	-0.417569      	609.472      
   7.95      	1000.67      	37429.5      	36937.5      	-5799.2      	-5767.09      	 15.897      	2.28115      	-0.450824      	 611.81      
      8      	989.011      	37118.6      	  36685      	-5391.42      	-5359.57      	 15.997      	2.25458      	-0.485065      	614.745      
   8.05      	978.588      	36800.8      	36422.5      	-4980.74      	-4949.16      	 16.097      	2.21781      	-0.518142      	617.325      
    8.1      	 964.98      	36426.4      	36099.1      	-4569.88      	-4538.63      	16.1969      	2.17045      	-0.548166      	618.756      
   8.15      	952.205      	36011.5      	35733.3      	-4142.21      	-4111.31      	16.2969      	2.11258      	-0.575069      	620.051      
    8.2      	940.605      	35596.4      	35365.8      	-3689.39      	-3658.85      	16.3969      	2.04652      	-0.59947      	 621.76      
   8.25      	930.561      	35199.3      	35014.2      	-3206.47      	-3176.27      	16.4969      	1.97642      	-0.621639      	624.512      
    8.3      	920.869      	34796.2      	34653.6      	-2689.48      	-2659.63      	16.5969      	1.90375      	-0.641529      	627.628      
