# Sensor: Sensor Sea      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:01      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      
Time [s]      	Surface elevation (origin)      [      m      ]      	Dynamic pressure (origin)      [   k Pa      ]      
----------	----------	----------      
    Min      	-1.8085 [679.55s]      	-18.2124 [679.55s]      
    Max      	 1.8085 [172.55s]      	18.2124 [172.55s]      
   Mean      	-0.0025079      	-0.0252557      
Standard deviation      	 1.2783      	 12.873      
----------	----------	----------      
      0      	      0      	      0      
   0.05      	0.0666622      	0.671318      
    0.1      	0.133234      	1.34172      
   0.15      	0.199624      	2.01031      
    0.2      	0.265743      	2.67615      
   0.25      	0.331501      	3.33837      
    0.3      	0.396809      	3.99604      
   0.35      	0.461577      	4.64829      
    0.4      	0.525718      	5.29421      
   0.45      	0.589144      	5.93294      
    0.5      	0.651769      	6.56361      
   0.55      	0.713509      	7.18535      
    0.6      	0.774279      	7.79733      
   0.65      	0.833996      	8.39872      
    0.7      	0.89258      	8.98868      
   0.75      	0.949951      	9.56643      
    0.8      	1.00603      	10.1312      
   0.85      	1.06074      	10.6822      
    0.9      	1.11401      	11.2186      
   0.95      	1.16577      	11.7398      
      1      	1.21594      	12.2451      
   1.05      	1.26446      	12.7337      
    1.1      	1.31126      	 13.205      
   1.15      	1.35628      	13.6584      
    1.2      	1.39946      	14.0931      
   1.25      	1.44073      	14.5088      
    1.3      	1.48004      	14.9047      
   1.35      	1.51735      	15.2804      
    1.4      	1.55259      	15.6353      
   1.45      	1.58572      	15.9689      
    1.5      	1.61669      	16.2808      
   1.55      	1.64547      	16.5706      
    1.6      	1.67201      	16.8379      
   1.65      	1.69628      	17.0823      
    1.7      	1.71825      	17.3035      
   1.75      	1.73788      	17.5012      
    1.8      	1.75514      	17.6751      
   1.85      	1.77002      	17.8249      
    1.9      	 1.7825      	17.9505      
   1.95      	1.79255      	18.0518      
      2      	1.80017      	18.1285      
   2.05      	1.80533      	18.1805      
    2.1      	1.80805      	18.2079      
   2.15      	1.80831      	18.2105      
    2.2      	1.80611      	18.1883      
   2.25      	1.80145      	18.1415      
    2.3      	1.79435      	18.0699      
   2.35      	1.78481      	17.9738      
    2.4      	1.77284      	17.8533      
   2.45      	1.75846      	17.7085      
    2.5      	 1.7417      	17.5397      
   2.55      	1.72256      	 17.347      
    2.6      	1.70109      	17.1307      
   2.65      	 1.6773      	16.8912      
    2.7      	1.65123      	16.6287      
   2.75      	1.62292      	16.3435      
    2.8      	 1.5924      	16.0362      
   2.85      	1.55972      	15.7071      
    2.9      	1.52492      	15.3566      
   2.95      	1.48805      	14.9853      
      3      	1.44915      	14.5936      
   3.05      	1.40828      	 14.182      
    3.1      	 1.3655      	13.7512      
   3.15      	1.32087      	13.3017      
    3.2      	1.27443      	12.8341      
   3.25      	1.22627      	12.3491      
    3.3      	1.17644      	11.8473      
   3.35      	1.12501      	11.3294      
    3.4      	1.07205      	 10.796      
   3.45      	1.01764      	10.2481      
    3.5      	0.961837      	9.68613      
   3.55      	0.904731      	9.11105      
    3.6      	0.846395      	8.52358      
   3.65      	0.786909      	7.92453      
    3.7      	0.726354      	7.31471      
   3.75      	0.664811      	6.69494      
    3.8      	0.602364      	6.06608      
   3.85      	0.539099      	5.42897      
    3.9      	0.475101      	4.78448      
   3.95      	0.410458      	4.13349      
      4      	0.345256      	3.47689      
   4.05      	0.279585      	2.81555      
    4.1      	0.213535      	2.15039      
   4.15      	0.147194      	1.48231      
    4.2      	0.0806527      	0.812209      
   4.25      	0.0140021      	0.141007      
    4.3      	-0.0526676      	-0.530386      
   4.35      	-0.119266      	-1.20106      
    4.4      	-0.185702      	-1.8701      
   4.45      	-0.251885      	-2.5366      
    4.5      	-0.317727      	-3.19965      
   4.55      	-0.383136      	-3.85835      
    4.6      	-0.448025      	-4.51181      
   4.65      	-0.512304      	-5.15913      
    4.7      	-0.575888      	-5.79945      
   4.75      	-0.638689      	-6.43188      
    4.8      	-0.700621      	-7.05557      
   4.85      	-0.761602      	-7.66967      
    4.9      	-0.821547      	-8.27334      
   4.95      	-0.880375      	-8.86578      
      5      	-0.938007      	-9.44616      
   5.05      	-0.994365      	-10.0137      
    5.1      	-1.04937      	-10.5676      
   5.15      	-1.10295      	-11.1072      
    5.2      	-1.15503      	-11.6317      
   5.25      	-1.20554      	-12.1403      
    5.3      	-1.25441      	-12.6325      
   5.35      	-1.30158      	-13.1075      
    5.4      	-1.34698      	-13.5647      
   5.45      	-1.39054      	-14.0034      
    5.5      	-1.43222      	-14.4231      
   5.55      	-1.47195      	-14.8232      
    5.6      	-1.50968      	-15.2032      
   5.65      	-1.54536      	-15.5625      
    5.7      	-1.57894      	-15.9006      
   5.75      	-1.61037      	-16.2171      
    5.8      	-1.63961      	-16.5116      
   5.85      	-1.66663      	-16.7837      
    5.9      	-1.69138      	-17.0329      
   5.95      	-1.71383      	-17.259      
      6      	-1.73395      	-17.4616      
   6.05      	-1.75171      	-17.6405      
    6.1      	-1.7671      	-17.7954      
   6.15      	-1.78008      	-17.9262      
    6.2      	-1.79064      	-18.0325      
   6.25      	-1.79877      	-18.1144      
    6.3      	-1.80445      	-18.1716      
   6.35      	-1.80768      	-18.2042      
    6.4      	-1.80846      	-18.212      
   6.45      	-1.80677      	-18.195      
    6.5      	-1.80263      	-18.1533      
   6.55      	-1.79605      	-18.087      
    6.6      	-1.78701      	-17.996      
   6.65      	-1.77556      	-17.8806      
    6.7      	-1.76168      	-17.7409      
   6.75      	-1.74542      	-17.5771      
