# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:01      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
   0.55      	13708.9      	1.87609e+07      	18760.9      	-19162.5      	6.97782      	6.97782      	2.07592      	      0      
    0.6      	13868.7      	1.89859e+07      	18985.9      	-19486.1      	6.97547      	6.97547      	2.26854      	      0      
   0.65      	14038.9      	1.92109e+07      	19210.9      	-19822.1      	6.97841      	6.97841      	2.46353      	      0      
    0.7      	  14205      	1.94359e+07      	19435.9      	-20165.9      	6.97924      	6.97924      	2.66082      	      0      
   0.75      	14359.5      	1.9624e+07      	  19624      	-20479.8      	6.98748      	6.98748      	2.86026      	      0      
    0.8      	14351.1      	1.9624e+07      	  19624      	-20614.5      	6.98343      	6.98343      	3.05958      	      0      
   0.85      	14347.6      	1.9624e+07      	  19624      	-20746.5      	 6.9817      	 6.9817      	3.25885      	      0      
    0.9      	14349.5      	1.9624e+07      	  19624      	-20882.6      	6.98263      	6.98263      	3.45815      	      0      
   0.95      	14346.1      	1.9624e+07      	  19624      	-21010.8      	6.98099      	6.98099      	 3.6574      	      0      
      1      	14347.2      	1.9624e+07      	  19624      	-21136.4      	6.98153      	6.98153      	3.85667      	      0      
   1.05      	14325.1      	1.9624e+07      	  19624      	 -21264      	6.97076      	6.97076      	4.05563      	      0      
    1.1      	14332.1      	1.9624e+07      	  19624      	-21387.1      	6.97415      	6.97415      	4.25468      	      0      
   1.15      	14322.5      	1.9624e+07      	  19624      	-21524.2      	6.96952      	6.96952      	4.45361      	      0      
    1.2      	14328.4      	1.9624e+07      	  19624      	-21656.6      	6.97239      	6.97239      	4.65261      	      0      
   1.25      	14328.9      	1.9624e+07      	  19624      	 -21800      	6.97259      	6.97259      	4.85163      	      0      
    1.3      	14316.1      	1.9624e+07      	  19624      	-21951.2      	6.96636      	6.96636      	5.05046      	      0      
   1.35      	14310.4      	1.9624e+07      	  19624      	-22106.6      	6.96361      	6.96361      	5.24922      	      0      
    1.4      	14283.4      	1.9624e+07      	  19624      	-22279.7      	6.95045      	6.95045      	 5.4476      	      0      
   1.45      	14254.4      	1.9624e+07      	  19624      	-22442.7      	6.93636      	6.93636      	5.64557      	      0      
    1.5      	14235.3      	1.9624e+07      	  19624      	-22607.8      	6.92706      	6.92706      	5.84329      	      0      
   1.55      	14212.6      	1.9624e+07      	  19624      	 -22756      	6.91602      	6.91602      	6.04068      	      0      
    1.6      	14203.6      	1.9624e+07      	  19624      	-22890.6      	6.91162      	6.91162      	6.23795      	      0      
   1.65      	14168.3      	1.9624e+07      	  19624      	-23028.9      	6.89445      	6.89445      	6.43474      	      0      
    1.7      	14136.2      	1.9624e+07      	  19624      	-23143.2      	6.87884      	6.87884      	6.63107      	      0      
   1.75      	14100.3      	1.9624e+07      	  19624      	-23255.3      	6.86137      	6.86137      	6.82691      	      0      
    1.8      	14066.5      	1.9624e+07      	  19624      	-23329.9      	6.84491      	6.84491      	7.02228      	      0      
   1.85      	14041.9      	1.9624e+07      	  19624      	-23379.1      	6.83295      	6.83295      	 7.2173      	      0      
    1.9      	14009.6      	1.9624e+07      	  19624      	-23401.5      	6.81722      	6.81722      	7.41188      	      0      
   1.95      	13987.8      	1.9624e+07      	  19624      	-23378.3      	6.80664      	6.80664      	7.60615      	      0      
      2      	13957.3      	1.9624e+07      	  19624      	-23328.6      	6.79177      	6.79177      	7.80001      	      0      
   2.05      	13922.3      	1.9624e+07      	  19624      	-23213.1      	6.77476      	6.77476      	7.99337      	      0      
    2.1      	13890.7      	1.9624e+07      	  19624      	 -23041      	6.75939      	6.75939      	 8.1863      	      0      
   2.15      	13852.6      	1.9624e+07      	  19624      	 -22813      	6.74086      	6.74086      	 8.3787      	      0      
    2.2      	13830.5      	1.9624e+07      	  19624      	-22525.2      	 6.7301      	 6.7301      	8.57079      	      0      
   2.25      	13799.1      	1.9624e+07      	  19624      	-22218.9      	6.71479      	6.71479      	8.76244      	      0      
    2.3      	13770.9      	1.9624e+07      	  19624      	-21847.7      	6.70108      	6.70108      	 8.9537      	      0      
   2.35      	13741.4      	1.9624e+07      	  19624      	-21456.5      	6.68675      	6.68675      	9.14455      	      0      
    2.4      	  13712      	1.9624e+07      	  19624      	-21020.4      	6.67244      	6.67244      	  9.335      	      0      
   2.45      	13680.2      	1.9624e+07      	  19624      	-20558.3      	6.65696      	6.65696      	  9.525      	      0      
    2.5      	13641.2      	1.9624e+07      	  19624      	-20104.4      	6.63797      	6.63797      	9.71446      	      0      
   2.55      	13601.4      	1.9624e+07      	  19624      	-19640.2      	6.61858      	6.61858      	9.90337      	      0      
    2.6      	13570.8      	1.9624e+07      	  19624      	-19201.5      	6.60372      	6.60372      	10.0919      	      0      
   2.65      	13537.5      	1.9624e+07      	  19624      	-18752.6      	6.58752      	6.58752      	10.2799      	      0      
    2.7      	13513.7      	1.9624e+07      	  19624      	 -18300      	6.57592      	6.57592      	10.4676      	      0      
   2.75      	13479.8      	1.9624e+07      	  19624      	-17860.3      	6.55944      	6.55944      	10.6548      	      0      
    2.8      	13453.3      	1.9624e+07      	  19624      	-17401.1      	6.54652      	6.54652      	10.8416      	      0      
   2.85      	  13417      	1.9624e+07      	  19624      	 -16964      	6.52886      	6.52886      	 11.028      	      0      
    2.9      	  13385      	1.9624e+07      	  19624      	-16494.8      	 6.5133      	 6.5133      	11.2139      	      0      
   2.95      	13351.7      	1.9624e+07      	  19624      	-16023.4      	 6.4971      	 6.4971      	11.3993      	      0      
      3      	13325.1      	1.9624e+07      	  19624      	-15539.4      	6.48417      	6.48417      	11.5844      	      0      
   3.05      	13300.3      	1.9624e+07      	  19624      	 -15040      	6.47211      	6.47211      	11.7691      	      0      
    3.1      	13274.3      	1.9624e+07      	  19624      	-14551.3      	6.45943      	6.45943      	11.9535      	      0      
   3.15      	13240.7      	1.9624e+07      	  19624      	-14026.8      	6.44308      	6.44308      	12.1374      	      0      
    3.2      	13210.7      	1.9624e+07      	  19624      	-13492.8      	 6.4285      	 6.4285      	12.3209      	      0      
   3.25      	13176.3      	1.9624e+07      	  19624      	-12933.1      	6.41174      	6.41174      	12.5039      	      0      
    3.3      	13149.3      	1.9624e+07      	  19624      	-12356.5      	6.39859      	6.39859      	12.6865      	      0      
   3.35      	  13117      	1.9624e+07      	  19624      	-11789.4      	6.38288      	6.38288      	12.8687      	      0      
    3.4      	13094.4      	1.9624e+07      	  19624      	-11206.4      	6.37188      	6.37188      	13.0506      	      0      
   3.45      	13070.3      	1.9624e+07      	  19624      	-10636.3      	6.36018      	6.36018      	13.2321      	      0      
    3.5      	13049.7      	1.9624e+07      	  19624      	-10045.2      	6.35013      	6.35013      	13.4133      	      0      
   3.55      	13024.3      	1.9624e+07      	  19624      	-9455.08      	6.33778      	6.33778      	13.5942      	      0      
    3.6      	13001.2      	1.9624e+07      	  19624      	-8878.02      	6.32653      	6.32653      	13.7748      	      0      
   3.65      	12978.9      	1.9624e+07      	  19624      	-8316.78      	6.31571      	6.31571      	13.9551      	      0      
    3.7      	  12961      	1.9624e+07      	  19624      	-7791.58      	6.30699      	6.30699      	14.1351      	      0      
   3.75      	12944.4      	1.9624e+07      	  19624      	-7259.39      	6.29889      	6.29889      	14.3149      	      0      
    3.8      	12932.3      	1.9624e+07      	  19624      	-6725.54      	6.29303      	6.29303      	14.4945      	      0      
   3.85      	12917.7      	1.9624e+07      	  19624      	-6198.98      	6.28593      	6.28593      	14.6739      	      0      
    3.9      	12906.1      	1.9624e+07      	  19624      	-5685.76      	6.28025      	6.28025      	14.8531      	      0      
   3.95      	12887.5      	1.9624e+07      	  19624      	-5197.71      	 6.2712      	 6.2712      	15.0321      	      0      
      4      	12872.7      	1.9624e+07      	  19624      	-4721.19      	6.26402      	6.26402      	15.2109      	      0      
   4.05      	12857.3      	1.9624e+07      	  19624      	-4280.56      	6.25654      	6.25654      	15.3895      	      0      
    4.1      	12846.9      	1.9624e+07      	  19624      	-3866.99      	6.25145      	6.25145      	15.5679      	      0      
   4.15      	12836.8      	1.9624e+07      	  19624      	-3487.33      	6.24655      	6.24655      	15.7462      	      0      
    4.2      	12828.5      	1.9624e+07      	  19624      	-3138.77      	6.24252      	6.24252      	15.9244      	      0      
   4.25      	  12820      	1.9624e+07      	  19624      	-2815.12      	6.23839      	6.23839      	16.1024      	      0      
    4.3      	12811.6      	1.9624e+07      	  19624      	-2513.54      	6.23429      	6.23429      	16.2804      	      0      
   4.35      	12801.4      	1.9624e+07      	  19624      	-2217.09      	6.22929      	6.22929      	16.4582      	      0      
    4.4      	12794.2      	1.9624e+07      	  19624      	-1914.49      	6.22581      	6.22581      	16.6359      	      0      
   4.45      	12787.8      	1.9624e+07      	  19624      	-1585.16      	6.22272      	6.22272      	16.8135      	      0      
    4.5      	12787.6      	1.9624e+07      	  19624      	-1195.4      	6.22261      	6.22261      	16.9911      	      0      
   4.55      	12785.8      	1.9624e+07      	  19624      	-734.628      	6.22171      	6.22171      	17.1687      	      0      
    4.6      	12787.5      	1.9624e+07      	  19624      	-201.18      	6.22255      	6.22255      	17.3463      	      0      
   4.65      	12787.1      	1.9624e+07      	  19624      	362.298      	6.22237      	6.22237      	17.5239      	      0      
    4.7      	12787.9      	1.9624e+07      	  19624      	923.612      	6.22273      	6.22273      	17.7015      	      0      
   4.75      	12788.3      	1.9624e+07      	  19624      	1443.04      	6.22292      	6.22292      	17.8791      	      0      
    4.8      	12790.7      	1.9624e+07      	  19624      	1896.78      	6.22409      	6.22409      	18.0567      	      0      
   4.85      	12795.9      	1.9624e+07      	  19624      	2282.92      	6.22662      	6.22662      	18.2345      	      0      
    4.9      	12804.2      	1.9624e+07      	  19624      	2617.78      	6.23066      	6.23066      	18.4123      	      0      
   4.95      	12811.2      	1.9624e+07      	  19624      	2924.87      	6.23409      	6.23409      	18.5902      	      0      
      5      	12819.5      	1.9624e+07      	  19624      	 3225.5      	6.23814      	6.23814      	18.7683      	      0      
   5.05      	12825.8      	1.9624e+07      	  19624      	3528.91      	 6.2412      	 6.2412      	18.9464      	      0      
    5.1      	12834.2      	1.9624e+07      	  19624      	3848.36      	6.24529      	6.24529      	19.1247      	      0      
   5.15      	12841.3      	1.9624e+07      	  19624      	4179.61      	6.24875      	6.24875      	 19.303      	      0      
    5.2      	  12852      	1.9624e+07      	  19624      	4526.05      	6.25394      	6.25394      	19.4815      	      0      
   5.25      	12864.3      	1.9624e+07      	  19624      	4874.28      	6.25992      	6.25992      	19.6602      	      0      
    5.3      	12879.2      	1.9624e+07      	  19624      	5224.15      	6.26715      	6.26715      	19.8391      	      0      
   5.35      	  12894      	1.9624e+07      	  19624      	5569.33      	6.27435      	6.27435      	20.0182      	      0      
    5.4      	12908.6      	1.9624e+07      	  19624      	5922.02      	6.28146      	6.28146      	20.1974      	      0      
   5.45      	12923.2      	1.9624e+07      	  19624      	6272.01      	6.28856      	6.28856      	20.3769      	      0      
    5.5      	12939.7      	1.9624e+07      	  19624      	6598.76      	6.29663      	6.29663      	20.5566      	      0      
   5.55      	12957.5      	1.9624e+07      	  19624      	6903.32      	6.30526      	6.30526      	20.7366      	      0      
    5.6      	12979.3      	1.9624e+07      	  19624      	7194.12      	6.31591      	6.31591      	20.9169      	      0      
   5.65      	13002.7      	1.9624e+07      	  19624      	 7465.2      	6.32725      	6.32725      	21.0975      	      0      
    5.7      	13028.8      	1.9624e+07      	  19624      	7730.11      	6.33998      	6.33998      	21.2784      	      0      
   5.75      	13053.7      	1.9624e+07      	  19624      	7989.59      	6.35211      	6.35211      	21.4597      	      0      
    5.8      	13078.4      	1.9624e+07      	  19624      	8256.86      	6.36409      	6.36409      	21.6414      	      0      
   5.85      	13102.3      	1.9624e+07      	  19624      	8521.98      	6.37575      	6.37575      	21.8233      	      0      
    5.9      	13127.3      	1.9624e+07      	  19624      	8790.95      	6.38792      	6.38792      	22.0057      	      0      
   5.95      	13152.8      	1.9624e+07      	  19624      	9058.68      	6.40029      	6.40029      	22.1883      	      0      
      6      	13179.6      	1.9624e+07      	  19624      	9331.77      	6.41336      	6.41336      	22.3714      	      0      
   6.05      	13207.3      	1.9624e+07      	  19624      	9603.49      	6.42682      	6.42682      	22.5548      	      0      
    6.1      	13235.2      	1.9624e+07      	  19624      	9881.03      	6.44042      	6.44042      	22.7387      	      0      
   6.15      	13261.5      	1.9624e+07      	  19624      	10158.4      	6.45323      	6.45323      	22.9228      	      0      
    6.2      	13288.3      	1.9624e+07      	  19624      	10445.6      	6.46625      	6.46625      	23.1074      	      0      
   6.25      	13315.5      	1.9624e+07      	  19624      	10728.9      	6.47948      	6.47948      	23.2923      	      0      
    6.3      	13345.6      	1.9624e+07      	  19624      	11017.7      	6.49412      	6.49412      	23.4777      	      0      
   6.35      	13377.6      	1.9624e+07      	  19624      	11302.8      	6.50968      	6.50968      	23.6635      	      0      
    6.4      	13412.3      	1.9624e+07      	  19624      	11594.5      	6.52657      	6.52657      	23.8498      	      0      
   6.45      	13448.4      	1.9624e+07      	  19624      	11879.2      	6.54416      	6.54416      	24.0366      	      0      
    6.5      	13485.6      	1.9624e+07      	  19624      	12172.2      	6.56224      	6.56224      	24.2239      	      0      
   6.55      	13522.3      	1.9624e+07      	  19624      	12465.2      	6.58011      	6.58011      	24.4117      	      0      
    6.6      	13559.4      	1.9624e+07      	  19624      	12767.2      	6.59819      	6.59819      	   24.6      	      0      
   6.65      	13597.4      	1.9624e+07      	  19624      	13062.9      	6.61666      	6.61666      	24.7888      	      0      
    6.7      	13637.3      	1.9624e+07      	  19624      	13364.6      	6.63606      	6.63606      	24.9783      	      0      
   6.75      	13677.7      	1.9624e+07      	  19624      	13656.7      	6.65574      	6.65574      	25.1682      	      0      
    6.8      	13719.1      	1.9624e+07      	  19624      	13945.6      	6.67586      	6.67586      	25.3588      	      0      
   6.85      	  13760      	1.9624e+07      	  19624      	14205.2      	6.69577      	6.69577      	25.5499      	      0      
    6.9      	13800.8      	1.9624e+07      	  19624      	14487.7      	6.71562      	6.71562      	25.7416      	      0      
   6.95      	13840.4      	1.9624e+07      	  19624      	14793.3      	6.73492      	6.73492      	25.9338      	      0      
      7      	13880.9      	1.9624e+07      	  19624      	15110.5      	6.75461      	6.75461      	26.1266      	      0      
   7.05      	  13923      	1.9624e+07      	  19624      	  15408      	6.77509      	6.77509      	26.3199      	      0      
    7.1      	13967.5      	1.9624e+07      	  19624      	15697.1      	6.79677      	6.79677      	26.5139      	      0      
   7.15      	14013.9      	1.9624e+07      	  19624      	15961.5      	6.81935      	6.81935      	26.7086      	      0      
    7.2      	  14062      	1.9624e+07      	  19624      	16210.4      	6.84274      	6.84274      	26.9039      	      0      
   7.25      	14110.7      	1.9624e+07      	  19624      	16423.2      	6.86642      	6.86642      	27.0999      	      0      
    7.3      	14160.2      	1.9624e+07      	  19624      	16612.2      	 6.8905      	 6.8905      	27.2965      	      0      
   7.35      	14209.9      	1.9624e+07      	  19624      	16763.2      	6.91469      	6.91469      	27.4939      	      0      
    7.4      	14260.9      	1.9624e+07      	  19624      	16892.9      	6.93955      	6.93955      	 27.692      	      0      
   7.45      	14313.1      	1.9624e+07      	  19624      	17003.8      	6.96495      	6.96495      	27.8908      	      0      
    7.5      	14366.7      	1.9624e+07      	  19624      	17150.6      	  6.991      	  6.991      	28.0903      	      0      
   7.55      	14420.2      	1.9624e+07      	  19624      	16280.6      	7.01705      	7.01705      	28.2906      	      0      
    7.6      	14473.3      	1.9624e+07      	  19624      	15791.5      	7.04289      	7.04289      	28.4916      	      0      
   7.65      	14524.6      	1.9624e+07      	  19624      	  15809      	7.06786      	7.06786      	28.6933      	      0      
    7.7      	14573.4      	1.9624e+07      	  19624      	16142.1      	7.09161      	7.09161      	28.8957      	      0      
   7.75      	14620.3      	1.9624e+07      	  19624      	16504.8      	7.11443      	7.11443      	29.0988      	      0      
    7.8      	14668.6      	1.9624e+07      	  19624      	  16886      	 7.1379      	 7.1379      	29.3025      	      0      
   7.85      	14721.6      	1.9624e+07      	  19624      	  17152      	7.16369      	7.16369      	 29.507      	      0      
    7.9      	14780.1      	1.9624e+07      	  19624      	17326.2      	7.19216      	7.19216      	29.7123      	      0      
   7.95      	  14837      	1.9624e+07      	  19624      	17280.1      	7.21988      	7.21988      	29.9183      	      0      
      8      	14887.8      	1.9624e+07      	  19624      	17154.4      	7.24456      	7.24456      	30.1251      	      0      
   8.05      	14938.3      	1.9624e+07      	  19624      	16890.7      	7.26916      	7.26916      	30.3326      	      0      
    8.1      	  14996      	1.9624e+07      	  19624      	16643.8      	7.29721      	7.29721      	30.5409      	      0      
   8.15      	15054.9      	1.9624e+07      	  19624      	16280.7      	7.32591      	7.32591      	  30.75      	      0      
    8.2      	15109.6      	1.9624e+07      	  19624      	15933.4      	 7.3525      	 7.3525      	30.9598      	      0      
   8.25      	15163.2      	1.9624e+07      	  19624      	15456.7      	 7.3786      	 7.3786      	31.1704      	      0      
    8.3      	  15218      	1.9624e+07      	  19624      	15057.9      	7.40524      	7.40524      	31.3818      	      0      
   8.35      	15270.4      	1.9624e+07      	  19624      	14616.1      	7.43074      	7.43074      	31.5939      	      0      
    8.4      	15318.7      	1.9624e+07      	  19624      	14308.7      	7.45425      	7.45425      	31.8066      	      0      
   8.45      	15363.3      	1.9624e+07      	  19624      	13848.3      	7.47596      	7.47596      	  32.02      	      0      
    8.5      	15405.6      	1.9624e+07      	  19624      	13424.9      	7.49656      	7.49656      	 32.234      	      0      
   8.55      	15444.7      	1.9624e+07      	  19624      	12851.8      	 7.5156      	 7.5156      	32.4485      	      0      
    8.6      	15480.5      	1.9624e+07      	  19624      	12410.6      	7.53298      	7.53298      	32.6635      	      0      
   8.65      	15514.1      	1.9624e+07      	  19624      	11817.9      	7.54936      	7.54936      	 32.879      	      0      
    8.7      	15547.5      	1.9624e+07      	  19624      	11327.3      	 7.5656      	 7.5656      	33.0949      	      0      
   8.75      	15580.3      	1.9624e+07      	  19624      	10665.3      	7.58158      	7.58158      	33.3113      	      0      
    8.8      	15611.8      	1.9624e+07      	  19624      	10172.7      	 7.5969      	 7.5969      	33.5281      	      0      
   8.85      	15643.2      	1.9624e+07      	  19624      	9514.49      	7.61218      	7.61218      	33.7454      	      0      
    8.9      	15676.8      	1.9624e+07      	  19624      	   9024      	7.62851      	7.62851      	33.9631      	      0      
   8.95      	15709.9      	1.9624e+07      	  19624      	8336.43      	7.64462      	7.64462      	34.1813      	      0      
      9      	15739.8      	1.9624e+07      	  19624      	 7846.4      	7.65918      	7.65918      	34.3999      	      0      
   9.05      	15768.2      	1.9624e+07      	  19624      	7145.91      	7.67302      	7.67302      	34.6189      	      0      
    9.1      	15796.4      	1.9624e+07      	  19624      	6660.75      	7.68672      	7.68672      	34.8383      	      0      
   9.15      	15821.1      	1.9624e+07      	  19624      	5950.79      	7.69876      	7.69876      	35.0581      	      0      
    9.2      	15841.6      	1.9624e+07      	  19624      	5478.58      	 7.7087      	 7.7087      	35.2781      	      0      
   9.25      	15859.3      	1.9624e+07      	  19624      	4752.83      	7.71734      	7.71734      	35.4984      	      0      
    9.3      	15874.2      	1.9624e+07      	  19624      	4275.14      	7.72458      	7.72458      	35.7188      	      0      
   9.35      	15884.9      	1.9624e+07      	  19624      	3541.47      	7.72976      	7.72976      	35.9394      	      0      
    9.4      	15892.2      	1.9624e+07      	  19624      	3083.81      	7.73334      	7.73334      	36.1602      	      0      
   9.45      	15897.7      	1.9624e+07      	  19624      	2342.42      	7.73599      	7.73599      	 36.381      	      0      
    9.5      	15901.8      	1.9624e+07      	  19624      	1866.95      	7.73799      	7.73799      	36.6018      	      0      
   9.55      	15904.4      	1.9624e+07      	  19624      	1091.34      	7.73929      	7.73929      	36.8227      	      0      
    9.6      	15906.2      	1.9624e+07      	  19624      	590.391      	7.74016      	7.74016      	37.0436      	      0      
   9.65      	15908.1      	1.9624e+07      	  19624      	-182.918      	7.74109      	7.74109      	37.2646      	      0      
    9.7      	15910.4      	1.9624e+07      	  19624      	-634.426      	7.74217      	7.74217      	37.4856      	      0      
   9.75      	15911.6      	1.9624e+07      	  19624      	-1394.34      	7.74276      	7.74276      	37.7066      	      0      
    9.8      	15910.9      	1.9624e+07      	  19624      	-1866.14      	7.74244      	7.74244      	37.9276      	      0      
   9.85      	15909.2      	1.9624e+07      	  19624      	-2659.7      	7.74162      	7.74162      	38.1485      	      0      
    9.9      	15906.9      	1.9624e+07      	  19624      	-3175.66      	 7.7405      	 7.7405      	38.3694      	      0      
   9.95      	15901.8      	1.9624e+07      	  19624      	-4015.66      	  7.738      	  7.738      	38.5903      	      0      
     10      	15892.2      	1.9624e+07      	  19624      	-4586.95      	7.73335      	7.73335      	 38.811      	      0      
  10.05      	15879.8      	1.9624e+07      	  19624      	-5464.97      	 7.7273      	 7.7273      	39.0316      	      0      
   10.1      	  15865      	1.9624e+07      	  19624      	-6056.33      	7.72009      	7.72009      	39.2519      	      0      
  10.15      	15846.1      	1.9624e+07      	  19624      	-6877.11      	7.71092      	7.71092      	 39.472      	      0      
   10.2      	15823.3      	1.9624e+07      	  19624      	-7359.9      	7.69979      	7.69979      	39.6918      	      0      
  10.25      	15798.2      	1.9624e+07      	  19624      	-7983.88      	 7.6876      	 7.6876      	39.9112      	      0      
   10.3      	15771.9      	1.9624e+07      	  19624      	-8243.09      	7.67482      	7.67482      	40.1303      	      0      
  10.35      	15744.8      	1.9624e+07      	  19624      	-8652.41      	 7.6616      	 7.6616      	40.3489      	      0      
   10.4      	15713.8      	1.96195e+07      	19619.5      	-8806.08      	7.64828      	7.64828      	40.5672      	      0      
  10.45      	15660.8      	1.95867e+07      	19586.7      	-9195.97      	7.63526      	7.63526      	40.7847      	      0      
   10.5      	15610.8      	1.95559e+07      	19555.9      	-9452.61      	7.62288      	7.62288      	41.0015      	      0      
  10.55      	15562.7      	1.95271e+07      	19527.1      	-9984.19      	 7.6106      	 7.6106      	41.2177      	      0      
   10.6      	15515.8      	1.95002e+07      	19500.2      	-10369.8      	7.59812      	7.59812      	41.4331      	      0      
  10.65      	15469.1      	1.94752e+07      	19475.2      	-10958.9      	7.58498      	7.58498      	 41.648      	      0      
   10.7      	15422.8      	1.94522e+07      	19452.2      	 -11379      	7.57118      	7.57118      	41.8622      	      0      
  10.75      	15375.8      	1.94312e+07      	19431.2      	-11937.3      	7.55628      	7.55628      	42.0758      	      0      
   10.8      	15327.5      	1.94122e+07      	19412.2      	-12322.9      	7.53993      	7.53993      	42.2886      	      0      
  10.85      	15277.5      	1.93951e+07      	19395.1      	-12824.4      	7.52195      	7.52195      	42.5008      	      0      
   10.9      	15226.1      	1.938e+07      	  19380      	-13184.8      	 7.5025      	 7.5025      	42.7123      	      0      
  10.95      	15172.7      	1.93669e+07      	19366.9      	-13643.7      	7.48124      	7.48124      	 42.923      	      0      
     11      	15117.7      	1.93558e+07      	19355.8      	-13971.7      	 7.4584      	 7.4584      	 43.133      	      0      
  11.05      	15062.4      	1.93468e+07      	19346.8      	-14398.9      	7.43457      	7.43457      	43.3422      	      0      
   11.1      	15007.8      	1.93398e+07      	19339.8      	-14762.6      	7.41029      	7.41029      	43.5506      	      0      
  11.15      	14954.1      	1.9335e+07      	  19335      	-15222.6      	7.38565      	7.38565      	43.7583      	      0      
   11.2      	14903.1      	1.93322e+07      	19332.2      	-15625.8      	 7.3615      	 7.3615      	43.9653      	      0      
  11.25      	14855.4      	1.93316e+07      	19331.6      	-16099.1      	7.33819      	7.33819      	44.1716      	      0      
   11.3      	14810.7      	1.9333e+07      	  19333      	-16523.8      	7.31554      	7.31554      	44.3774      	      0      
  11.35      	14767.9      	1.93366e+07      	19336.6      	-16993.6      	7.29306      	7.29306      	44.5825      	      0      
   11.4      	  14727      	1.93423e+07      	19342.3      	-17419.9      	7.27074      	7.27074      	 44.787      	      0      
  11.45      	14687.5      	1.93501e+07      	19350.1      	-17876.5      	7.24829      	7.24829      	 44.991      	      0      
   11.5      	14648.3      	1.93599e+07      	19359.9      	-18302.7      	7.22527      	7.22527      	45.1944      	      0      
  11.55      	  14608      	1.93719e+07      	19371.9      	-18745.6      	7.20095      	7.20095      	45.3973      	      0      
   11.6      	14566.1      	1.93858e+07      	19385.8      	-19166.8      	7.17514      	7.17514      	45.5996      	      0      
  11.65      	14522.4      	1.94018e+07      	19401.8      	-19594.4      	7.14771      	7.14771      	45.8013      	      0      
   11.7      	14476.5      	1.94198e+07      	19419.8      	-20004.8      	7.11851      	7.11851      	46.0024      	      0      
  11.75      	  14428      	1.94399e+07      	19439.9      	-20408.2      	7.08734      	7.08734      	46.2028      	      0      
   11.8      	14377.6      	1.94621e+07      	19462.1      	-20797.7      	7.05451      	7.05451      	46.4025      	      0      
