# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:01      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	15488.2 [169.65s]      	1.9597e+07 [150.95s]      	  19597 [150.95s]      	-1258.41 [211.1s]      	7.53765 [111.45s]      	7.53765 [111.45s]      	405.199 [100.05s]      	      0 [100.05s]      
    Max      	  15577 [506.95s]      	1.9624e+07 [102s]      	  19624 [102s]      	923.339 [130.1s]      	7.58101 [149.8s]      	7.58101 [149.8s]      	2993.52 [700.05s]      	      0 [100.05s]      
   Mean      	15529.9      	1.96165e+07      	19616.5      	 172.56      	7.55995      	7.55995      	1699.36      	      0      
Standard deviation      	 18.716      	9187.26      	9.18726      	490.634      	0.00929332      	0.00929332      	747.281      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	13756.6      	1.87665e+07      	18766.5      	-18766.5      	      7      	      7      	0.191064      	      0      
   0.05      	13756.6      	1.87665e+07      	18766.5      	-18766.9      	      7      	      7      	0.191064      	      0      
    0.1      	13588.6      	1.85415e+07      	18541.5      	-18544.5      	6.99844      	6.99844      	0.379794      	      0      
   0.15      	13588.8      	1.85415e+07      	18541.5      	-18551.6      	6.99852      	6.99852      	0.568527      	      0      
    0.2      	  13559      	1.85414e+07      	18541.4      	 -18565      	6.98322      	6.98322      	0.756846      	      0      
   0.25      	13552.4      	1.85412e+07      	18541.2      	-18585.9      	6.97993      	6.97993      	0.945074      	      0      
    0.3      	13541.7      	1.85407e+07      	18540.7      	-18616.4      	6.97458      	6.97458      	1.13315      	      0      
   0.35      	13537.3      	1.85399e+07      	18539.9      	-18656.7      	6.97263      	6.97263      	1.32117      	      0      
    0.4      	13544.6      	1.85388e+07      	18538.8      	-18708.6      	6.97679      	6.97679      	1.50929      	      0      
   0.45      	13536.1      	1.85375e+07      	18537.5      	-18772.5      	6.97293      	6.97293      	1.69729      	      0      
    0.5      	13552.6      	1.85359e+07      	18535.9      	-18847.3      	6.98198      	6.98198      	1.88552      	      0      
