# Sensor: Sensor Sea      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:19      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      
Time [s]      	Surface elevation (origin)      [      m      ]      	Dynamic pressure (origin)      [   k Pa      ]      
----------	----------	----------      
    Min      	-2.0135 [276.35s]      	-20.2768 [276.35s]      
    Max      	 2.0135 [622.35s]      	20.2768 [622.35s]      
   Mean      	-0.000572265      	-0.00576297      
Standard deviation      	1.42548      	14.3552      
----------	----------	----------      
      0      	      0      	      0      
   0.05      	0.0703717      	0.708675      
    0.1      	0.140658      	1.41648      
   0.15      	0.210771      	2.12256      
    0.2      	0.280628      	2.82605      
   0.25      	0.350141      	3.52608      
    0.3      	0.419227      	 4.2218      
   0.35      	 0.4878      	4.91237      
    0.4      	0.555778      	5.59693      
   0.45      	0.623076      	6.27465      
    0.5      	0.689613      	6.94471      
   0.55      	0.755307      	7.60628      
    0.6      	0.820079      	8.25856      
   0.65      	0.883848      	8.90075      
    0.7      	0.946538      	9.53206      
   0.75      	1.00807      	10.1517      
    0.8      	1.06837      	 10.759      
   0.85      	1.12737      	11.3531      
    0.9      	1.18499      	11.9333      
   0.95      	1.24116      	 12.499      
      1      	1.29581      	13.0494      
   1.05      	1.34888      	13.5838      
    1.1      	 1.4003      	14.1017      
   1.15      	1.45001      	14.6023      
    1.2      	1.49795      	15.0851      
   1.25      	1.54406      	15.5494      
    1.3      	1.58829      	15.9948      
   1.35      	1.63057      	16.4205      
    1.4      	1.67086      	16.8263      
   1.45      	1.70911      	17.2115      
    1.5      	1.74527      	17.5756      
   1.55      	1.77929      	17.9183      
    1.6      	1.81115      	 18.239      
   1.65      	1.84079      	18.5375      
    1.7      	1.86818      	18.8134      
   1.75      	1.89329      	19.0662      
    1.8      	1.91608      	19.2958      
   1.85      	1.93653      	19.5018      
    1.9      	1.95462      	19.6839      
   1.95      	1.97032      	 19.842      
      2      	1.98361      	19.9759      
   2.05      	1.99448      	20.0853      
    2.1      	2.00291      	20.1702      
   2.15      	 2.0089      	20.2305      
    2.2      	2.01242      	 20.266      
   2.25      	2.01349      	20.2768      
    2.3      	 2.0121      	20.2628      
   2.35      	2.00826      	 20.224      
    2.4      	2.00195      	20.1606      
   2.45      	1.99321      	20.0725      
    2.5      	1.98202      	19.9598      
   2.55      	1.96842      	19.8228      
    2.6      	 1.9524      	19.6616      
   2.65      	1.93401      	19.4763      
    2.7      	1.91325      	19.2673      
   2.75      	1.89015      	19.0347      
    2.8      	1.86474      	18.7788      
   2.85      	1.83706      	   18.5      
