# Sensor: Sensor Rotor      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:15      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	     11      	     12      	     13      	     14      	     15      	     16      	     17      	     18      	     19      	     20      	      
Time [s]      	Power (aero)      [    k W      ]      	Torque (aero)      [   k Nm      ]      	Thrust (aero)      [    k N      ]      	    RPM      [    rpm      ]      	    TSR      [             ]      	Demanded collective pitch angle      [      °      ]      	Power coef. (CP)      [      %      ]      	Thrust coef. (CT)      [      %      ]      	Tip speed      [    m/s      ]      	1P (one revolution)      [      s      ]      	nP (blade passing)      [      s      ]      	Azimuth angle      [      °      ]      	Rotation per timestep      [      °      ]      	Wind speed at hub, magnitude      [    m/s      ]      	Wind speed at hub     .x      [    m/s      ]      	Wind speed at hub     .y      [    m/s      ]      	Wind speed at hub     .z      [    m/s      ]      	Wind angle at hub      [      °      ]      	Yaw angle      [      °      ]      
    0.2      	-14.1893      	-19.4125      	-0.232292      	6.97994      	4.01546      	29.6001      	-0.00474113      	-0.00170757      	88.3401      	8.59606      	2.86535      	6.29657      	2.09398      	     22      	      0      	    -22      	      0      	      0      	      0      
   0.25      	-26.9031      	-36.8344      	-0.551114      	 6.9746      	4.01239      	29.5001      	-0.00898924      	-0.00405121      	88.2726      	8.60264      	2.86755      	8.39104      	2.09238      	     22      	      0      	    -22      	      0      	      0      	      0      
    0.3      	-45.5055      	-62.3212      	-1.05056      	6.97267      	4.01128      	29.4001      	-0.0152049      	-0.0077226      	88.2482      	8.60502      	2.86834      	10.4842      	 2.0918      	     22      	      0      	    -22      	      0      	      0      	      0      
   0.35      	-69.9268      	-95.7093      	-1.79169      	6.97687      	 4.0137      	29.3001      	-0.0233649      	-0.0131706      	88.3013      	8.59984      	2.86661      	12.5763      	2.09306      	     22      	      0      	    -22      	      0      	      0      	      0      
    0.4      	-101.07      	-138.411      	-2.75293      	6.97306      	 4.0115      	29.2002      	-0.0337711      	-0.0202366      	88.2531      	8.60454      	2.86818      	14.6687      	2.09192      	     22      	      0      	    -22      	      0      	      0      	      0      
   0.45      	-139.423      	-190.684      	-3.97773      	6.98219      	4.01675      	29.1002      	-0.0465859      	-0.0292401      	88.3686      	 8.5933      	2.86443      	16.7612      	2.09466      	     22      	      0      	    -22      	      0      	      0      	      0      
    0.5      	-182.898      	-250.288      	-5.47131      	6.97812      	4.01441      	29.0002      	-0.0611123      	-0.0402193      	88.3171      	 8.5983      	 2.8661      	18.8545      	2.09344      	     22      	      0      	    -22      	      0      	      0      	      0      
   0.55      	-233.925      	-320.22      	-7.12695      	6.97589      	4.01313      	28.9002      	-0.0781623      	-0.0523898      	88.2889      	8.60105      	2.86702      	20.9486      	2.09277      	     22      	      0      	    -22      	      0      	      0      	      0      
    0.6      	-287.644      	-393.582      	-9.05935      	6.97897      	 4.0149      	28.8002      	-0.0961116      	-0.0665948      	88.3279      	8.59725      	2.86575      	23.0417      	2.09369      	     22      	      0      	    -22      	      0      	      0      	      0      
   0.65      	-346.538      	-474.099      	-10.9682      	6.97997      	4.01548      	28.7002      	-0.11579      	-0.0806265      	88.3405      	8.59603      	2.86534      	25.1349      	2.09399      	     22      	      0      	    -22      	      0      	      0      	      0      
    0.7      	-407.087      	-556.264      	-12.9873      	 6.9884      	4.02033      	28.6003      	-0.136022      	-0.0954692      	88.4472      	8.58566      	2.86189      	27.2287      	2.09652      	     22      	      0      	    -22      	      0      	      0      	      0      
   0.75      	-466.897      	-638.34      	-14.9034      	6.98457      	4.01813      	28.5003      	-0.156006      	-0.109554      	88.3988      	8.59036      	2.86345      	 29.324      	2.09537      	     22      	      0      	    -22      	      0      	      0      	      0      
    0.8      	-528.742      	-723.048      	-16.6234      	 6.9831      	4.01728      	28.4003      	-0.176671      	-0.122198      	88.3801      	8.59218      	2.86406      	31.4199      	2.09493      	     22      	      0      	    -22      	      0      	      0      	      0      
   0.85      	-583.209      	-797.39      	-18.2727      	6.98433      	4.01799      	28.3003      	-0.19487      	-0.134322      	88.3957      	8.59066      	2.86355      	33.5151      	 2.0953      	     22      	      0      	    -22      	      0      	      0      	      0      
    0.9      	-636.186      	-869.985      	-19.3534      	6.98303      	4.01724      	28.2003      	-0.212571      	-0.142266      	88.3793      	8.59225      	2.86408      	35.6102      	2.09491      	     22      	      0      	    -22      	      0      	      0      	      0      
   0.95      	-678.703      	-928.003      	-20.2211      	6.98396      	4.01777      	28.1004      	-0.226778      	-0.148645      	 88.391      	8.59111      	 2.8637      	37.7053      	2.09519      	     22      	      0      	    -22      	      0      	      0      	      0      
      1      	-714.201      	-977.986      	-20.4251      	6.97364      	4.01183      	28.0004      	-0.238639      	-0.150144      	88.2604      	8.60383      	2.86794      	39.8004      	2.09209      	     22      	      0      	    -22      	      0      	      0      	      0      
   1.05      	-749.719      	-1026.05      	-20.2313      	6.97755      	4.01408      	27.9004      	-0.250506      	-0.148719      	88.3099      	8.59901      	2.86634      	 41.894      	2.09326      	     22      	      0      	    -22      	      0      	      0      	      0      
    1.1      	-777.857      	-1065.17      	-19.9214      	6.97355      	4.01178      	27.8004      	-0.259909      	-0.146441      	88.2592      	8.60394      	2.86798      	43.9867      	2.09206      	     22      	      0      	    -22      	      0      	      0      	      0      
   1.15      	-815.856      	-1116.61      	-19.2506      	6.97723      	 4.0139      	27.7004      	-0.272605      	-0.14151      	88.3059      	 8.5994      	2.86647      	46.0793      	2.09317      	     22      	      0      	    -22      	      0      	      0      	      0      
    1.2      	-847.676      	-1159.96      	-18.9618      	6.97845      	 4.0146      	27.6005      	-0.283237      	-0.139388      	88.3213      	 8.5979      	2.86597      	 48.172      	2.09354      	     22      	      0      	    -22      	      0      	      0      	      0      
   1.25      	-885.551      	-1212.65      	-18.3505      	6.97345      	4.01173      	27.5005      	-0.295893      	-0.134894      	 88.258      	8.60406      	2.86802      	50.2653      	2.09204      	     22      	      0      	    -22      	      0      	      0      	      0      
    1.3      	-928.976      	-1272.36      	-18.0123      	6.97213      	4.01097      	27.4005      	-0.310402      	-0.132407      	88.2412      	8.60569      	2.86856      	52.3581      	2.09164      	     22      	      0      	    -22      	      0      	      0      	      0      
   1.35      	-972.616      	-1334.34      	-17.9223      	 6.9606      	4.00434      	27.3005      	-0.324984      	-0.131746      	88.0954      	8.61994      	2.87331      	54.4499      	2.08818      	     22      	      0      	    -22      	      0      	      0      	      0      
    1.4      	-1028.88      	-1414.02      	-17.9345      	6.94833      	3.99728      	27.2005      	-0.343783      	-0.131836      	87.9401      	8.63517      	2.87839      	56.5398      	 2.0845      	     22      	      0      	    -22      	      0      	      0      	      0      
   1.45      	-1074.89      	-1478.8      	-18.5674      	6.94104      	3.99308      	27.1005      	-0.359157      	-0.136488      	87.8478      	8.64424      	2.88141      	58.6262      	2.08231      	     22      	      0      	    -22      	      0      	      0      	      0      
    1.5      	-1118.82      	-1541.21      	-18.6976      	6.93214      	3.98796      	27.0006      	-0.373835      	-0.137445      	87.7352      	8.65534      	2.88511      	60.7096      	2.07964      	     22      	      0      	    -22      	      0      	      0      	      0      
   1.55      	-1146.72      	-1580.14      	-18.7353      	6.93001      	3.98674      	26.9006      	-0.383158      	-0.137722      	87.7082      	  8.658      	  2.886      	62.7905      	  2.079      	     22      	      0      	    -22      	      0      	      0      	      0      
    1.6      	-1158.53      	-1599.82      	-18.0401      	6.91525      	3.97825      	26.8006      	-0.387104      	-0.132612      	87.5214      	8.67647      	2.89216      	64.8699      	2.07458      	     22      	      0      	    -22      	      0      	      0      	      0      
   1.65      	-1171.49      	-1620.78      	-16.7772      	 6.9022      	3.97074      	26.7006      	-0.391435      	-0.123328      	87.3562      	8.69288      	2.89763      	66.9466      	2.07066      	     22      	      0      	    -22      	      0      	      0      	      0      
    1.7      	-1164.01      	-1613.88      	-15.7543      	6.88743      	3.96224      	26.6006      	-0.388936      	-0.115809      	87.1693      	8.71152      	2.90384      	69.0193      	2.06623      	     22      	      0      	    -22      	      0      	      0      	      0      
   1.75      	-1154.41      	-1603.74      	-13.9639      	6.87382      	3.95441      	26.5007      	-0.385728      	-0.102648      	 86.997      	8.72878      	2.90959      	71.0877      	2.06214      	     22      	      0      	    -22      	      0      	      0      	      0      
    1.8      	-1115.78      	-1552.08      	-12.2597      	 6.8649      	3.94928      	26.4007      	-0.372819      	-0.0901203      	86.8841      	8.74011      	2.91337      	73.1519      	2.05947      	     22      	      0      	    -22      	      0      	      0      	      0      
   1.85      	-1056.21      	-1471.91      	-9.13584      	6.85239      	3.94208      	26.3007      	-0.352917      	-0.0671571      	86.7258      	8.75607      	2.91869      	75.2127      	2.05572      	     22      	      0      	    -22      	      0      	      0      	      0      
    1.9      	-976.921      	-1362.83      	-4.8652      	6.84523      	3.93796      	26.2007      	-0.326422      	-0.0357638      	86.6352      	8.76523      	2.92174      	77.2703      	2.05357      	     22      	      0      	    -22      	      0      	      0      	      0      
   1.95      	-862.067      	-1204.59      	0.526874      	6.83397      	3.93148      	26.1007      	-0.288046      	0.00387302      	86.4926      	8.77967      	2.92656      	79.3249      	2.05019      	     22      	      0      	    -22      	      0      	      0      	      0      
      2      	-726.964      	-1017.77      	7.76311      	6.82076      	3.92389      	26.0008      	-0.242903      	0.0570662      	86.3255      	8.79667      	2.93222      	81.3768      	2.04623      	     22      	      0      	    -22      	      0      	      0      	      0      
   2.05      	-541.963      	-760.029      	16.0968      	6.80943      	3.91737      	25.9008      	-0.181088      	0.118327      	 86.182      	8.81132      	2.93711      	 83.425      	2.04283      	     22      	      0      	    -22      	      0      	      0      	      0      
    2.1      	 -313.8      	-440.989      	 27.047      	6.79511      	3.90913      	25.8008      	-0.104851      	0.198821      	86.0009      	8.82988      	2.94329      	85.4695      	2.03853      	     22      	      0      	    -22      	      0      	      0      	      0      
   2.15      	-45.0852      	-63.4184      	40.2438      	6.78875      	3.90547      	25.7008      	-0.0150645      	0.29583      	85.9204      	8.83815      	2.94605      	87.5102      	2.03663      	     22      	      0      	    -22      	      0      	      0      	      0      
    2.2      	 267.09      	376.291      	55.4002      	6.77805      	3.89931      	25.6008      	0.0892438      	0.407244      	85.7849      	8.85211      	 2.9507      	89.5478      	2.03341      	     22      	      0      	    -22      	      0      	      0      	      0      
   2.25      	589.966      	832.263      	72.6001      	 6.7692      	3.89423      	25.5008      	0.197128      	0.53368      	 85.673      	8.86367      	2.95456      	91.5828      	2.03076      	     22      	      0      	    -22      	      0      	      0      	      0      
    2.3      	959.922      	1355.99      	90.2752      	6.76006      	3.88897      	25.4009      	0.320743      	0.663608      	85.5572      	8.87566      	2.95855      	93.6149      	2.02802      	     22      	      0      	    -22      	      0      	      0      	      0      
   2.35      	1340.08      	 1895.5      	110.243      	6.75115      	3.88384      	25.3009      	0.447765      	0.810388      	85.4445      	8.88737      	2.96246      	95.6443      	2.02535      	     22      	      0      	    -22      	      0      	      0      	      0      
    2.4      	1749.16      	2477.74      	130.686      	6.74131      	3.87818      	25.2009      	0.584453      	0.960665      	  85.32      	8.90034      	2.96678      	97.6709      	2.02239      	     22      	      0      	    -22      	      0      	      0      	      0      
   2.45      	2170.06      	3079.95      	152.453      	6.72821      	3.87064      	25.1009      	0.72509      	1.12067      	85.1542      	8.91768      	2.97256      	99.6948      	2.01846      	     22      	      0      	    -22      	      0      	      0      	      0      
    2.5      	2577.31      	3665.19      	174.838      	6.71494      	3.86301      	25.0009      	0.861168      	1.28522      	84.9862      	8.93531      	2.97844      	101.715      	2.01448      	     22      	      0      	    -22      	      0      	      0      	      0      
   2.55      	2987.17      	4253.47      	196.536      	6.70639      	3.85809      	 24.901      	0.998115      	1.44472      	84.8779      	 8.9467      	2.98223      	103.732      	2.01192      	     22      	      0      	    -22      	      0      	      0      	      0      
    2.6      	 3370.3      	4806.02      	218.211      	 6.6966      	3.85246      	 24.801      	1.12613      	1.60405      	84.7541      	8.95977      	2.98659      	105.745      	2.00898      	     22      	      0      	    -22      	      0      	      0      	      0      
   2.65      	3758.09      	5362.99      	238.575      	6.69163      	 3.8496      	 24.701      	1.25571      	1.75375      	84.6912      	8.96643      	2.98881      	107.755      	2.00749      	     22      	      0      	    -22      	      0      	      0      	      0      
    2.7      	4141.36      	 5918.5      	258.992      	6.68194      	3.84403      	 24.601      	1.38377      	1.90384      	84.5686      	8.97942      	2.99314      	109.764      	2.00458      	     22      	      0      	    -22      	      0      	      0      	      0      
   2.75      	4511.34      	6452.98      	279.363      	  6.676      	3.84061      	 24.501      	1.50739      	2.05358      	84.4933      	8.98742      	2.99581      	 111.77      	 2.0028      	     22      	      0      	    -22      	      0      	      0      	      0      
    2.8      	4887.31      	7001.84      	298.964      	6.66544      	3.83453      	24.4011      	1.63302      	2.19767      	84.3598      	9.00165      	3.00055      	113.773      	1.99963      	     22      	      0      	    -22      	      0      	      0      	      0      
   2.85      	5242.83      	 7520.6      	318.888      	6.65709      	3.82973      	24.3011      	1.75181      	2.34413      	84.2541      	9.01294      	3.00431      	115.774      	1.99713      	     22      	      0      	    -22      	      0      	      0      	      0      
    2.9      	5618.93      	8070.83      	337.785      	6.64824      	3.82464      	24.2011      	1.87748      	2.48304      	84.1421      	9.02494      	3.00831      	117.773      	1.99447      	     22      	      0      	    -22      	      0      	      0      	      0      
   2.95      	5995.57      	8618.96      	357.694      	6.64273      	3.82147      	24.1011      	2.00332      	2.62939      	84.0723      	9.03243      	3.01081      	119.769      	1.99282      	     22      	      0      	    -22      	      0      	      0      	      0      
      3      	6378.71      	9176.11      	377.592      	6.63813      	3.81882      	24.0011      	2.13134      	2.77566      	84.0141      	9.03869      	 3.0129      	121.762      	1.99144      	     22      	      0      	    -22      	      0      	      0      	      0      
   3.05      	6767.44      	9742.84      	397.728      	  6.633      	3.81587      	23.9012      	2.26123      	2.92368      	83.9491      	9.04568      	3.01523      	123.754      	 1.9899      	     22      	      0      	    -22      	      0      	      0      	      0      
    3.1      	7141.92      	10295.4      	418.126      	6.62436      	 3.8109      	23.8012      	2.38636      	3.07362      	83.8398      	9.05747      	3.01916      	125.745      	1.98731      	     22      	      0      	    -22      	      0      	      0      	      0      
   3.15      	7541.63      	10882.5      	438.069      	6.61769      	3.80706      	23.7012      	2.51992      	3.22022      	83.7553      	9.06661      	 3.0222      	127.734      	1.98531      	     22      	      0      	    -22      	      0      	      0      	      0      
    3.2      	7942.06      	11475.8      	459.071      	6.60881      	3.80195      	23.6012      	2.65371      	 3.3746      	 83.643      	9.07879      	3.02626      	 129.72      	1.98264      	     22      	      0      	    -22      	      0      	      0      	      0      
   3.25      	8362.11      	12092.2      	480.222      	 6.6036      	3.79896      	23.5012      	2.79407      	3.53009      	83.5771      	9.08595      	3.02865      	131.704      	1.98108      	     22      	      0      	    -22      	      0      	      0      	      0      
    3.3      	8787.66      	12722.4      	502.054      	6.59592      	3.79454      	23.4012      	2.93626      	3.69057      	83.4798      	9.09653      	3.03218      	133.686      	1.97878      	     22      	      0      	    -22      	      0      	      0      	      0      
   3.35      	9208.43      	13337.3      	 524.34      	6.59307      	 3.7929      	23.3013      	3.07685      	 3.8544      	83.4438      	9.10046      	3.03349      	135.666      	1.97792      	     22      	      0      	    -22      	      0      	      0      	      0      
    3.4      	9636.53      	13964.8      	 546.17      	6.58959      	 3.7909      	23.2013      	3.21989      	4.01487      	83.3998      	9.10527      	3.03509      	137.644      	1.97688      	     22      	      0      	    -22      	      0      	      0      	      0      
   3.45      	10054.1      	14573.8      	568.397      	6.58777      	3.78985      	23.1013      	 3.3594      	4.17825      	83.3768      	9.10778      	3.03593      	139.621      	1.97633      	     22      	      0      	    -22      	      0      	      0      	      0      
    3.5      	10481.2      	15202.1      	590.093      	 6.5838      	3.78757      	23.0013      	3.50211      	4.33774      	83.3265      	9.11328      	3.03776      	141.598      	1.97514      	     22      	      0      	    -22      	      0      	      0      	      0      
   3.55      	10903.2      	  15821      	612.482      	6.58099      	3.78595      	22.9013      	3.64314      	4.50232      	83.2909      	9.11717      	3.03906      	143.574      	 1.9743      	     22      	      0      	    -22      	      0      	      0      	      0      
    3.6      	  11308      	16414.4      	634.684      	 6.5786      	3.78458      	22.8014      	3.77839      	4.66552      	83.2607      	9.12048      	3.04016      	145.549      	1.97358      	     22      	      0      	    -22      	      0      	      0      	      0      
   3.65      	11695.7      	16977.9      	656.169      	 6.5783      	 3.7844      	22.7014      	3.90794      	4.82346      	83.2568      	 9.1209      	 3.0403      	147.522      	1.97349      	     22      	      0      	    -22      	      0      	      0      	      0      
    3.7      	12068.7      	17518.6      	676.774      	6.57861      	3.78458      	22.6014      	4.03258      	4.97493      	83.2607      	9.12047      	3.04016      	149.496      	1.97358      	     22      	      0      	    -22      	      0      	      0      	      0      
   3.75      	12461.5      	18081.5      	696.674      	6.58123      	3.78609      	22.5014      	4.16382      	5.12121      	83.2939      	9.11684      	3.03895      	 151.47      	1.97437      	     22      	      0      	    -22      	      0      	      0      	      0      
    3.8      	12844.6      	18633.6      	717.241      	6.58258      	3.78686      	22.4014      	4.29182      	 5.2724      	 83.311      	9.11497      	3.03832      	153.444      	1.97477      	     22      	      0      	    -22      	      0      	      0      	      0      
   3.85      	13213.3      	19160.4      	737.452      	6.58535      	3.78846      	22.3015      	4.41502      	5.42097      	83.3461      	9.11113      	3.03704      	155.418      	1.97561      	     22      	      0      	    -22      	      0      	      0      	      0      
    3.9      	13561.1      	19666.4      	756.867      	6.58479      	3.78813      	22.2015      	4.53123      	5.56369      	83.3389      	9.11191      	 3.0373      	157.393      	1.97544      	     22      	      0      	    -22      	      0      	      0      	      0      
   3.95      	13890.1      	20139.4      	775.682      	6.58616      	3.78892      	22.1015      	4.64116      	  5.702      	83.3563      	9.11002      	3.03667      	159.369      	1.97585      	     22      	      0      	    -22      	      0      	      0      	      0      
      4      	14204.7      	20592.3      	793.545      	6.58716      	 3.7895      	22.0015      	4.74627      	5.83331      	83.3689      	9.10864      	3.03621      	161.344      	1.97615      	     22      	      0      	    -22      	      0      	      0      	      0      
   4.05      	14490.2      	20996.1      	810.786      	6.59036      	3.79134      	21.9015      	4.84168      	5.96005      	83.4095      	9.10421      	3.03474      	 163.32      	1.97711      	     22      	      0      	    -22      	      0      	      0      	      0      
    4.1      	14751.9      	21364.4      	826.478      	6.59369      	3.79326      	21.8015      	4.92911      	 6.0754      	83.4517      	9.09961      	 3.0332      	165.297      	1.97811      	     22      	      0      	    -22      	      0      	      0      	      0      
   4.15      	14986.2      	21689.6      	  841.1      	6.59797      	3.79572      	21.7016      	5.00739      	6.18288      	83.5059      	 9.0937      	3.03123      	167.275      	1.97939      	     22      	      0      	    -22      	      0      	      0      	      0      
    4.2      	15196.4      	  21980      	854.427      	6.60212      	 3.7981      	21.6016      	5.07763      	6.28085      	83.5583      	9.08799      	3.02933      	169.253      	1.98064      	     22      	      0      	    -22      	      0      	      0      	      0      
   4.25      	15392.3      	22249.9      	866.644      	6.60614      	3.80042      	21.5016      	5.14309      	6.37065      	83.6092      	9.08246      	3.02749      	171.233      	1.98184      	     22      	      0      	    -22      	      0      	      0      	      0      
    4.3      	15587.1      	  22521      	878.099      	6.60919      	3.80217      	21.4016      	5.20816      	6.45486      	83.6478      	9.07827      	3.02609      	173.215      	1.98276      	     22      	      0      	    -22      	      0      	      0      	      0      
   4.35      	15809.8      	22826.5      	889.465      	 6.6139      	3.80488      	21.3016      	5.28259      	6.53841      	83.7074      	9.07181      	3.02394      	175.197      	1.98417      	     22      	      0      	    -22      	      0      	      0      	      0      
    4.4      	16081.6      	  23201      	901.754      	6.61903      	3.80784      	21.2017      	5.37342      	6.62874      	83.7724      	9.06477      	3.02159      	 177.18      	1.98571      	     22      	      0      	    -22      	      0      	      0      	      0      
   4.45      	16428.4      	23672.2      	915.964      	6.62716      	3.81251      	21.1017      	5.48927      	 6.7332      	83.8753      	9.05365      	3.01788      	179.165      	1.98815      	     22      	      0      	    -22      	      0      	      0      	      0      
    4.5      	16846.6      	24247.4      	932.872      	6.63464      	3.81681      	21.0017      	5.62902      	6.85749      	83.9699      	9.04344      	3.01448      	181.152      	1.99039      	     22      	      0      	    -22      	      0      	      0      	      0      
   4.55      	17314.6      	24885.3      	952.711      	 6.6442      	3.82231      	20.9017      	 5.7854      	7.00333      	84.0909      	9.03044      	3.01015      	183.142      	1.99326      	     22      	      0      	    -22      	      0      	      0      	      0      
    4.6      	17789.3      	25533.8      	974.179      	6.65297      	3.82736      	20.8017      	5.94401      	7.16114      	84.2019      	9.01852      	3.00617      	185.133      	1.99589      	     22      	      0      	    -22      	      0      	      0      	      0      
   4.65      	18223.8      	26120.7      	995.735      	6.66232      	3.83274      	20.7018      	 6.0892      	 7.3196      	84.3202      	9.00588      	3.00196      	187.128      	1.99869      	     22      	      0      	    -22      	      0      	      0      	      0      
    4.7      	18601.2      	26625.1      	1015.34      	6.67146      	3.83799      	20.6018      	6.21528      	7.46373      	84.4359      	8.99354      	2.99785      	189.125      	2.00144      	     22      	      0      	    -22      	      0      	      0      	      0      
   4.75      	18918.6      	27038.5      	1032.62      	6.68154      	 3.8438      	20.5018      	6.32134      	 7.5907      	84.5635      	8.97996      	2.99332      	191.125      	2.00446      	     22      	      0      	    -22      	      0      	      0      	      0      
    4.8      	19189.4      	27379.4      	 1047.5      	6.69281      	3.85028      	20.4018      	6.41183      	7.70013      	84.7061      	8.96485      	2.98828      	193.128      	2.00784      	     22      	      0      	    -22      	      0      	      0      	      0      
   4.85      	19431.2      	27672.6      	1060.51      	6.70535      	3.85749      	20.3018      	6.49262      	7.79579      	84.8648      	8.94808      	2.98269      	195.135      	 2.0116      	     22      	      0      	    -22      	      0      	      0      	      0      
    4.9      	  19660      	27949.6      	1072.36      	6.71707      	3.86423      	20.2018      	6.56907      	7.88289      	85.0131      	8.93247      	2.97749      	197.144      	2.01512      	     22      	      0      	    -22      	      0      	      0      	      0      
   4.95      	19897.4      	28235.2      	1083.95      	6.72942      	3.87134      	20.1019      	 6.6484      	7.96808      	85.1695      	8.91607      	2.97202      	199.158      	2.01883      	     22      	      0      	    -22      	      0      	      0      	      0      
      5      	20149.5      	28545.2      	1095.95      	6.74067      	3.87781      	20.0019      	6.73264      	 8.0563      	85.3118      	8.90119      	2.96706      	201.175      	 2.0222      	     22      	      0      	    -22      	      0      	      0      	      0      
   5.05      	20419.6      	  28876      	1108.81      	6.75278      	3.88478      	19.9019      	6.82289      	8.15081      	85.4651      	8.88523      	2.96174      	203.195      	2.02583      	     22      	      0      	    -22      	      0      	      0      	      0      
    5.1      	20707.3      	29233.5      	1122.37      	6.76416      	3.89132      	19.8019      	  6.919      	8.25046      	85.6091      	8.87029      	2.95676      	205.219      	2.02925      	     22      	      0      	    -22      	      0      	      0      	      0      
   5.15      	21007.3      	29599.4      	1136.88      	6.77731      	3.89889      	19.7019      	7.01924      	8.35711      	85.7756      	8.85307      	2.95102      	207.247      	2.03319      	     22      	      0      	    -22      	      0      	      0      	      0      
    5.2      	  21315      	29971.1      	1151.84      	6.79131      	3.90695      	 19.602      	7.12205      	 8.4671      	85.9528      	8.83481      	2.94494      	209.278      	2.03739      	     22      	      0      	    -22      	      0      	      0      	      0      
   5.25      	  21627      	30341.7      	1167.18      	6.80658      	3.91573      	 19.502      	7.22632      	8.57987      	 86.146      	  8.815      	2.93833      	211.313      	2.04197      	     22      	      0      	    -22      	      0      	      0      	      0      
    5.3      	21948.4      	30723.1      	1182.71      	6.82194      	3.92457      	 19.402      	7.33369      	8.69406      	86.3405      	8.79515      	2.93172      	213.353      	2.04658      	     22      	      0      	    -22      	      0      	      0      	      0      
   5.35      	22252.6      	31077.2      	1198.78      	6.83769      	3.93363      	 19.302      	7.43533      	8.81213      	86.5398      	8.77489      	2.92496      	215.397      	2.05131      	     22      	      0      	    -22      	      0      	      0      	      0      
    5.4      	22538.1      	31401.3      	1214.14      	6.85397      	3.94299      	 19.202      	7.53075      	8.92509      	86.7458      	8.75405      	2.91802      	217.446      	2.05619      	     22      	      0      	    -22      	      0      	      0      	      0      
