# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:16      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	726.183 [457.45s]      	  14149 [168.25s]      	12688.3 [141.7s]      	-9583.55 [193.95s]      	-9551.85 [193.95s]      	20.0392 [138.15s]      	-2.63617 [141.9s]      	-1.49763 [109.95s]      	 513.96 [572.8s]      
    Max      	 1916.7 [112.25s]      	25352.3 [181.75s]      	19172.4 [153.8s]      	  21442 [102.1s]      	21448.7 [102.1s]      	20.0464 [115.75s]      	-1.81952 [154.4s]      	1.02595 [121.8s]      	647.277 [110.55s]      
   Mean      	1390.06      	  20335      	15953.9      	5909.84      	5929.11      	20.0428      	-2.2491      	-0.209333      	571.148      
Standard deviation      	408.401      	2974.52      	2116.68      	11296.7      	11287.5      	0.00230506      	0.267476      	0.884011      	39.0594      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	5.21675e-10      	9.15795e-10      	8.55531e-10      	3.24012e-10      	3.2454e-10      	   29.9      	-3.43028      	0.115043      	1.91899e-11      
   0.05      	 1870.4      	53.6018      	9.53416      	52.6891      	52.7452      	   29.9      	-3.42033      	0.114197      	2.43599      
    0.1      	677.551      	88.3903      	78.6091      	-40.1561      	-39.9859      	   29.8      	-3.3886      	0.10762      	3.02626      
   0.15      	945.448      	209.236      	208.559      	 -12.99      	-12.7336      	29.7001      	-3.33678      	0.0907408      	5.59546      
    0.2      	1569.76      	452.241      	451.688      	 6.0421      	6.41095      	29.6001      	-3.26331      	0.066995      	8.58831      
   0.25      	324.058      	1055.59      	1054.43      	-15.8179      	-15.3875      	29.5001      	-3.17148      	0.041221      	9.52286      
    0.3      	1765.04      	1438.09      	1435.64      	54.0524      	54.6149      	29.4001      	-3.07668      	0.0186899      	14.0759      
   0.35      	559.066      	1863.38      	1861.57      	2.20724      	 2.7269      	29.3001      	-2.98826      	-0.00211944      	11.9626      
    0.4      	1203.52      	2526.27      	2522.95      	65.0577      	65.8258      	29.2002      	-2.90694      	-0.0262428      	19.0282      
   0.45      	1252.37      	2948.16      	2944.21      	80.1875      	80.9067      	29.1002      	-2.82258      	-0.0490145      	 18.238      
    0.5      	584.951      	3744.29      	3740.28      	54.6593      	55.4746      	29.0002      	-2.73439      	-0.0681697      	19.8866      
   0.55      	1623.89      	4278.58      	4271.92      	146.582      	147.533      	28.9002      	-2.65479      	-0.0866386      	24.9918      
    0.6      	533.942      	4712.36      	4706.39      	116.587      	117.342      	28.8002      	-2.5912      	-0.101026      	19.8481      
   0.65      	1359.14      	5024.69      	5014.84      	223.515      	224.658      	28.7002      	-2.54862      	-0.105242      	31.0639      
    0.7      	1004.31      	4819.68      	 4810.5      	208.791      	209.757      	28.6003      	-2.52541      	-0.101211      	26.6961      
   0.75      	823.598      	4982.97      	4971.81      	250.906      	252.092      	28.5003      	-2.52056      	-0.0962129      	32.6624      
    0.8      	1437.78      	4939.62      	4920.98      	369.393      	370.574      	28.4003      	-2.53598      	-0.094595      	35.1363      
   0.85      	586.206      	4887.13      	4863.13      	433.566      	434.473      	28.3003      	-2.5738      	-0.0931886      	30.2675      
    0.9      	1412.24      	4767.14      	4725.19      	595.239      	596.287      	28.2003      	-2.6383      	-0.0857621      	37.0115      
   0.95      	818.814      	4294.85      	4242.12      	644.251      	644.917      	28.1004      	-2.73043      	-0.0714504      	29.3188      
      1      	1034.48      	3969.39      	3886.88      	786.321      	 787.04      	28.0004      	-2.8474      	-0.0538546      	33.6437      
   1.05      	1195.55      	3281.09      	 3142.9      	931.608      	932.112      	27.9004      	-2.97531      	-0.0362401      	31.8727      
    1.1      	733.752      	2780.98      	2572.16      	1050.91      	1051.12      	27.8004      	-3.10308      	-0.0211501      	27.6503      
   1.15      	1311.79      	2366.11      	1990.53      	1275.78      	1276.03      	27.7004      	-3.23266      	-0.00487302      	 33.518      
    1.2      	786.853      	1794.11      	1153.28      	1373.15      	1372.98      	27.6005      	-3.36841      	0.014051      	26.0006      
   1.25      	1096.08      	1656.12      	510.563      	1574.93      	1574.92      	27.5005      	-3.51133      	0.03561      	34.2496      
    1.3      	1065.63      	1785.91      	-385.358      	1743.44      	1743.23      	27.4005      	-3.65314      	0.0603001      	33.4164      
   1.35      	819.746      	 2200.5      	-1057.23      	1929.02      	1928.72      	27.3005      	-3.78647      	0.0852578      	35.3952      
    1.4      	1242.92      	2758.65      	-1587.35      	2254.76      	2254.42      	27.2005      	-3.9105      	0.107711      	41.4268      
   1.45      	762.253      	3221.46      	-2007.15      	2517.98      	2517.13      	27.1005      	-4.02583      	0.124996      	35.5185      
    1.5      	1153.17      	3566.51      	-2130.78      	2858.19      	2857.36      	27.0006      	-4.13115      	0.138298      	  43.28      
   1.55      	942.893      	3982.79      	-2455.91      	3133.36      	3132.13      	26.9006      	-4.22352      	0.148012      	 40.051      
    1.6      	929.628      	4262.24      	-2536.62      	3423.16      	3421.84      	26.8006      	-4.30031      	0.150589      	44.4387      
   1.65      	1139.44      	4544.32      	-2521.23      	3778.85      	3777.37      	26.7006      	-4.35592      	0.143717      	48.4042      
    1.7      	810.503      	4778.42      	-2459.41      	4095.22      	4093.39      	26.6006      	-4.38854      	0.127672      	47.2833      
   1.75      	1157.95      	5021.88      	-2272.42      	4476.88      	4475.06      	26.5007      	-4.40136      	0.107942      	 55.962      
    1.8      	890.098      	5301.62      	-2238.6      	4804.48      	4802.38      	26.4007      	-4.40185      	0.0859254      	56.7469      
   1.85      	 1020.2      	5554.28      	-2035.43      	 5166.7      	5164.67      	26.3007      	-4.39913      	0.0608245      	66.2207      
    1.9      	1057.57      	5881.16      	-1888.37      	5568.66      	5566.56      	26.2007      	-4.39285      	0.0341003      	73.3741      
   1.95      	899.265      	6177.43      	-1668.65      	5946.83      	5944.61      	26.1007      	-4.38043      	0.00405058      	78.9501      
      2      	1138.21      	6532.75      	-1307.48      	6399.69      	 6397.5      	26.0008      	-4.36496      	-0.0270233      	89.5387      
   2.05      	919.321      	6879.64      	-1029.1      	6801.45      	6799.02      	25.9008      	-4.35314      	-0.0571541      	92.9785      
    2.1      	1080.03      	7290.09      	-725.532      	7253.07      	7250.73      	25.8008      	-4.34829      	-0.0849249      	104.788      
   2.15      	1044.67      	 7701.9      	-602.828      	7677.39      	7675.02      	25.7008      	-4.34762      	-0.10912      	113.388      
    2.2      	985.354      	8108.19      	-512.466      	8090.99      	8088.71      	25.6008      	-4.34864      	-0.133041      	124.543      
   2.25      	1149.69      	8528.62      	-433.195      	8516.48      	8514.35      	25.5008      	-4.35022      	-0.157888      	137.197      
    2.3      	973.425      	8923.17      	-396.182      	8913.15      	8911.05      	25.4009      	-4.35406      	-0.183972      	146.471      
   2.35      	1152.85      	 9322.6      	-298.549      	9316.44      	9314.54      	25.3009      	-4.36141      	-0.20942      	160.024      
    2.4      	1065.08      	9702.99      	-308.765      	9696.57      	9694.76      	25.2009      	-4.37265      	-0.232066      	170.369      
   2.45      	1093.86      	10084.7      	-334.426      	10077.5      	10075.9      	25.1009      	-4.38926      	-0.252894      	182.709      
    2.5      	1175.17      	10489.9      	-327.535      	  10483      	10481.4      	25.0009      	-4.40872      	-0.272512      	193.997      
   2.55      	1065.52      	10860.9      	-266.153      	10855.7      	10854.2      	 24.901      	-4.42747      	-0.292339      	203.289      
    2.6      	1222.47      	11215.9      	-166.529      	11212.7      	11211.3      	 24.801      	-4.4436      	-0.310973      	213.655      
   2.65      	1119.22      	11522.1      	-68.1794      	11519.7      	11518.4      	 24.701      	-4.45732      	-0.328408      	221.747      
    2.7      	1203.05      	  11814      	105.861      	11811.3      	11810.1      	 24.601      	-4.46926      	-0.345987      	232.017      
   2.75      	1216.81      	12062.2      	280.352      	12056.5      	12055.5      	 24.501      	-4.47624      	-0.361521      	240.746      
    2.8      	1180.45      	12291.6      	504.905      	12278.7      	12277.9      	24.4011      	-4.47504      	-0.374078      	250.458      
   2.85      	1285.91      	12507.4      	773.812      	12480.6      	12480.1      	24.3011      	-4.46556      	-0.38287      	260.721      
