# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:19      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	15486.6 [115.95s]      	1.95977e+07 [239.95s]      	19597.7 [239.95s]      	-1431.44 [115.05s]      	7.53655 [153s]      	7.53655 [153s]      	406.387 [100.05s]      	      0 [100.05s]      
    Max      	15578.9 [201.9s]      	1.9624e+07 [100.05s]      	  19624 [100.05s]      	992.096 [137.2s]      	7.58164 [220.4s]      	7.58164 [220.4s]      	2994.76 [700.05s]      	      0 [100.05s]      
   Mean      	15530.2      	1.96167e+07      	19616.7      	170.038      	7.56002      	7.56002      	1700.57      	      0      
Standard deviation      	19.4335      	8978.37      	8.97836      	564.353      	0.0096463      	0.0096463      	747.288      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	13756.6      	1.87665e+07      	18766.5      	-18766.5      	      7      	      7      	0.191064      	      0      
   0.05      	13756.6      	1.87665e+07      	18766.5      	-18766.8      	      7      	      7      	0.191064      	      0      
    0.1      	13588.6      	1.85415e+07      	18541.5      	 -18544      	6.99844      	6.99844      	0.379794      	      0      
   0.15      	13588.8      	1.85415e+07      	18541.5      	-18549.8      	6.99852      	6.99852      	0.568527      	      0      
    0.2      	  13559      	1.85414e+07      	18541.4      	-18560.8      	6.98322      	6.98322      	0.756847      	      0      
   0.25      	13552.4      	1.85412e+07      	18541.2      	 -18578      	6.97994      	6.97994      	0.945075      	      0      
    0.3      	13541.7      	1.85407e+07      	18540.7      	 -18603      	 6.9746      	 6.9746      	1.13315      	      0      
   0.35      	13537.4      	1.85399e+07      	18539.9      	-18635.6      	6.97267      	6.97267      	1.32117      	      0      
    0.4      	13544.7      	1.85388e+07      	18538.8      	-18677.2      	6.97687      	6.97687      	1.50929      	      0      
   0.45      	13536.4      	1.85375e+07      	18537.5      	-18728.2      	6.97306      	6.97306      	 1.6973      	      0      
    0.5      	  13553      	1.8536e+07      	  18536      	-18786.2      	6.98219      	6.98219      	1.88554      	      0      
   0.55      	13709.5      	1.8761e+07      	  18761      	-19081.2      	6.97812      	6.97812      	2.07595      	      0      
    0.6      	13869.5      	1.8986e+07      	  18986      	-19379.5      	6.97589      	6.97589      	2.26858      	      0      
   0.65      	14040.1      	1.9211e+07      	  19211      	-19685.1      	6.97897      	6.97897      	2.46358      	      0      
    0.7      	14206.5      	1.9436e+07      	  19436      	-19992.2      	6.97997      	6.97997      	2.66089      	      0      
   0.75      	14361.3      	1.9624e+07      	  19624      	-20262.4      	 6.9884      	 6.9884      	2.86035      	      0      
    0.8      	14353.5      	1.9624e+07      	  19624      	-20347.1      	6.98457      	6.98457      	3.05971      	      0      
   0.85      	14350.4      	1.9624e+07      	  19624      	-20421.4      	 6.9831      	 6.9831      	3.25902      	      0      
    0.9      	  14353      	1.9624e+07      	  19624      	 -20494      	6.98433      	6.98433      	3.45837      	      0      
   0.95      	14350.3      	1.9624e+07      	  19624      	 -20552      	6.98303      	6.98303      	3.65768      	      0      
      1      	14352.2      	1.9624e+07      	  19624      	 -20602      	6.98396      	6.98396      	3.85701      	      0      
   1.05      	  14331      	1.9624e+07      	  19624      	-20650.1      	6.97364      	6.97364      	4.05605      	      0      
    1.1      	  14339      	1.9624e+07      	  19624      	-20689.2      	6.97755      	6.97755      	4.25521      	      0      
   1.15      	14330.8      	1.9624e+07      	  19624      	-20740.7      	6.97355      	6.97355      	4.45425      	      0      
    1.2      	14338.4      	1.9624e+07      	  19624      	 -20784      	6.97723      	6.97723      	4.65339      	      0      
   1.25      	14340.9      	1.9624e+07      	  19624      	-20836.7      	6.97845      	6.97845      	4.85257      	      0      
    1.3      	14330.6      	1.9624e+07      	  19624      	-20896.4      	6.97345      	6.97345      	5.05161      	      0      
   1.35      	14327.9      	1.9624e+07      	  19624      	-20958.4      	6.97213      	6.97213      	5.25061      	      0      
    1.4      	14304.2      	1.9624e+07      	  19624      	-21038.1      	 6.9606      	 6.9606      	5.44928      	      0      
   1.45      	  14279      	1.9624e+07      	  19624      	-21102.9      	6.94833      	6.94833      	5.64759      	      0      
    1.5      	  14264      	1.9624e+07      	  19624      	-21165.3      	6.94104      	6.94104      	5.84571      	      0      
   1.55      	14245.7      	1.9624e+07      	  19624      	-21204.2      	6.93214      	6.93214      	6.04356      	      0      
    1.6      	14241.3      	1.9624e+07      	  19624      	-21223.9      	6.93001      	6.93001      	6.24136      	      0      
   1.65      	  14211      	1.9624e+07      	  19624      	-21244.8      	6.91525      	6.91525      	6.43873      	      0      
    1.7      	14184.2      	1.9624e+07      	  19624      	-21237.9      	 6.9022      	 6.9022      	6.63574      	      0      
   1.75      	14153.9      	1.9624e+07      	  19624      	-21227.8      	6.88743      	6.88743      	6.83232      	      0      
    1.8      	14125.9      	1.9624e+07      	  19624      	-21176.1      	6.87382      	6.87382      	7.02851      	      0      
   1.85      	14107.5      	1.9624e+07      	  19624      	 -21096      	 6.8649      	 6.8649      	7.22445      	      0      
    1.9      	14081.8      	1.9624e+07      	  19624      	-20986.9      	6.85239      	6.85239      	7.42003      	      0      
   1.95      	14067.1      	1.9624e+07      	  19624      	-20828.6      	6.84523      	6.84523      	7.61541      	      0      
      2      	  14044      	1.9624e+07      	  19624      	-20641.8      	6.83397      	6.83397      	7.81046      	      0      
   2.05      	14016.8      	1.9624e+07      	  19624      	-20384.1      	6.82076      	6.82076      	8.00514      	      0      
    2.1      	13993.5      	1.9624e+07      	  19624      	 -20065      	6.80943      	6.80943      	 8.1995      	      0      
   2.15      	13964.1      	1.9624e+07      	  19624      	-19687.5      	6.79511      	6.79511      	8.39344      	      0      
    2.2      	13951.1      	1.9624e+07      	  19624      	-19247.8      	6.78875      	6.78875      	8.58721      	      0      
   2.25      	13929.1      	1.9624e+07      	  19624      	-18791.8      	6.77805      	6.77805      	8.78067      	      0      
    2.3      	13910.9      	1.9624e+07      	  19624      	-18268.1      	 6.7692      	 6.7692      	8.97387      	      0      
   2.35      	13892.1      	1.9624e+07      	  19624      	-17728.5      	6.76006      	6.76006      	9.16682      	      0      
    2.4      	13873.8      	1.9624e+07      	  19624      	-17146.3      	6.75115      	6.75115      	9.35951      	      0      
   2.45      	13853.6      	1.9624e+07      	  19624      	-16544.1      	6.74131      	6.74131      	9.55192      	      0      
    2.5      	13826.6      	1.9624e+07      	  19624      	-15958.9      	6.72821      	6.72821      	9.74396      	      0      
   2.55      	13799.4      	1.9624e+07      	  19624      	-15370.6      	6.71494      	6.71494      	9.93561      	      0      
    2.6      	13781.8      	1.9624e+07      	  19624      	 -14818      	6.70639      	6.70639      	 10.127      	      0      
   2.65      	13761.7      	1.9624e+07      	  19624      	-14261.1      	 6.6966      	 6.6966      	10.3182      	      0      
    2.7      	13751.5      	1.9624e+07      	  19624      	-13705.5      	6.69163      	6.69163      	10.5092      	      0      
   2.75      	13731.6      	1.9624e+07      	  19624      	-13171.1      	6.68194      	6.68194      	10.6999      	      0      
