# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:20      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	595.277 [102.1s]      	1.13638e+06 [102.05s]      	1136.38 [102.05s]      	-27.0218 [134.95s]      	4.99843 [647.95s]      	4.99843 [647.95s]      	10.9009 [100.05s]      	      0 [100.05s]      
    Max      	632.819 [619.6s]      	1.2086e+06 [619.7s]      	 1208.6 [619.7s]      	91.1078 [104.85s]      	5.00408 [106.75s]      	5.00408 [106.75s]      	115.391 [700.05s]      	      0 [100.05s]      
   Mean      	 626.94      	1.1973e+06      	 1197.3      	47.0413      	5.00029      	5.00029      	62.9312      	      0      
Standard deviation      	6.75733      	13028.6      	13.0286      	26.0139      	0.000919978      	0.000919978      	 30.249      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	2536.05      	6.05438e+06      	6054.38      	-6054.38      	      4      	      4      	0.0352229      	      0      
   0.05      	2536.05      	6.05438e+06      	6054.38      	-6054.36      	      4      	      4      	0.0352229      	      0      
    0.1      	 2536.8      	6.05438e+06      	6054.38      	-6054.26      	4.00119      	4.00119      	0.0704563      	      0      
   0.15      	2443.64      	5.82938e+06      	5829.38      	-5828.98      	  4.003      	  4.003      	0.104396      	      0      
    0.2      	2347.25      	5.60438e+06      	5604.38      	-5603.52      	3.99948      	3.99948      	0.136996      	      0      
   0.25      	 2253.4      	5.37938e+06      	5379.38      	-5377.81      	4.00016      	4.00016      	0.168294      	      0      
    0.3      	 2157.6      	5.15438e+06      	5154.38      	-5151.88      	3.99729      	3.99729      	0.19826      	      0      
   0.35      	2063.27      	4.92938e+06      	4929.38      	-4925.64      	3.99701      	3.99701      	0.226917      	      0      
    0.4      	1969.61      	4.70438e+06      	4704.38      	-4699.07      	3.99806      	3.99806      	0.254273      	      0      
   0.45      	1874.12      	4.47938e+06      	4479.38      	-4472.26      	3.99531      	3.99531      	0.280302      	      0      
    0.5      	1781.45      	4.25438e+06      	4254.38      	-4244.93      	3.99861      	3.99861      	0.305044      	      0      
   0.55      	 1685.4      	4.02938e+06      	4029.38      	-4017.38      	3.99425      	3.99425      	0.328453      	      0      
    0.6      	1636.33      	3.91344e+06      	3913.44      	-3898.23      	3.99285      	3.99285      	0.351179      	      0      
   0.65      	1625.81      	3.88914e+06      	3889.14      	-3870.17      	3.99197      	3.99197      	0.37376      	      0      
    0.7      	1615.18      	3.86475e+06      	3864.75      	-3841.41      	3.99089      	3.99089      	0.396193      	      0      
   0.75      	1607.02      	3.8403e+06      	 3840.3      	-3811.52      	3.99603      	3.99603      	0.418513      	      0      
    0.8      	1596.39      	3.8158e+06      	 3815.8      	-3781.19      	3.99509      	3.99509      	0.440685      	      0      
   0.85      	1587.11      	3.79128e+06      	3791.28      	-3749.5      	3.99752      	3.99752      	0.462728      	      0      
    0.9      	1576.94      	3.76676e+06      	3766.76      	-3717.09      	3.99777      	3.99777      	0.48463      	      0      
   0.95      	1566.23      	3.74225e+06      	3742.25      	-3683.62      	3.99665      	3.99665      	0.506383      	      0      
      1      	1556.22      	3.71773e+06      	3717.73      	-3648.84      	3.99728      	3.99728      	0.527997      	      0      
   1.05      	1544.98      	3.69321e+06      	3693.21      	-3614.03      	3.99475      	3.99475      	0.549455      	      0      
    1.1      	1536.17      	3.66868e+06      	3668.68      	-3578.13      	3.99854      	3.99854      	0.570791      	      0      
   1.15      	1525.34      	3.64416e+06      	3644.16      	-3543.32      	3.99706      	3.99706      	0.591977      	      0      
    1.2      	1515.29      	3.61965e+06      	3619.65      	-3508.43      	 3.9976      	 3.9976      	0.613022      	      0      
   1.25      	1504.49      	3.59515e+06      	3595.15      	-3474.21      	3.99618      	3.99618      	0.633918      	      0      
    1.3      	1492.63      	3.57063e+06      	3570.63      	-3441.15      	 3.9919      	 3.9919      	0.654649      	      0      
   1.35      	 1482.5      	3.54607e+06      	3546.07      	-3408.45      	3.99227      	3.99227      	0.675239      	      0      
    1.4      	1471.42      	3.52145e+06      	3521.45      	-3377.97      	3.99012      	3.99012      	0.695676      	      0      
   1.45      	1461.27      	3.49676e+06      	3496.76      	-3348.69      	3.99058      	3.99058      	0.715971      	      0      
    1.5      	1451.27      	3.47201e+06      	3472.01      	-3321.39      	3.99152      	3.99152      	0.736128      	      0      
   1.55      	1440.54      	3.44721e+06      	3447.21      	-3295.92      	3.99051      	3.99051      	0.756135      	      0      
    1.6      	1430.55      	3.42237e+06      	3422.37      	-3271.19      	3.99162      	3.99162      	0.776004      	      0      
   1.65      	   1419      	3.39748e+06      	3397.48      	-3248.98      	3.98838      	3.98838      	0.795712      	      0      
    1.7      	1408.28      	3.37252e+06      	3372.52      	-3227.35      	3.98756      	3.98756      	0.815272      	      0      
   1.75      	1397.64      	3.34749e+06      	3347.49      	-3207.86      	  3.987      	  3.987      	0.834683      	      0      
    1.8      	1387.15      	3.32238e+06      	3322.38      	-3180.96      	3.98699      	3.98699      	0.853949      	      0      
   1.85      	1376.68      	3.29721e+06      	3297.21      	-3153.65      	 3.9871      	 3.9871      	0.87307      	      0      
    1.9      	1365.45      	3.27197e+06      	3271.97      	-3125.92      	3.98509      	3.98509      	0.892034      	      0      
   1.95      	1354.38      	3.24665e+06      	3246.65      	-3096.48      	3.98361      	3.98361      	0.910845      	      0      
      2      	1342.52      	3.22123e+06      	3221.23      	-3066.28      	3.97989      	3.97989      	0.929491      	      0      
   2.05      	1330.94      	3.19568e+06      	3195.68      	-3034.75      	3.97712      	3.97712      	0.947977      	      0      
    2.1      	1319.44      	3.16997e+06      	3169.97      	-3001.6      	 3.9747      	 3.9747      	0.966302      	      0      
   2.15      	1308.05      	3.1441e+06      	 3144.1      	-2967.2      	3.97284      	3.97284      	0.98447      	      0      
    2.2      	1297.25      	3.11804e+06      	3118.04      	  -2930      	3.97295      	3.97295      	1.00249      	      0      
   2.25      	1285.78      	3.09182e+06      	3091.82      	-2891.61      	3.97122      	3.97122      	1.02035      	      0      
    2.3      	1274.34      	3.06542e+06      	3065.42      	-2850.43      	3.96979      	3.96979      	1.03804      	      0      
   2.35      	1262.54      	3.03884e+06      	3038.84      	-2808.4      	3.96741      	3.96741      	1.05558      	      0      
    2.4      	 1250.9      	3.01207e+06      	3012.07      	-2764.46      	3.96579      	3.96579      	1.07295      	      0      
   2.45      	1239.51      	2.98511e+06      	2985.11      	-2718.4      	3.96516      	3.96516      	1.09017      	      0      
    2.5      	1228.07      	2.95797e+06      	2957.97      	-2670.05      	3.96462      	3.96462      	1.10723      	      0      
   2.55      	1216.66      	2.93066e+06      	2930.66      	-2618.99      	3.96439      	3.96439      	1.12412      	      0      
    2.6      	1205.04      	2.90318e+06      	2903.18      	-2566.12      	3.96368      	3.96368      	1.14086      	      0      
   2.65      	1192.93      	2.87556e+06      	2875.56      	-2512.07      	3.96155      	3.96155      	1.15743      	      0      
    2.7      	1180.56      	2.84776e+06      	2847.76      	-2456.99      	3.95874      	3.95874      	1.17383      	      0      
   2.75      	1167.84      	2.81979e+06      	2819.79      	-2402.43      	3.95492      	3.95492      	1.19005      	      0      
    2.8      	1155.55      	2.79161e+06      	2791.61      	-2346.91      	3.95282      	3.95282      	1.20609      	      0      
   2.85      	1143.11      	2.76322e+06      	2763.22      	-2292.62      	3.95044      	3.95044      	1.22197      	      0      
    2.9      	1130.95      	2.7346e+06      	 2734.6      	-2238.87      	3.94931      	3.94931      	1.23768      	      0      
   2.95      	1118.37      	2.70577e+06      	2705.77      	-2187.09      	  3.947      	  3.947      	1.25321      	      0      
      3      	1105.66      	2.67672e+06      	2676.72      	-2136.67      	 3.9445      	 3.9445      	1.26857      	      0      
   3.05      	1092.92      	2.64743e+06      	2647.43      	-2086.8      	3.94216      	3.94216      	1.28375      	      0      
    3.1      	1080.04      	2.61791e+06      	2617.91      	-2037.36      	3.93965      	3.93965      	1.29875      	      0      
   3.15      	 1067.3      	2.58816e+06      	2588.16      	-1987.54      	3.93793      	3.93793      	1.31357      	      0      
    3.2      	1054.79      	2.55817e+06      	2558.17      	-1937.82      	3.93738      	3.93738      	1.32822      	      0      
   3.25      	1042.18      	2.52796e+06      	2527.96      	-1888.59      	 3.9368      	 3.9368      	 1.3427      	      0      
    3.3      	1029.56      	2.49755e+06      	2497.55      	-1839.16      	3.93647      	3.93647      	  1.357      	      0      
   3.35      	1016.34      	2.46696e+06      	2466.96      	-1789.81      	3.93413      	3.93413      	1.37111      	      0      
    3.4      	 1003.1      	2.43619e+06      	2436.19      	-1738.99      	3.93193      	3.93193      	1.38504      	      0      
   3.45      	989.586      	2.40523e+06      	2405.23      	-1687.9      	3.92887      	3.92887      	1.39879      	      0      
    3.5      	976.241      	2.37407e+06      	2374.07      	-1635.76      	3.92676      	3.92676      	1.41235      	      0      
   3.55      	962.836      	2.34271e+06      	2342.71      	-1583.22      	3.92468      	3.92468      	1.42572      	      0      
    3.6      	949.429      	2.31115e+06      	2311.15      	-1530.51      	3.92288      	3.92288      	1.43891      	      0      
   3.65      	935.907      	2.2794e+06      	 2279.4      	-1476.98      	3.92089      	3.92089      	 1.4519      	      0      
    3.7      	922.212      	2.24745e+06      	2247.45      	-1422.87      	3.91844      	3.91844      	1.46471      	      0      
   3.75      	908.372      	2.21529e+06      	2215.29      	  -1368      	3.91565      	3.91565      	1.47733      	      0      
    3.8      	 894.52      	2.18294e+06      	2182.94      	-1313.27      	3.91309      	3.91309      	1.48975      	      0      
   3.85      	880.727      	2.15037e+06      	2150.37      	-1259.19      	3.91111      	3.91111      	1.50199      	      0      
    3.9      	867.257      	2.11761e+06      	2117.61      	-1205.15      	3.91088      	3.91088      	1.51403      	      0      
