# Sensor: Sensor Sea      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:20      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      
Time [s]      	Surface elevation (origin)      [      m      ]      	Dynamic pressure (origin)      [   k Pa      ]      
----------	----------	----------      
    Min      	 -0.551 [525.8s]      	-5.54881 [525.8s]      
    Max      	  0.551 [666.3s]      	5.54881 [666.3s]      
   Mean      	-0.000282775      	-0.00284767      
Standard deviation      	0.389551      	3.92295      
----------	----------	----------      
      0      	      0      	      0      
   0.05      	0.0203244      	0.204676      
    0.1      	0.0406212      	0.409074      
   0.15      	0.0608627      	0.612914      
    0.2      	0.0810213      	0.815921      
   0.25      	0.10107      	1.01782      
    0.3      	0.12098      	1.21833      
   0.35      	0.140727      	1.41718      
    0.4      	0.160281      	 1.6141      
   0.45      	0.179618      	1.80883      
    0.5      	0.19871      	2.00109      
   0.55      	0.217531      	2.19064      
    0.6      	0.236057      	 2.3772      
   0.65      	0.254261      	2.56052      
    0.7      	0.272119      	2.74036      
   0.75      	0.289606      	2.91647      
    0.8      	 0.3067      	3.08861      
   0.85      	0.323376      	3.25654      
    0.9      	0.339612      	3.42005      
   0.95      	0.355386      	3.57889      
      1      	0.370676      	3.73287      
   1.05      	0.385461      	3.88177      
    1.1      	0.399722      	4.02538      
   1.15      	0.413439      	4.16352      
    1.2      	0.426593      	4.29598      
   1.25      	0.439166      	 4.4226      
    1.3      	0.451142      	 4.5432      
   1.35      	0.462504      	4.65762      
    1.4      	0.473236      	 4.7657      
   1.45      	0.483324      	4.86729      
    1.5      	0.492754      	4.96226      
   1.55      	0.501514      	5.05047      
    1.6      	0.509591      	5.13181      
   1.65      	0.516974      	5.20616      
    1.7      	0.523654      	5.27343      
   1.75      	0.529621      	5.33352      
    1.8      	0.534867      	5.38635      
   1.85      	0.539385      	5.43185      
    1.9      	0.543169      	5.46996      
   1.95      	0.546214      	5.50062      
