# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:18      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	202.373 [100.95s]      	11977.4 [100.95s]      	11952.7 [101.15s]      	 -16745 [121.95s]      	-16721.1 [121.95s]      	    3.5 [100.05s]      	-1.13153 [110.8s]      	-4.09127 [668s]      	162.324 [101.4s]      
    Max      	1192.28 [106.95s]      	21588.8 [692.05s]      	13375.6 [538.45s]      	  17403 [320s]      	17394.2 [320s]      	    3.5 [100.05s]      	-0.842555 [692.75s]      	-1.52229 [109.95s]      	183.235 [325.55s]      
   Mean      	793.188      	  17303      	12752.1      	 375.88      	383.143      	    3.5      	-0.980449      	-2.81453      	174.738      
Standard deviation      	330.089      	3055.53      	397.503      	12061.6      	12050.1      	    nan      	0.087336      	0.906362      	5.73826      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	4.34343e-11      	7.62483e-11      	-7.56135e-11      	9.10195e-12      	9.02214e-12      	0.0999811      	-3.97893      	-2.67379      	-1.63103e-12      
   0.05      	610.747      	58.6513      	49.8489      	30.7997      	30.8274      	0.0999811      	-3.97532      	-2.67297      	1.30699      
    0.1      	222.028      	63.4735      	63.2033      	-5.03553      	 -4.982      	0.199962      	-3.96377      	-2.67129      	1.11728      
   0.15      	308.452      	44.1311      	44.0625      	1.30367      	1.33769      	0.299943      	-3.94505      	-2.67006      	0.808366      
    0.2      	514.091      	136.283      	135.818      	9.29515      	9.38399      	0.399925      	-3.91897      	-2.66824      	2.23959      
   0.25      	105.976      	298.779      	 298.08      	-15.505      	-15.3699      	0.499906      	-3.88687      	-2.66555      	2.75822      
    0.3      	576.565      	428.841      	427.754      	23.8047      	23.9557      	0.599887      	-3.85315      	-2.66309      	 3.9798      
   0.35      	183.245      	578.991      	578.375      	-7.86375      	-7.70108      	0.699868      	-3.81949      	-2.66242      	3.55803      
    0.4      	390.707      	778.107      	777.164      	17.1211      	17.3101      	0.799849      	-3.78652      	-2.66542      	 4.7075      
   0.45      	 408.96      	975.717      	974.568      	20.1934      	 20.382      	0.89983      	-3.75291      	-2.66928      	4.76247      
    0.5      	187.406      	1201.86      	1200.71      	-0.991313      	-0.797878      	0.999811      	-3.71811      	-2.67351      	4.41322      
   0.55      	526.991      	1393.61      	1391.57      	44.4332      	44.6115      	1.09979      	-3.68217      	-2.67988      	5.05766      
    0.6      	170.987      	1597.95      	1596.22      	25.7598      	25.9055      	1.19977      	-3.64573      	-2.68663      	3.90273      
   0.65      	 435.55      	1755.24      	 1751.7      	80.8892      	81.0489      	1.29975      	-3.61272      	-2.69288      	5.42622      
    0.7      	323.014      	   1809      	 1805.2      	86.5101      	86.5941      	1.39974      	-3.58329      	-2.69808      	3.81119      
   0.75      	256.847      	1904.85      	 1900.4      	100.236      	100.337      	1.49972      	-3.55658      	-2.70264      	4.48887      
    0.8      	460.265      	1967.28      	1959.77      	148.779      	 148.88      	 1.5997      	-3.53338      	-2.70705      	 5.5668      
   0.85      	177.949      	2026.93      	 2019.1      	154.579      	154.662      	1.69968      	-3.51486      	-2.71001      	5.27454      
    0.9      	445.066      	2107.22      	2093.34      	223.424      	223.557      	1.79966      	-3.50234      	-2.71062      	7.93072      
   0.95      	251.519      	2149.61      	2132.85      	251.084      	251.195      	1.89964      	-3.49585      	-2.70963      	8.01556      
      1      	315.399      	2198.78      	2172.15      	327.502      	327.654      	1.99962      	-3.49616      	-2.70926      	10.6312      
   1.05      	369.334      	2170.61      	2130.72      	403.456      	403.593      	 2.0996      	-3.50107      	-2.70968      	11.9488      
    1.1      	213.022      	2176.19      	2125.45      	457.747      	457.856      	2.19958      	-3.50779      	-2.71157      	12.4817      
   1.15      	399.081      	2213.17      	2136.42      	569.999      	570.139      	2.29957      	-3.51503      	-2.71532      	15.6398      
    1.2      	226.699      	2171.77      	2073.28      	640.073      	640.121      	2.39955      	-3.52128      	-2.72143      	15.0621      
   1.25      	319.615      	2156.01      	2011.66      	770.441      	770.466      	2.49953      	-3.52754      	-2.73052      	17.3885      
    1.3      	 310.29      	2112.25      	1910.19      	897.497      	897.423      	2.59951      	-3.53367      	-2.74056      	17.8788      
   1.35      	223.335      	2093.41      	1822.37      	1026.97      	1026.79      	2.69949      	-3.53907      	-2.75198      	18.3506      
    1.4      	358.907      	2114.37      	1736.28      	1204.06      	 1203.8      	2.79947      	-3.54333      	-2.76566      	20.1858      
   1.45      	 201.15      	2160.11      	1685.38      	1348.99      	1348.55      	2.89945      	-3.54508      	-2.78105      	 19.319      
    1.5      	320.857      	2323.62      	   1735      	1543.62      	1543.11      	2.99943      	-3.54443      	-2.79755      	21.7978      
   1.55      	254.828      	 2484.8      	1783.73      	1728.01      	1727.31      	3.09942      	-3.54138      	-2.81364      	 21.546      
    1.6      	242.906      	2680.51      	 1858.8      	1929.48      	1928.63      	 3.1994      	-3.53559      	-2.82944      	22.5482      
   1.65      	310.543      	2915.52      	1949.88      	2165.74      	2164.74      	3.29938      	-3.52536      	-2.84532      	24.3854      
    1.7      	  204.3      	 3150.9      	2050.58      	2390.53      	2389.33      	3.39936      	-3.50911      	-2.86148      	24.5487      
   1.75      	309.321      	3439.05      	 2187.7      	2651.65      	 2650.3      	3.49908      	-3.48642      	-2.87797      	26.9902      
    1.8      	229.468      	3720.38      	2327.95      	2900.13      	2898.58      	3.49897      	-3.45627      	-2.89567      	27.6563      
   1.85      	263.982      	4034.55      	2488.14      	3173.97      	3172.25      	3.49885      	-3.41996      	-2.91601      	29.7507      
    1.9      	 278.67      	4346.95      	2632.83      	3456.88      	3454.96      	3.49872      	-3.37975      	-2.93819      	31.4632      
   1.95      	232.919      	4654.26      	2760.31      	 3745.3      	3743.15      	3.49858      	-3.33721      	-2.96195      	32.3283      
      2      	300.154      	5002.39      	2910.14      	4066.65      	4064.29      	3.49843      	-3.29323      	-2.98735      	34.5189      
   2.05      	244.467      	5361.14      	3090.81      	4378.27      	4375.64      	3.49827      	-3.24784      	-3.01504      	35.0561      
    2.1      	285.444      	5756.69      	3288.11      	4722.91      	4720.03      	3.49809      	-3.20222      	-3.04537      	36.7196      
   2.15      	282.877      	6160.93      	3506.13      	5063.53      	5060.34      	3.49791      	-3.15741      	-3.07707      	37.3098      
    2.2      	272.366      	6587.84      	3756.09      	5409.54      	5406.06      	3.49771      	-3.11413      	-3.10989      	38.1567      
   2.25      	317.895      	7011.98      	3979.02      	5770.93      	5767.17      	 3.4975      	-3.07244      	-3.14322      	39.6133      
    2.3      	285.189      	7417.27      	4168.73      	6132.12      	6128.05      	3.49728      	-3.03119      	-3.17623      	40.3173      
   2.35      	327.573      	7837.05      	4356.05      	   6512      	6507.67      	3.49704      	-2.98939      	-3.20834      	42.5268      
    2.4      	317.924      	8254.16      	4541.75      	 6889.3      	6884.67      	3.49679      	-2.94663      	-3.23904      	44.0251      
   2.45      	329.706      	8668.63      	4709.88      	7274.47      	7269.57      	3.49653      	-2.90385      	-3.26892      	46.3405      
    2.5      	 356.09      	9072.19      	4847.77      	7665.29      	7660.14      	3.49625      	-2.86204      	-3.29847      	48.8832      
   2.55      	 345.34      	9465.69      	4980.19      	8046.56      	8041.14      	3.49596      	-2.82197      	-3.32783      	51.1283      
    2.6      	383.759      	9860.82      	5098.62      	8437.27      	8431.61      	3.49565      	-2.78445      	-3.35663      	54.2357      
   2.65      	377.136      	10251.1      	5213.02      	8823.53      	 8817.6      	3.49533      	-2.74909      	-3.38523      	 56.327      
    2.7      	399.907      	10662.5      	5344.71      	 9223.1      	9216.91      	3.49499      	-2.71534      	-3.41463      	 59.177      
   2.75      	 413.74      	11073.6      	5476.63      	9621.33      	9614.86      	3.49463      	-2.68311      	-3.4449      	61.4063      
    2.8      	417.957      	  11484      	5609.05      	10017.8      	10011.1      	3.49426      	-2.65267      	-3.47612      	63.4514      
   2.85      	446.146      	11888.3      	5730.31      	10412.9      	10405.9      	3.49388      	-2.62387      	-3.50839      	 65.661      
    2.9      	 446.77      	12281.6      	5849.76      	10795.8      	10788.4      	3.49348      	-2.59566      	-3.54183      	67.0349      
   2.95      	470.988      	12680.1      	5970.06      	11183.5      	11175.8      	3.49306      	-2.56718      	-3.57602      	69.1875      
      3      	481.563      	13064.7      	6076.72      	11562.2      	11554.3      	3.49262      	-2.53801      	-3.60953      	70.5058      
   3.05      	492.451      	13452.4      	6194.01      	11938.3      	11930.1      	3.49217      	-2.50819      	-3.64184      	72.2393      
    3.1      	514.841      	13839.4      	6313.18      	12312.3      	12303.8      	 3.4917      	-2.4783      	-3.67279      	74.2017      
   3.15      	517.399      	  14208      	6425.35      	12668.8      	  12660      	3.49121      	-2.44871      	-3.70224      	75.8559      
    3.2      	541.961      	  14574      	6538.57      	13021.6      	13012.6      	3.49071      	-2.41936      	-3.73006      	78.1808      
   3.25      	550.226      	  14928      	6661.79      	13355.7      	13346.4      	3.49019      	-2.39004      	-3.75592      	79.8581      
    3.3      	567.203      	15283.3      	6802.59      	13682.5      	  13673      	3.48965      	-2.36074      	-3.78011      	82.1454      
   3.35      	 585.41      	15624.2      	6930.87      	13999.3      	13989.7      	3.48909      	-2.33159      	-3.80286      	84.2373      
    3.4      	591.851      	  15953      	7055.64      	14304.4      	14294.5      	3.48852      	-2.30269      	-3.8243      	86.2659      
   3.45      	614.224      	16274.5      	7180.61      	14601.1      	14591.1      	3.48793      	-2.27416      	-3.84469      	88.7885      
    3.5      	619.475      	16571.4      	7290.98      	14877.7      	14867.5      	3.48732      	-2.24604      	-3.86473      	90.4761      
   3.55      	637.343      	16860.8      	 7403.7      	15144.6      	15134.2      	 3.4867      	-2.21833      	-3.88522      	92.5675      
    3.6      	 649.98      	17131.4      	7512.21      	15392.7      	15382.2      	3.48606      	 -2.191      	-3.90599      	94.0465      
   3.65      	659.464      	17386.2      	7618.98      	  15624      	15613.3      	 3.4854      	-2.16429      	-3.92656      	95.3684      
    3.7      	677.781      	17625.5      	7718.74      	15841.6      	15830.7      	3.48472      	-2.13869      	-3.94635      	96.7846      
   3.75      	682.254      	17842.7      	7807.31      	  16040      	  16029      	3.48403      	-2.11439      	-3.96503      	97.6997      
    3.8      	697.986      	18051.6      	7896.91      	16228.7      	16217.6      	3.48332      	-2.09123      	-3.98238      	99.0889      
   3.85      	705.759      	18236.1      	7979.58      	16393.6      	16382.4      	3.48259      	-2.06926      	-3.99775      	100.024      
    3.9      	715.526      	18402.9      	8063.48      	16538.3      	16526.9      	3.48185      	-2.04855      	-4.01087      	101.136      
   3.95      	730.288      	18552.8      	8149.09      	16663.2      	16651.7      	3.48109      	-2.02899      	-4.02161      	102.298      
      4      	 735.01      	18679.3      	8229.32      	16764.7      	16753.2      	3.48032      	-2.01063      	-4.02979      	103.354      
   4.05      	 750.74      	18789.1      	8301.86      	16851.3      	16839.8      	3.47953      	-1.9935      	-4.03519      	104.844      
    4.1      	755.687      	18875.2      	8362.86      	16917.1      	16905.7      	3.47872      	-1.97748      	-4.03768      	 106.07      
   4.15      	 766.04      	  18949      	8425.53      	16968.4      	  16957      	 3.4779      	-1.96261      	-4.03797      	107.556      
    4.2      	775.704      	19004.2      	8485.48      	17000.2      	16988.8      	3.47707      	-1.94886      	-4.03692      	108.887      
   4.25      	780.133      	19036.3      	 8537.1      	17010.2      	16998.8      	3.47622      	-1.93617      	-4.03506      	109.943      
    4.3      	793.183      	19051.9      	8587.12      	17002.5      	16991.1      	3.47536      	-1.92452      	-4.03262      	110.951      
   4.35      	796.422      	  19048      	8632.75      	16974.9      	16963.6      	3.47448      	-1.91401      	-4.02979      	111.545      
    4.4      	806.466      	19029.1      	8670.96      	16934.2      	16922.9      	3.47359      	-1.9046      	-4.02678      	112.154      
   4.45      	811.792      	18992.6      	8700.21      	16878.1      	16866.9      	3.47269      	-1.89613      	-4.0233      	112.476      
    4.5      	815.542      	18943.6      	8727.25      	16808.9      	16797.8      	3.47178      	-1.88848      	-4.01908      	112.707      
   4.55      	824.271      	18880.1      	8752.79      	16723.8      	16712.8      	3.47085      	-1.88175      	-4.01395      	112.833      
    4.6      	825.385      	18798.6      	8773.79      	16620.7      	16609.8      	3.46992      	-1.87607      	-4.00788      	112.741      
   4.65      	834.139      	18706.6      	8794.64      	16505.4      	16494.6      	3.46897      	-1.87138      	-4.00061      	112.769      
    4.7      	837.499      	18601.1      	8814.24      	16375.3      	16364.6      	3.46801      	-1.86749      	-3.99151      	112.734      
   4.75      	842.486      	18483.4      	8829.77      	  16233      	16222.5      	3.46705      	-1.86442      	-3.98024      	112.855      
    4.8      	848.828      	18354.7      	8840.84      	16080.2      	16069.8      	3.46607      	-1.86217      	-3.96681      	113.059      
   4.85      	849.712      	  18218      	   8850      	15918.8      	15908.6      	3.46509      	-1.86068      	-3.95157      	113.407      
    4.9      	 857.23      	18072.4      	8856.29      	15748.5      	15738.4      	3.46409      	-1.8599      	-3.93501      	113.869      
   4.95      	858.669      	17915.7      	8859.36      	15566.7      	15556.8      	 3.4631      	-1.85979      	-3.91757      	114.216      
      5      	864.524      	17753.9      	8863.61      	15377.7      	15368.1      	3.46209      	-1.86025      	-3.89987      	114.612      
   5.05      	869.237      	17586.3      	8866.44      	15182.2      	15172.7      	3.46108      	-1.86119      	-3.8824      	114.861      
    5.1      	871.426      	17413.5      	 8865.1      	14982.6      	14973.3      	3.46006      	-1.86253      	-3.86532      	115.059      
   5.15      	877.681      	17236.8      	8858.53      	14780.7      	14771.6      	3.45904      	-1.86426      	-3.84864      	115.183      
    5.2      	878.417      	17057.4      	 8849.9      	14576.4      	14567.5      	3.45801      	-1.86632      	-3.83254      	115.107      
   5.25      	883.631      	16879.1      	8844.43      	14370.7      	  14362      	3.45698      	-1.86864      	-3.81726      	115.006      
    5.3      	886.359      	16696.6      	8839.03      	14159.2      	14150.7      	3.45594      	-1.87113      	-3.80271      	114.682      
   5.35      	889.273      	16512.3      	8836.74      	13942.9      	13934.6      	 3.4549      	-1.87366      	-3.78847      	114.281      
    5.4      	894.783      	16328.3      	8839.93      	13722.5      	13714.4      	3.45386      	-1.87618      	 -3.774      	113.873      
   5.45      	896.187      	16142.8      	8843.28      	  13499      	13491.1      	3.45282      	-1.87868      	-3.75887      	113.486      
    5.5      	901.521      	  15957      	8846.13      	13274.4      	13266.7      	3.45178      	-1.88107      	-3.74278      	113.276      
   5.55      	903.478      	15770.9      	 8851.3      	13046.5      	  13039      	3.45074      	-1.88318      	-3.72542      	113.157      
    5.6      	907.016      	15586.2      	8861.47      	12815.7      	12808.4      	 3.4497      	-1.88494      	-3.70684      	113.205      
   5.65      	911.311      	15399.7      	8874.58      	12578.9      	12571.8      	3.44866      	-1.88635      	-3.6874      	113.308      
    5.7      	913.259      	15211.6      	8890.46      	12336.5      	12329.6      	3.44762      	-1.8874      	-3.66747      	113.473      
   5.75      	918.674      	15024.3      	8909.17      	  12091      	12084.4      	3.44658      	-1.88806      	-3.64724      	113.732      
    5.8      	920.427      	14833.5      	8925.82      	11840.5      	11834.2      	3.44555      	-1.88834      	-3.62678      	113.933      
   5.85      	924.308      	  14641      	8941.01      	11586.7      	11580.6      	3.44452      	-1.88829      	-3.60641      	114.135      
    5.9      	 926.91      	14447.4      	8956.19      	11329.1      	11323.3      	3.44349      	-1.88793      	-3.58646      	114.255      
   5.95      	  928.7      	14253.1      	8972.51      	11066.9      	11061.3      	3.44247      	-1.88726      	-3.56711      	114.277      
      6      	932.471      	14056.9      	8990.83      	10797.9      	10792.6      	3.44146      	-1.88638      	-3.54833      	114.195      
   6.05      	933.771      	13858.3      	9010.63      	  10521      	10515.9      	3.44045      	-1.88537      	-3.52991      	113.971      
    6.1      	937.356      	13660.1      	9033.05      	10238.8      	  10234      	3.43944      	-1.88425      	-3.51152      	113.761      
   6.15      	939.307      	13460.6      	9055.47      	9950.72      	9946.17      	3.43844      	-1.88306      	-3.49258      	113.567      
    6.2      	 941.28      	13260.2      	9077.03      	9657.61      	9653.34      	3.43745      	-1.88178      	-3.47256      	113.466      
   6.25      	944.148      	13060.7      	9100.19      	9359.33      	9355.35      	3.43647      	-1.88039      	-3.4511      	113.501      
    6.3      	 945.18      	12862.6      	9126.08      	9054.83      	9051.14      	 3.4355      	-1.87889      	-3.42816      	113.691      
   6.35      	948.385      	  12666      	9154.32      	8743.76      	8740.39      	3.43453      	-1.87731      	-3.40389      	114.057      
    6.4      	949.915      	12469.7      	9183.95      	 8424.6      	8421.55      	3.43358      	-1.87562      	-3.37835      	114.533      
