# Sensor: Sensor Rotor      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:17      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	     11      	     12      	     13      	     14      	     15      	     16      	     17      	     18      	     19      	     20      	      
Time [s]      	Power (aero)      [    k W      ]      	Torque (aero)      [   k Nm      ]      	Thrust (aero)      [    k N      ]      	    RPM      [    rpm      ]      	    TSR      [             ]      	Demanded collective pitch angle      [      °      ]      	Power coef. (CP)      [      %      ]      	Thrust coef. (CT)      [      %      ]      	Tip speed      [    m/s      ]      	1P (one revolution)      [      s      ]      	nP (blade passing)      [      s      ]      	Azimuth angle      [      °      ]      	Rotation per timestep      [      °      ]      	Wind speed at hub, magnitude      [    m/s      ]      	Wind speed at hub     .x      [    m/s      ]      	Wind speed at hub     .y      [    m/s      ]      	Wind speed at hub     .z      [    m/s      ]      	Wind angle at hub      [      °      ]      	Yaw angle      [      °      ]      
   0.35      	1.56629      	3.74107      	0.835908      	3.99806      	12.6501      	0.699868      	0.0870727      	0.185878      	50.6006      	15.0073      	5.00243      	7.19989      	1.19942      	      4      	      0      	     -4      	      0      	      0      	      0      
    0.4      	2.21996      	5.30598      	1.27909      	3.99531      	12.6415      	0.799849      	0.123411      	0.284427      	50.5658      	15.0176      	5.00587      	8.39914      	1.19859      	      4      	      0      	     -4      	      0      	      0      	      0      
   0.45      	2.98115      	7.11943      	1.84391      	3.99861      	12.6519      	0.89983      	0.165726      	0.410024      	50.6076      	15.0052      	5.00174      	9.59815      	1.19958      	      4      	      0      	     -4      	      0      	      0      	      0      
    0.5      	3.95366      	9.45226      	2.52756      	3.99425      	12.6381      	0.999811      	0.21979      	0.562044      	50.5524      	15.0216      	 5.0072      	10.7972      	1.19827      	      4      	      0      	     -4      	      0      	      0      	      0      
   0.55      	5.01588      	 11.996      	3.35982      	3.99285      	12.6337      	1.09979      	0.27884      	0.74711      	50.5346      	15.0269      	5.00896      	11.9962      	1.19785      	      4      	      0      	     -4      	      0      	      0      	      0      
    0.6      	6.35936      	15.2124      	4.31526      	3.99197      	12.6309      	1.19977      	0.353527      	0.959569      	50.5236      	15.0302      	5.01005      	13.1942      	1.19759      	      4      	      0      	     -4      	      0      	      0      	      0      
   0.65      	7.92864      	18.9714      	5.43616      	3.99089      	12.6275      	1.29975      	0.440765      	1.20882      	50.5099      	15.0342      	5.01141      	 14.392      	1.19727      	      4      	      0      	     -4      	      0      	      0      	      0      
    0.7      	9.76778      	 23.342      	6.71286      	3.99603      	12.6437      	1.39974      	0.543006      	1.49271      	50.5749      	15.0149      	5.00497      	15.5894      	1.19881      	      4      	      0      	     -4      	      0      	      0      	      0      
   0.75      	12.0391      	28.7765      	8.14769      	3.99509      	12.6407      	1.49972      	0.669271      	1.81177      	 50.563      	15.0185      	5.00615      	16.7874      	1.19853      	      4      	      0      	     -4      	      0      	      0      	      0      
    0.8      	14.4876      	34.6081      	9.78219      	3.99752      	12.6485      	 1.5997      	0.805389      	2.17523      	50.5938      	15.0093      	 5.0031      	17.9861      	1.19926      	      4      	      0      	     -4      	      0      	      0      	      0      
   0.85      	17.4932      	41.7852      	11.5484      	3.99777      	12.6492      	1.69968      	0.972473      	2.56796      	50.5969      	15.0084      	5.00279      	 19.185      	1.19933      	      4      	      0      	     -4      	      0      	      0      	      0      
    0.9      	20.7875      	49.6683      	13.5266      	3.99665      	12.6457      	1.79966      	1.15561      	3.00785      	50.5827      	15.0126      	 5.0042      	20.3843      	1.19899      	      4      	      0      	     -4      	      0      	      0      	      0      
   0.95      	24.5388      	58.6219      	15.6547      	3.99728      	12.6477      	1.89964      	1.36415      	3.48107      	50.5907      	15.0102      	5.00341      	21.5834      	1.19918      	      4      	      0      	     -4      	      0      	      0      	      0      
      1      	28.8185      	68.8894      	17.9535      	3.99475      	12.6397      	1.99962      	1.60206      	3.99225      	50.5587      	15.0197      	5.00657      	22.7825      	1.19843      	      4      	      0      	     -4      	      0      	      0      	      0      
   1.05      	33.1537      	79.1776      	20.4517      	3.99854      	12.6517      	 2.0996      	1.84307      	4.54777      	50.6066      	15.0055      	5.00183      	23.9813      	1.19956      	      4      	      0      	     -4      	      0      	      0      	      0      
    1.1      	37.9048      	90.5576      	23.0254      	3.99706      	 12.647      	2.19958      	2.10719      	5.12006      	50.5879      	 15.011      	5.00368      	25.1803      	1.19912      	      4      	      0      	     -4      	      0      	      0      	      0      
   1.15      	42.2148      	100.841      	25.7738      	 3.9976      	12.6487      	2.29957      	2.34679      	5.73122      	50.5948      	 15.009      	  5.003      	26.3797      	1.19928      	      4      	      0      	     -4      	      0      	      0      	      0      
    1.2      	46.5424      	111.218      	28.5035      	3.99618      	12.6442      	2.39955      	2.58736      	6.33822      	50.5768      	15.0143      	5.00478      	27.5789      	1.19885      	      4      	      0      	     -4      	      0      	      0      	      0      
   1.25      	50.5544      	120.935      	31.3107      	 3.9919      	12.6307      	2.49953      	 2.8104      	6.96243      	50.5227      	15.0304      	5.01014      	28.7779      	1.19757      	      4      	      0      	     -4      	      0      	      0      	      0      
    1.3      	54.1303      	129.477      	34.1255      	3.99227      	12.6318      	2.59951      	3.00919      	7.58835      	50.5273      	 15.029      	5.00968      	29.9761      	1.19768      	      4      	      0      	     -4      	      0      	      0      	      0      
   1.35      	57.5034      	137.619      	36.8731      	3.99012      	 12.625      	2.69949      	 3.1967      	8.19934      	50.5001      	15.0371      	5.01238      	31.1738      	1.19704      	      4      	      0      	     -4      	      0      	      0      	      0      
    1.4      	59.9562      	143.473      	39.6219      	3.99058      	12.6265      	2.79947      	3.33306      	8.81057      	 50.506      	15.0354      	 5.0118      	32.3711      	1.19718      	      4      	      0      	     -4      	      0      	      0      	      0      
   1.45      	61.8907      	148.067      	 42.176      	3.99152      	12.6295      	2.89945      	 3.4406      	9.37851      	50.5179      	15.0319      	5.01062      	33.5682      	1.19746      	      4      	      0      	     -4      	      0      	      0      	      0      
    1.5      	62.9422      	150.621      	44.6146      	3.99051      	12.6263      	2.99943      	3.49906      	9.92077      	50.5051      	15.0357      	5.01189      	34.7655      	1.19715      	      4      	      0      	     -4      	      0      	      0      	      0      
   1.55      	63.2422      	151.297      	46.8377      	3.99162      	12.6298      	3.09942      	3.51573      	10.4151      	50.5191      	15.0315      	 5.0105      	35.9628      	1.19749      	      4      	      0      	     -4      	      0      	      0      	      0      
    1.6      	63.1401      	151.175      	48.8377      	3.98838      	12.6195      	 3.1994      	3.51005      	10.8598      	50.4781      	15.0437      	5.01457      	37.1602      	1.19651      	      4      	      0      	     -4      	      0      	      0      	      0      
   1.65      	62.0085      	148.496      	50.7216      	3.98756      	12.6169      	3.29938      	3.44715      	11.2788      	50.4677      	15.0468      	 5.0156      	38.3572      	1.19627      	      4      	      0      	     -4      	      0      	      0      	      0      
    1.7      	60.6126      	145.174      	52.2879      	  3.987      	12.6152      	3.39936      	3.36955      	11.6271      	50.4606      	15.0489      	 5.0163      	39.5536      	 1.1961      	      4      	      0      	     -4      	      0      	      0      	      0      
   1.75      	58.2966      	139.627      	53.7308      	3.98699      	12.6151      	3.49908      	 3.2408      	11.9479      	50.4606      	15.0489      	5.01631      	40.7497      	 1.1961      	      4      	      0      	     -4      	      0      	      0      	      0      
    1.8      	59.0485      	141.424      	 54.866      	 3.9871      	12.6155      	3.49897      	 3.2826      	12.2003      	50.4619      	15.0485      	5.01618      	41.9458      	1.19613      	      4      	      0      	     -4      	      0      	      0      	      0      
   1.85      	59.9114      	143.563      	57.6915      	3.98509      	12.6091      	3.49885      	3.33057      	12.8286      	50.4365      	15.0561      	 5.0187      	 43.142      	1.19553      	      4      	      0      	     -4      	      0      	      0      	      0      
    1.9      	60.9253      	146.047      	60.6004      	3.98361      	12.6044      	3.49872      	3.38693      	13.4755      	50.4177      	15.0617      	5.02057      	44.3378      	1.19508      	      4      	      0      	     -4      	      0      	      0      	      0      
   1.95      	62.5852      	150.166      	63.5725      	3.97989      	12.5927      	3.49858      	3.47921      	14.1364      	50.3706      	15.0758      	5.02526      	45.5331      	1.19397      	      4      	      0      	     -4      	      0      	      0      	      0      
      2      	 64.533      	154.948      	66.7628      	3.97712      	12.5839      	3.49843      	3.58749      	14.8458      	50.3355      	15.0863      	5.02877      	46.7276      	1.19313      	      4      	      0      	     -4      	      0      	      0      	      0      
   2.05      	66.9847      	160.932      	70.0529      	 3.9747      	12.5762      	3.49827      	3.72378      	15.5774      	50.3049      	15.0955      	5.03183      	47.9212      	1.19241      	      4      	      0      	     -4      	      0      	      0      	      0      
    2.1      	70.0509      	168.378      	73.5117      	3.97284      	12.5703      	3.49809      	3.89424      	16.3465      	50.2814      	15.1026      	5.03419      	49.1139      	1.19185      	      4      	      0      	     -4      	      0      	      0      	      0      
   2.15      	73.5971      	176.897      	77.1802      	3.97295      	12.5707      	3.49791      	4.09138      	17.1623      	50.2828      	15.1021      	5.03405      	50.3061      	1.19188      	      4      	      0      	     -4      	      0      	      0      	      0      
    2.2      	78.2025      	188.048      	80.9936      	3.97122      	12.5652      	3.49771      	4.34739      	18.0102      	50.2609      	15.1087      	5.03624      	51.4979      	1.19137      	      4      	      0      	     -4      	      0      	      0      	      0      
   2.25      	83.2291      	200.207      	  85.15      	3.96979      	12.5607      	 3.4975      	4.62683      	18.9345      	50.2428      	15.1141      	5.03805      	52.6896      	1.19094      	      4      	      0      	     -4      	      0      	      0      	      0      
    2.3      	89.3202      	214.988      	89.4315      	3.96741      	12.5532      	3.49728      	4.96545      	19.8865      	50.2127      	15.1232      	5.04107      	53.8807      	1.19022      	      4      	      0      	     -4      	      0      	      0      	      0      
   2.35      	95.7016      	230.442      	94.0374      	3.96579      	 12.548      	3.49704      	 5.3202      	20.9107      	50.1921      	15.1294      	5.04313      	55.0713      	1.18974      	      4      	      0      	     -4      	      0      	      0      	      0      
    2.4      	102.815      	247.609      	98.7285      	3.96516      	12.5461      	3.49679      	5.71564      	21.9539      	50.1842      	15.1318      	5.04393      	56.2613      	1.18955      	      4      	      0      	     -4      	      0      	      0      	      0      
   2.45      	110.732      	266.711      	103.625      	3.96462      	12.5444      	3.49653      	6.15575      	23.0427      	50.1774      	15.1338      	5.04461      	57.4509      	1.18939      	      4      	      0      	     -4      	      0      	      0      	      0      
    2.5      	 119.53      	 287.92      	108.756      	3.96439      	12.5436      	3.49625      	6.64486      	24.1836      	50.1744      	15.1347      	5.04491      	58.6404      	1.18932      	      4      	      0      	     -4      	      0      	      0      	      0      
   2.55      	129.365      	311.665      	 114.13      	3.96368      	12.5414      	3.49596      	7.19157      	25.3786      	50.1655      	15.1375      	5.04582      	59.8297      	 1.1891      	      4      	      0      	     -4      	      0      	      0      	      0      
    2.6      	139.832      	337.064      	119.779      	3.96155      	12.5346      	3.49565      	7.77346      	26.6347      	50.1385      	15.1456      	5.04854      	61.0189      	1.18846      	      4      	      0      	     -4      	      0      	      0      	      0      
   2.65      	150.687      	363.489      	125.593      	3.95874      	12.5257      	3.49533      	8.37693      	27.9277      	50.1029      	15.1563      	5.05211      	62.2077      	1.18762      	      4      	      0      	     -4      	      0      	      0      	      0      
    2.7      	 161.84      	390.769      	131.488      	3.95492      	12.5136      	3.49499      	8.99694      	29.2385      	50.0546      	 15.171      	  5.057      	63.3958      	1.18648      	      4      	      0      	     -4      	      0      	      0      	      0      
   2.75      	172.763      	417.364      	137.457      	3.95282      	 12.507      	3.49463      	9.60415      	30.5659      	 50.028      	 15.179      	5.05968      	64.5828      	1.18585      	      4      	      0      	     -4      	      0      	      0      	      0      
    2.8      	183.966      	444.697      	143.317      	3.95044      	12.4995      	3.49426      	 10.227      	31.8688      	49.9979      	15.1882      	5.06273      	 65.769      	1.18513      	      4      	      0      	     -4      	      0      	      0      	      0      
   2.85      	194.627      	  470.6      	149.237      	3.94931      	12.4959      	3.49388      	10.8196      	33.1852      	49.9836      	15.1925      	5.06417      	66.9544      	1.18479      	      4      	      0      	     -4      	      0      	      0      	      0      
    2.9      	204.903      	495.738      	154.971      	  3.947      	12.4886      	3.49348      	11.3909      	34.4602      	49.9543      	15.2014      	5.06714      	68.1394      	 1.1841      	      4      	      0      	     -4      	      0      	      0      	      0      
   2.95      	214.252      	518.685      	160.587      	 3.9445      	12.4807      	3.49306      	11.9106      	35.7091      	49.9227      	15.2111      	5.07035      	69.3239      	1.18335      	      4      	      0      	     -4      	      0      	      0      	      0      
      3      	222.945      	 540.05      	165.921      	3.94216      	12.4733      	3.49262      	12.3938      	36.8953      	49.8932      	15.2201      	5.07336      	70.5076      	1.18265      	      4      	      0      	     -4      	      0      	      0      	      0      
   3.05      	231.294      	560.631      	 171.02      	3.93965      	12.4653      	3.49217      	 12.858      	38.0291      	49.8613      	15.2298      	5.07659      	71.6906      	1.18189      	      4      	      0      	     -4      	      0      	      0      	      0      
    3.1      	239.408      	580.553      	175.959      	3.93793      	12.4599      	 3.4917      	13.3091      	39.1274      	49.8396      	15.2364      	5.07881      	72.8728      	1.18138      	      4      	      0      	     -4      	      0      	      0      	      0      
   3.15      	247.649      	 600.62      	180.744      	3.93738      	12.4582      	3.49121      	13.7672      	40.1914      	49.8326      	15.2386      	5.07952      	74.0545      	1.18121      	      4      	      0      	     -4      	      0      	      0      	      0      
    3.2      	255.746      	620.351      	185.469      	 3.9368      	12.4563      	3.49071      	14.2173      	41.2421      	49.8252      	15.2408      	5.08027      	75.2358      	1.18104      	      4      	      0      	     -4      	      0      	      0      	      0      
   3.25      	263.565      	 639.37      	 190.09      	3.93647      	12.4553      	3.49019      	 14.652      	42.2696      	49.8211      	15.2421      	5.08069      	76.4169      	1.18094      	      4      	      0      	     -4      	      0      	      0      	      0      
    3.3      	271.245      	658.392      	194.558      	3.93413      	12.4479      	3.48965      	15.0789      	43.2631      	49.7914      	15.2512      	5.08372      	77.5979      	1.18024      	      4      	      0      	     -4      	      0      	      0      	      0      
   3.35      	278.818      	677.152      	198.961      	3.93193      	12.4409      	3.48909      	15.4999      	44.2421      	49.7636      	15.2597      	5.08656      	78.7785      	1.17958      	      4      	      0      	     -4      	      0      	      0      	      0      
    3.4      	 286.85      	697.202      	203.257      	3.92887      	12.4312      	3.48852      	15.9465      	45.1975      	 49.725      	15.2715      	5.09052      	79.9584      	1.17866      	      4      	      0      	     -4      	      0      	      0      	      0      
   3.45      	294.975      	717.336      	207.618      	3.92676      	12.4245      	3.48793      	16.3981      	46.1673      	49.6982      	15.2798      	5.09326      	81.1375      	1.17803      	      4      	      0      	     -4      	      0      	      0      	      0      
    3.5      	303.443      	738.318      	211.914      	3.92468      	 12.418      	3.48732      	16.8688      	47.1226      	49.6719      	15.2879      	5.09595      	82.3159      	 1.1774      	      4      	      0      	     -4      	      0      	      0      	      0      
   3.55      	312.004      	759.497      	216.232      	3.92288      	12.4123      	 3.4867      	17.3448      	48.0827      	49.6491      	15.2949      	 5.0983      	83.4936      	1.17686      	      4      	      0      	     -4      	      0      	      0      	      0      
    3.6      	320.526      	 780.64      	220.502      	3.92089      	 12.406      	3.48606      	17.8185      	49.0322      	49.6239      	15.3027      	5.10089      	84.6707      	1.17627      	      4      	      0      	     -4      	      0      	      0      	      0      
   3.65      	329.261      	802.414      	224.677      	3.91844      	12.3982      	 3.4854      	18.3041      	49.9606      	49.5929      	15.3122      	5.10408      	85.8473      	1.17553      	      4      	      0      	     -4      	      0      	      0      	      0      
    3.7      	338.115      	824.578      	228.807      	3.91565      	12.3894      	3.48472      	18.7963      	 50.879      	49.5576      	15.3231      	5.10771      	87.0232      	 1.1747      	      4      	      0      	     -4      	      0      	      0      	      0      
   3.75      	347.204      	847.297      	 232.85      	3.91309      	12.3813      	3.48403      	19.3016      	51.7779      	49.5252      	15.3331      	5.11104      	88.1983      	1.17393      	      4      	      0      	     -4      	      0      	      0      	      0      
    3.8      	356.187      	869.661      	236.824      	3.91111      	 12.375      	3.48332      	 19.801      	52.6616      	49.5001      	15.3409      	5.11364      	89.3726      	1.17333      	      4      	      0      	     -4      	      0      	      0      	      0      
   3.85      	364.981      	891.184      	240.646      	3.91088      	12.3743      	3.48259      	20.2899      	53.5115      	49.4972      	15.3418      	5.11394      	90.5462      	1.17326      	      4      	      0      	     -4      	      0      	      0      	      0      
    3.9      	373.644      	912.454      	244.272      	3.91037      	12.3727      	3.48185      	20.7714      	54.3178      	49.4908      	15.3438      	 5.1146      	91.7195      	1.17311      	      4      	      0      	     -4      	      0      	      0      	      0      
   3.95      	381.951      	932.772      	247.777      	3.91024      	12.3723      	3.48109      	21.2332      	55.0972      	49.4891      	15.3443      	5.11478      	92.8927      	1.17307      	      4      	      0      	     -4      	      0      	      0      	      0      
      4      	 390.08      	952.895      	251.079      	3.90913      	12.3688      	3.48032      	21.6851      	55.8315      	49.4751      	15.3487      	5.11623      	94.0658      	1.17274      	      4      	      0      	     -4      	      0      	      0      	      0      
   4.05      	 397.72      	971.867      	254.256      	3.90789      	12.3648      	3.47953      	22.1099      	 56.538      	49.4594      	15.3536      	5.11785      	95.2387      	1.17237      	      4      	      0      	     -4      	      0      	      0      	      0      
    4.1      	405.014      	990.087      	257.213      	3.90632      	12.3599      	3.47872      	22.5153      	57.1954      	49.4395      	15.3597      	5.11991      	96.4113      	 1.1719      	      4      	      0      	     -4      	      0      	      0      	      0      
   4.15      	411.859      	1007.19      	 259.99      	 3.9049      	12.3554      	 3.4779      	22.8959      	 57.813      	49.4215      	15.3653      	5.12177      	97.5834      	1.17147      	      4      	      0      	     -4      	      0      	      0      	      0      
    4.2      	418.174      	 1022.9      	 262.57      	3.90387      	12.3521      	3.47707      	23.2469      	58.3867      	49.4085      	15.3694      	5.12313      	98.7551      	1.17116      	      4      	      0      	     -4      	      0      	      0      	      0      
   4.25      	424.205      	1037.86      	264.932      	3.90309      	12.3496      	3.47622      	23.5822      	 58.912      	49.3986      	15.3724      	5.12415      	99.9264      	1.17093      	      4      	      0      	     -4      	      0      	      0      	      0      
    4.3      	429.591      	1051.37      	267.146      	3.90187      	12.3458      	3.47536      	23.8816      	59.4043      	49.3832      	15.3772      	5.12574      	101.097      	1.17056      	      4      	      0      	     -4      	      0      	      0      	      0      
   4.35      	434.428      	1063.67      	269.135      	3.90016      	12.3404      	3.47448      	24.1505      	59.8465      	49.3615      	 15.384      	  5.128      	102.268      	1.17005      	      4      	      0      	     -4      	      0      	      0      	      0      
    4.4      	438.602      	1074.57      	270.917      	3.89769      	12.3326      	3.47359      	24.3825      	60.2429      	49.3303      	15.3937      	5.13125      	103.438      	1.16931      	      4      	      0      	     -4      	      0      	      0      	      0      
   4.45      	 442.11      	1083.71      	272.476      	3.89575      	12.3264      	3.47269      	24.5776      	60.5894      	49.3057      	15.4014      	 5.1338      	104.608      	1.16872      	      4      	      0      	     -4      	      0      	      0      	      0      
    4.5      	445.116      	 1091.5      	273.774      	3.89421      	12.3216      	3.47178      	24.7447      	60.8781      	49.2863      	15.4075      	5.13583      	105.777      	1.16826      	      4      	      0      	     -4      	      0      	      0      	      0      
   4.55      	447.524      	 1097.5      	274.863      	3.89387      	12.3205      	3.47085      	24.8785      	61.1202      	49.2819      	15.4088      	5.13628      	106.946      	1.16816      	      4      	      0      	     -4      	      0      	      0      	      0      
    4.6      	449.569      	1102.56      	  275.7      	3.89371      	  12.32      	3.46992      	24.9922      	61.3064      	49.2799      	15.4095      	5.13649      	108.114      	1.16811      	      4      	      0      	     -4      	      0      	      0      	      0      
   4.65      	451.002      	1106.03      	276.377      	3.89389      	12.3206      	3.46897      	25.0719      	61.4568      	49.2822      	15.4087      	5.13625      	109.282      	1.16817      	      4      	      0      	     -4      	      0      	      0      	      0      
    4.7      	451.785      	1107.97      	276.834      	3.89382      	12.3203      	3.46801      	25.1154      	61.5586      	49.2812      	15.4091      	5.13635      	 110.45      	1.16814      	      4      	      0      	     -4      	      0      	      0      	      0      
   4.75      	452.054      	1108.75      	277.082      	3.89338      	12.3189      	3.46705      	25.1304      	61.6136      	49.2758      	15.4108      	5.13692      	111.618      	1.16801      	      4      	      0      	     -4      	      0      	      0      	      0      
    4.8      	 451.81      	1108.33      	277.162      	3.89275      	12.3169      	3.46607      	25.1168      	61.6314      	49.2678      	15.4133      	5.13776      	112.786      	1.16782      	      4      	      0      	     -4      	      0      	      0      	      0      
   4.85      	451.323      	 1107.2      	 277.08      	3.89252      	12.3162      	3.46509      	25.0897      	61.6133      	49.2649      	15.4142      	5.13806      	113.954      	1.16776      	      4      	      0      	     -4      	      0      	      0      	      0      
    4.9      	450.418      	1104.96      	276.904      	3.89262      	12.3165      	3.46409      	25.0395      	61.5741      	49.2661      	15.4138      	5.13793      	115.122      	1.16778      	      4      	      0      	     -4      	      0      	      0      	      0      
   4.95      	449.129      	1101.69      	276.614      	3.89299      	12.3177      	 3.4631      	24.9677      	61.5096      	49.2707      	15.4123      	5.13744      	 116.29      	 1.1679      	      4      	      0      	     -4      	      0      	      0      	      0      
      5      	447.359      	1097.44      	276.233      	3.89268      	12.3167      	3.46209      	24.8694      	61.4249      	49.2669      	15.4136      	5.13785      	117.458      	 1.1678      	      4      	      0      	     -4      	      0      	      0      	      0      
   5.05      	444.997      	1091.87      	275.774      	3.89187      	12.3141      	3.46108      	24.7381      	61.3228      	49.2566      	15.4168      	5.13892      	118.626      	1.16756      	      4      	      0      	     -4      	      0      	      0      	      0      
    5.1      	 442.23      	1085.49      	275.206      	3.89041      	12.3095      	3.46006      	24.5842      	61.1965      	49.2381      	15.4226      	5.14085      	119.793      	1.16712      	      4      	      0      	     -4      	      0      	      0      	      0      
   5.15      	438.964      	1077.85      	274.573      	3.88904      	12.3052      	3.45904      	24.4027      	61.0557      	49.2208      	 15.428      	5.14265      	120.961      	1.16671      	      4      	      0      	     -4      	      0      	      0      	      0      
    5.2      	435.367      	1069.33      	273.827      	3.88789      	12.3016      	3.45801      	24.2027      	60.8897      	49.2062      	15.4325      	5.14418      	122.128      	1.16637      	      4      	      0      	     -4      	      0      	      0      	      0      
   5.25      	431.378      	1059.66      	    273      	3.88743      	12.3001      	3.45698      	 23.981      	60.7059      	49.2004      	15.4344      	5.14479      	123.294      	1.16623      	      4      	      0      	     -4      	      0      	      0      	      0      
    5.3      	426.996      	1048.88      	272.067      	3.88749      	12.3003      	3.45594      	23.7373      	60.4984      	49.2012      	15.4341      	 5.1447      	 124.46      	1.16625      	      4      	      0      	     -4      	      0      	      0      	      0      
   5.35      	 422.25      	1037.13      	271.029      	3.88782      	12.3013      	 3.4549      	23.4735      	60.2677      	49.2053      	15.4328      	5.14427      	125.627      	1.16635      	      4      	      0      	     -4      	      0      	      0      	      0      
    5.4      	417.094      	1024.45      	269.895      	 3.8879      	12.3016      	3.45386      	23.1869      	60.0155      	49.2064      	15.4325      	5.14416      	126.793      	1.16637      	      4      	      0      	     -4      	      0      	      0      	      0      
   5.45      	411.733      	1011.31      	268.655      	3.88777      	12.3012      	3.45282      	22.8888      	59.7397      	49.2048      	 15.433      	5.14433      	127.959      	1.16633      	      4      	      0      	     -4      	      0      	      0      	      0      
    5.5      	406.244      	997.855      	267.354      	3.88768      	12.3009      	3.45178      	22.5837      	59.4505      	49.2036      	15.4334      	5.14446      	129.126      	 1.1663      	      4      	      0      	     -4      	      0      	      0      	      0      
