# Sensor: Sensor Sea      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:01      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      
Time [s]      	Surface elevation (origin)      [      m      ]      	Dynamic pressure (origin)      [   k Pa      ]      
----------	----------	----------      
    Min      	 -1.094 [110.05s]      	-11.0171 [110.05s]      
    Max      	  1.094 [263s]      	11.0171 [263s]      
   Mean      	-0.00285919      	-0.0287933      
Standard deviation      	0.773575      	7.79024      
----------	----------	----------      
      0      	      0      	      0      
   0.05      	0.0460513      	0.463757      
    0.1      	0.0920209      	0.926692      
   0.15      	0.137827      	1.38798      
    0.2      	0.18339      	1.84682      
   0.25      	0.228627      	2.30237      
    0.3      	0.273459      	2.75385      
   0.35      	0.317806      	3.20045      
    0.4      	0.361589      	3.64137      
   0.45      	0.404732      	4.07583      
    0.5      	0.447157      	4.50307      
   0.55      	0.48879      	4.92233      
    0.6      	0.529556      	5.33286      
   0.65      	0.569383      	5.73394      
    0.7      	0.608201      	6.12485      
   0.75      	0.64594      	6.50491      
    0.8      	0.682535      	6.87343      
   0.85      	0.71792      	7.22977      
    0.9      	0.752032      	 7.5733      
   0.95      	0.784811      	 7.9034      
      1      	0.816198      	8.21948      
   1.05      	0.846139      	  8.521      
    1.1      	0.87458      	8.80741      
   1.15      	0.90147      	9.07821      
    1.2      	0.926762      	9.33291      
   1.25      	0.950412      	9.57107      
    1.3      	0.972376      	9.79227      
   1.35      	0.992617      	 9.9961      
    1.4      	 1.0111      	10.1822      
   1.45      	1.02779      	10.3503      
    1.5      	1.04265      	   10.5      
   1.55      	1.05567      	10.6311      
    1.6      	1.06682      	10.7434      
   1.65      	1.07608      	10.8366      
    1.7      	1.08342      	10.9106      
   1.75      	1.08885      	10.9652      
    1.8      	1.09235      	11.0004      
   1.85      	1.09391      	11.0162      
    1.9      	1.09353      	11.0124      
   1.95      	1.09121      	 10.989      
      2      	1.08696      	10.9462      
   2.05      	1.08079      	 10.884      
    2.1      	1.07269      	10.8025      
   2.15      	 1.0627      	10.7018      
    2.2      	1.05082      	10.5822      
   2.25      	1.03707      	10.4438      
    2.3      	1.02149      	10.2869      
   2.35      	 1.0041      	10.1118      
    2.4      	0.984931      	9.91869      
   2.45      	0.964013      	9.70805      
    2.5      	0.941387      	9.48019      
   2.55      	0.917091      	9.23552      
    2.6      	0.89117      	8.97449      
   2.65      	0.86367      	8.69754      
    2.7      	0.834638      	8.40518      
   2.75      	0.804126      	8.09791      
    2.8      	0.772189      	7.77629      
   2.85      	0.738883      	7.44089      
    2.9      	0.704268      	7.09229      
   2.95      	0.668404      	6.73112      
      3      	0.631355      	6.35802      
   3.05      	0.593186      	5.97365      
    3.1      	0.553966      	5.57869      
   3.15      	0.513765      	5.17384      
    3.2      	0.472652      	4.75982      
   3.25      	0.430701      	4.33736      
    3.3      	0.387987      	3.90721      
   3.35      	0.344586      	3.47013      
    3.4      	0.300573      	 3.0269      
   3.45      	0.256027      	2.57831      
    3.5      	0.211028      	2.12515      
   3.55      	0.165655      	1.66822      
    3.6      	0.119988      	1.20833      
   3.65      	0.0741077      	0.746298      
    3.7      	0.0280965      	0.282944      
   3.75      	-0.0179645      	-0.180911      
    3.8      	-0.0639937      	-0.644445      
   3.85      	-0.109909      	-1.10684      
    3.9      	-0.15563      	-1.56727      
   3.95      	-0.201075      	-2.02492      
      4      	-0.246164      	-2.47898      
   4.05      	-0.290816      	-2.92865      
    4.1      	-0.334953      	-3.37312      
   4.15      	-0.378495      	-3.81162      
    4.2      	-0.421367      	-4.24336      
   4.25      	-0.463492      	-4.66757      
    4.3      	-0.504795      	-5.08352      
   4.35      	-0.545204      	-5.49045      
    4.4      	-0.584646      	-5.88764      
   4.45      	-0.623051      	-6.27441      
    4.5      	-0.660352      	-6.65004      
   4.55      	-0.696483      	-7.01389      
    4.6      	-0.731378      	-7.36531      
   4.65      	-0.764977      	-7.70367      
    4.7      	-0.79722      	-8.02837      
   4.75      	-0.82805      	-8.33884      
    4.8      	-0.857412      	-8.63453      
   4.85      	-0.885254      	-8.91491      
    4.9      	-0.911527      	-9.17948      
   4.95      	-0.936183      	-9.42779      
      5      	-0.959181      	-9.65938      
   5.05      	-0.980477      	-9.87385      
    5.1      	-1.00004      	-10.0708      
   5.15      	-1.01782      	-10.2499      
    5.2      	-1.0338      	-10.4109      
   5.25      	-1.04795      	-10.5534      
    5.3      	-1.06024      	-10.6771      
   5.35      	-1.07066      	-10.782      
    5.4      	-1.07917      	-10.8677      
   5.45      	-1.08577      	-10.9342      
    5.5      	-1.09045      	-10.9813      
   5.55      	-1.09319      	-11.0089      
    5.6      	-1.09399      	-11.017      
   5.65      	-1.09286      	-11.0056      
    5.7      	-1.08979      	-10.9746      
   5.75      	-1.08478      	-10.9243      
    5.8      	-1.07786      	-10.8545      
   5.85      	-1.06902      	-10.7655      
    5.9      	-1.05829      	-10.6574      
   5.95      	-1.04568      	-10.5304      
      6      	-1.03122      	-10.3848      
   6.05      	-1.01492      	-10.2207      
    6.1      	-0.996835      	-10.0386      
   6.15      	-0.976979      	-9.83861      
    6.2      	-0.95539      	-9.62121      
   6.25      	-0.932108      	-9.38674      
    6.3      	-0.907173      	-9.13564      
   6.35      	-0.88063      	-8.86834      
    6.4      	-0.852526      	-8.58532      
   6.45      	-0.822911      	-8.28709      
    6.5      	-0.791837      	-7.97416      
   6.55      	-0.75936      	-7.64709      
    6.6      	-0.725536      	-7.30647      
   6.65      	-0.690426      	-6.9529      
    6.7      	-0.654092      	 -6.587      
   6.75      	-0.616598      	-6.20942      
    6.8      	-0.578012      	-5.82084      
