# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:36:59      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	 805.63 [208.45s]      	32154.1 [125.65s]      	31681.7 [193.5s]      	-10867.2 [175.1s]      	-10836.3 [175.1s]      	10.2218 [211.95s]      	2.31831 [215.55s]      	-3.81645 [107.75s]      	467.562 [238.45s]      
    Max      	1946.01 [482.3s]      	40312.2 [107.5s]      	34455.3 [182s]      	22963.6 [107.5s]      	22969.9 [107.5s]      	10.2677 [126.05s]      	2.85584 [108.25s]      	-1.05017 [119.65s]      	648.572 [107.65s]      
   Mean      	1440.77      	35649.8      	33058.5      	6017.53      	6035.68      	10.2449      	2.58141      	-2.43661      	547.582      
Standard deviation      	392.831      	 2316.5      	674.766      	12015.4      	12006.5      	0.0145931      	0.131775      	0.97639      	60.7497      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	1.73737e-10      	3.04993e-10      	-2.96654e-10      	-6.93318e-11      	-6.95504e-11      	   19.9      	-3.72841      	-0.850025      	-6.52414e-12      
   0.05      	1870.22      	84.8954      	49.7624      	68.6865      	68.7473      	   19.9      	-3.71786      	-0.849744      	2.89265      
    0.1      	677.945      	105.597      	100.009      	-33.477      	-33.3129      	   19.8      	-3.68424      	-0.852475      	3.02961      
   0.15      	945.786      	161.291      	160.898      	-7.30405      	-7.08364      	19.7001      	-3.6295      	-0.862712      	 4.8937      
    0.2      	1570.39      	412.801      	412.167      	11.2136      	11.5766      	19.6001      	-3.55245      	-0.876951      	8.56542      
