# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:36:59      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
   0.25      	324.751      	984.976      	 983.62      	-27.054      	-26.6072      	19.5001      	-3.45696      	-0.891765      	9.65241      
    0.3      	1765.46      	1370.93      	 1368.3      	58.4295      	58.9934      	19.4001      	-3.35852      	-0.904872      	14.2034      
   0.35      	559.628      	1807.51      	1805.73      	-8.80033      	-8.28283      	19.3001      	-3.26566      	-0.919508      	 11.673      
    0.4      	1203.38      	2455.85      	 2452.7      	60.4932      	61.2165      	19.2002      	-3.17942      	-0.940819      	17.9042      
   0.45      	1252.87      	2935.64      	2931.87      	73.8954      	74.5549      	19.1002      	-3.09075      	-0.961644      	16.7325      
    0.5      	584.536      	3704.98      	3701.25      	35.2205      	35.9389      	19.0002      	-2.99782      	-0.980038      	17.2411      
   0.55      	1623.93      	4251.97      	4245.34      	146.811      	 147.61      	18.9002      	-2.90901      	-1.00145      	21.5124      
    0.6      	533.831      	4730.96      	4725.19      	108.705      	109.283      	18.8002      	-2.83056      	-1.02233      	15.6088      
   0.65      	 1358.8      	 5073.3      	5062.77      	239.196      	 240.07      	18.7002      	-2.77036      	-1.03627      	25.2656      
    0.7      	1004.64      	4942.76      	4932.65      	230.378      	231.021      	18.6003      	-2.72763      	-1.04351      	19.7618      
   0.75      	823.448      	 5109.5      	5097.57      	267.646      	268.483      	18.5003      	-2.70018      	-1.05005      	25.0165      
    0.8      	   1439      	5108.65      	5088.71      	391.393      	392.259      	18.4003      	-2.68959      	-1.05957      	 28.396      
   0.85      	586.776      	5112.43      	5088.83      	436.833      	437.486      	18.3003      	-2.69846      	-1.06807      	24.5045      
    0.9      	1414.01      	5119.35      	5077.18      	616.301      	617.138      	18.2003      	-2.73137      	-1.06998      	32.6546      
   0.95      	820.559      	4834.23      	4782.69      	 671.86      	672.389      	18.1004      	-2.79009      	-1.06555      	 26.769      
      1      	1036.83      	4630.43      	4550.71      	831.455      	832.102      	18.0004      	-2.87372      	-1.05952      	32.9764      
   1.05      	1199.06      	4112.44      	3987.39      	990.699      	991.235      	17.9004      	-2.96893      	-1.05334      	33.9081      
    1.1      	737.027      	 3775.2      	3607.25      	1101.86      	 1102.2      	17.8004      	-3.06316      	-1.04888      	32.0564      
   1.15      	1316.68      	3525.53      	3256.93      	1341.61      	 1342.1      	17.7004      	-3.15525      	-1.04462      	40.6443      
    1.2      	791.593      	3028.17      	2659.81      	1442.38      	1442.56      	17.6005      	-3.24739      	-1.04115      	35.5095      
   1.25      	1101.32      	   2753      	2182.71      	 1674.4      	 1674.8      	17.5005      	-3.34272      	-1.03927      	45.7235      
    1.3      	1071.43      	2384.96      	1470.61      	1875.88      	1876.17      	17.4005      	-3.43627      	-1.03533      	47.5469      
   1.35      	825.485      	2267.81      	910.647      	2075.92      	2076.19      	17.3005      	-3.52225      	-1.03118      	51.6233      
    1.4      	1251.08      	2466.32      	481.734      	2417.97      	2418.31      	17.2005      	-3.59858      	-1.03166      	60.3713      
   1.45      	769.977      	2688.87      	212.407      	2679.85      	2679.78      	17.1005      	-3.66356      	-1.04002      	56.9755      
    1.5      	1163.39      	3057.31      	275.908      	3044.09      	3044.08      	17.0006      	-3.71704      	-1.05459      	66.1719      
   1.55      	953.569      	3354.17      	216.803      	3346.53      	3346.13      	16.9006      	-3.75826      	-1.07197      	63.8307      
    1.6      	  940.5      	3680.91      	 333.17      	3665.14      	3664.63      	16.8006      	-3.78566      	-1.09377      	68.2746      
   1.65      	1153.03      	4091.96      	 513.85      	4058.84      	4058.19      	16.7006      	-3.79329      	-1.12211      	73.6852      
    1.7      	822.955      	 4465.6      	726.243      	4405.42      	4404.44      	16.6006      	-3.77693      	-1.15685      	 73.807      
   1.75      	1174.11      	4951.78      	1083.66      	4830.81      	4829.83      	16.5007      	-3.73676      	-1.19384      	82.9452      
    1.8      	906.337      	5381.71      	1391.93      	5197.56      	5196.28      	16.4007      	-3.67774      	-1.23304      	84.1944      
   1.85      	1038.21      	5892.87      	1818.01      	5604.08      	5602.81      	16.3007      	-3.6106      	-1.27682      	93.1624      
    1.9      	1077.97      	6419.08      	2172.02      	6038.86      	6037.51      	16.2007      	-3.53944      	-1.32247      	100.834      
   1.95      	919.037      	6929.59      	2558.64      	6438.06      	 6436.6      	16.1007      	-3.46351      	-1.36942      	107.125      
      2      	1161.04      	7570.16      	3066.97      	6918.75      	6917.32      	16.0008      	-3.38441      	-1.4162      	118.038      
   2.05      	942.047      	8172.95      	 3578.1      	7345.41      	7343.74      	15.9008      	-3.30621      	-1.46377      	122.093      
    2.1      	1104.08      	8857.93      	4111.78      	 7842.6      	7840.93      	15.8008      	-3.23278      	-1.51331      	 132.85      
   2.15      	1070.01      	9473.71      	 4528.8      	8317.59      	8315.79      	15.7008      	-3.16409      	-1.56243      	140.256      
    2.2      	1010.89      	10059.3      	4923.87      	8767.93      	8766.12      	15.6008      	-3.09913      	-1.61167      	149.896      
   2.25      	1178.61      	  10619      	5263.43      	9218.49      	9216.73      	15.5008      	-3.03616      	-1.66139      	161.008      
    2.3      	1002.09      	11131.7      	5565.28      	9636.12      	9634.34      	15.4009      	-2.97381      	-1.71235      	169.491      
   2.35      	 1182.5      	  11682      	5898.11      	10078.8      	10077.2      	15.3009      	-2.9116      	-1.76305      	182.092      
    2.4      	1094.59      	12173.4      	6144.78      	10503.5      	10501.9      	15.2009      	-2.85086      	-1.80989      	191.948      
   2.45      	1122.66      	12632.7      	6344.61      	10918.4      	10916.9      	15.1009      	-2.79529      	-1.85267      	204.167      
    2.5      	1205.99      	13095.5      	6542.83      	11338.2      	11336.8      	15.0009      	-2.74481      	-1.89243      	215.952      
   2.55      	1095.84      	13546.4      	6800.65      	11709.7      	11708.4      	 14.901      	-2.69619      	-1.9313      	226.433      
    2.6      	1255.37      	14002.3      	7094.25      	12065.8      	12064.6      	 14.801      	-2.6464      	-1.96804      	 237.56      
   2.65      	1152.92      	14442.4      	7436.21      	12374.2      	12373.1      	 14.701      	-2.59447      	-2.00208      	246.164      
    2.7      	1237.53      	14916.3      	7845.52      	12679.1      	12678.2      	 14.601      	-2.54171      	-2.03462      	256.785      
   2.75      	1252.25      	  15335      	8217.72      	12939.6      	12938.8      	 14.501      	-2.48726      	-2.06391      	265.991      
    2.8      	1214.39      	15738.8      	 8600.4      	13172.9      	13172.4      	14.4011      	-2.42808      	-2.08951      	276.362      
   2.85      	1320.87      	16139.1      	9004.66      	13384.6      	13384.4      	14.3011      	-2.36237      	-2.11191      	286.795      
    2.9      	1244.38      	16545.9      	9476.72      	13553.6      	13553.6      	14.2011      	-2.29093      	-2.13269      	295.842      
   2.95      	1333.57      	  16984      	10010.3      	  13710      	13710.3      	14.1011      	-2.21462      	-2.15322      	306.739      
      3      	 1322.8      	  17379      	10520.7      	13821.5      	13822.1      	14.0011      	-2.13298      	-2.17196      	315.735      
   3.05      	1322.97      	17787.5      	11077.1      	  13905      	  13906      	13.9012      	-2.04658      	-2.18899      	326.268      
    3.1      	 1397.9      	18192.5      	11648.4      	  13961      	13962.4      	13.8012      	-1.9563      	-2.2042      	 335.96      
   3.15      	1337.83      	18588.6      	12237.4      	13977.7      	13979.4      	13.7012      	-1.86204      	-2.21819      	345.287      
    3.2      	1427.89      	  18988      	12831.3      	13980.8      	  13983      	13.6012      	-1.76297      	-2.23165      	 355.25      
   3.25      	   1394      	19356.6      	13417.7      	13934.4      	  13937      	13.5012      	-1.6595      	-2.2439      	363.769      
    3.3      	1426.49      	19747.7      	14044.9      	13863.4      	13866.5      	13.4012      	-1.55359      	-2.25538      	373.597      
   3.35      	1463.58      	  20112      	14656.9      	13751.8      	13755.3      	13.3013      	-1.44549      	-2.26599      	 381.78      
    3.4      	1432.07      	20508.1      	15313.9      	13618.5      	13622.5      	13.2013      	-1.33389      	-2.27551      	390.588      
   3.45      	1507.89      	20909.1      	15970.8      	13471.4      	13475.9      	13.1013      	-1.2184      	-2.28295      	399.398      
    3.5      	1468.64      	21278.1      	16593.3      	13293.9      	  13299      	13.0013      	-1.1007      	-2.28743      	407.001      
   3.55      	1516.91      	  21688      	17249.7      	13117.6      	13123.3      	12.9013      	-0.982268      	-2.28988      	415.848      
    3.6      	1523.64      	22072.3      	17886.7      	12901.9      	12908.1      	12.8014      	-0.862135      	-2.29072      	423.153      
   3.65      	1517.78      	22469.2      	18542.7      	12656.7      	12663.4      	12.7014      	-0.739082      	-2.29113      	430.574      
    3.7      	1567.79      	22869.4      	19205.1      	12380.5      	12387.8      	12.6014      	-0.613774      	-2.29149      	437.191      
   3.75      	1538.01      	23285.1      	19889.8      	12068.1      	12075.9      	12.5014      	-0.487346      	-2.29162      	442.897      
    3.8      	1584.95      	23731.6      	20596.7      	11745.2      	11753.6      	12.4014      	-0.359434      	-2.29137      	 448.99      
   3.85      	1576.97      	24127.6      	21249.8      	11380.5      	11389.4      	12.3015      	-0.22965      	-2.28932      	453.268      
    3.9      	1583.51      	24533.4      	21903.3      	11000.1      	11009.6      	12.2015      	-0.098617      	-2.28553      	 457.73      
   3.95      	1613.14      	24946.6      	22554.2      	10604.3      	10614.3      	12.1015      	0.0331689      	-2.28039      	 461.23      
      4      	1588.93      	25367.5      	23208.2      	10180.6      	10191.2      	12.0015      	0.165367      	-2.27394      	 464.11      
   4.05      	1630.52      	25791.2      	23854.4      	   9739      	9750.09      	11.9015      	0.298076      	-2.26632      	466.597      
    4.1      	1611.25      	26195.2      	24476.7      	9258.12      	9269.71      	11.8015      	0.430733      	-2.25717      	467.598      
   4.15      	1628.84      	26623.1      	25112.3      	8759.96      	8772.06      	11.7016      	0.561512      	-2.24615      	468.423      
    4.2      	1637.86      	27019.5      	25705.5      	8233.92      	8246.51      	11.6016      	0.689313      	-2.23242      	467.906      
   4.25      	1623.93      	27388.5      	  26259      	7684.92      	7697.97      	11.5016      	0.813735      	-2.2158      	466.627      
    4.3      	1651.41      	27744.2      	26784.1      	7124.84      	7138.37      	11.4016      	0.933634      	-2.19639      	465.232      
   4.35      	1629.74      	28073.5      	  27272      	6536.23      	6550.26      	11.3016      	1.04752      	-2.17423      	463.717      
    4.4      	1648.28      	28399.9      	27742.2      	 5936.1      	 5950.7      	11.2017      	1.15591      	-2.14979      	463.655      
   4.45      	1643.89      	28705.3      	28176.3      	5324.93      	5340.16      	11.1017      	1.26143      	-2.12317      	464.889      
    4.5      	1638.21      	29006.2      	28587.8      	4723.67      	4739.62      	11.0017      	1.36656      	-2.09508      	 468.11      
   4.55      	1652.77      	  29293      	28968.6      	4131.96      	4148.65      	10.9017      	1.47308      	-2.06603      	472.198      
    4.6      	1632.61      	29576.5      	29331.4      	3544.68      	 3562.1      	10.8017      	1.58198      	-2.03631      	476.054      
   4.65      	 1647.7      	29903.6      	29722.9      	2975.26      	2993.37      	10.7018      	1.69357      	-2.00691      	479.225      
    4.7      	1634.91      	30287.2      	30158.7      	2407.36      	2426.08      	10.6018      	1.80701      	-1.97893      	480.806      
   4.75      	1634.23      	30770.4      	30681.9      	1846.24      	1865.51      	10.5018      	1.92066      	-1.95379      	481.308      
    4.8      	1639.37      	31371.5      	  31311      	1296.16      	1315.96      	10.4018      	2.03385      	-1.93178      	481.234      
   4.85      	1625.99      	32065.2      	32021.9      	761.507      	781.808      	10.3018      	2.14647      	-1.9122      	 481.09      
    4.9      	1639.94      	32799.9      	32764.1      	247.704      	268.487      	10.2018      	2.25829      	-1.89419      	480.929      
   4.95      	1627.33      	33521.2      	33484.8      	-247.272      	-226.035      	10.1019      	2.36949      	-1.87716      	480.547      
      5      	1632.82      	34210.9      	34167.4      	-713.217      	-691.55      	10.0019      	2.48096      	-1.86111      	480.268      
   5.05      	1630.14      	  34838      	34782.2      	-1160.55      	-1138.72      	10.0981      	2.58968      	-1.84548      	474.161      
    5.1      	 1620.1      	35382.1      	35309.4      	-1592.79      	-1570.8      	10.1981      	2.68714      	-1.82948      	 468.45      
   5.15      	1623.79      	35846.7      	  35753      	-2012.43      	-1990.24      	10.2981      	2.77004      	-1.81379      	464.095      
    5.2      	1607.98      	36238.5      	  36120      	-2423.31      	-2400.88      	 10.398      	2.84179      	-1.80077      	460.668      
   5.25      	1608.88      	36548.9      	36401.8      	-2826.2      	-2803.48      	 10.498      	2.90265      	-1.7913      	458.257      
    5.3      	1598.56      	36737.6      	36557.2      	-3233.56      	-3210.56      	 10.598      	2.94885      	-1.78334      	 455.92      
   5.35      	1589.05      	36749.3      	36530.5      	-3644.63      	-3621.38      	 10.698      	2.97853      	-1.77485      	452.855      
    5.4      	1583.54      	36578.4      	36314.7      	-4061.92      	-4038.48      	 10.798      	2.99328      	-1.76517      	448.031      
   5.45      	1564.56      	36320.3      	36006.6      	-4473.8      	-4450.18      	10.8979      	 2.9948      	-1.75446      	443.049      
    5.5      	1560.23      	36086.6      	35720.4      	-4864.73      	-4840.91      	10.9979      	2.98345      	-1.74194      	439.192      
   5.55      	1544.48      	35877.6      	35455.8      	-5243.91      	-5219.85      	11.0979      	2.95886      	-1.7251      	436.544      
    5.6      	1533.54      	35621.4      	35141.5      	-5605.03      	-5580.76      	11.1979      	2.92038      	-1.70182      	  433.6      
   5.65      	1521.84      	  35297      	34756.4      	-5948.11      	-5923.66      	11.2979      	2.86783      	-1.67183      	430.109      
    5.7      	1504.27      	34963.1      	34359.1      	-6280.05      	-6255.42      	11.3979      	2.80282      	-1.63592      	427.036      
   5.75      	1497.24      	34659.7      	33988.7      	-6608.93      	-6584.07      	11.4978      	2.72905      	-1.5949      	425.125      
    5.8      	1479.46      	34364.7      	33620.6      	-6946.36      	-6921.25      	11.5978      	2.64972      	-1.54975      	423.598      
   5.85      	1469.07      	34056.3      	33231.9      	-7293.02      	-7267.64      	11.6978      	2.56435      	-1.5021      	422.019      
    5.9      	1454.75      	33741.1      	32829.7      	-7644.35      	-7618.72      	11.7978      	2.47145      	-1.45306      	420.471      
   5.95      	1438.72      	33428.3      	32426.6      	-7986.7      	-7960.78      	11.8978      	2.37292      	-1.40271      	 419.33      
      6      	1427.43      	33118.7      	32025.5      	-8311.39      	-8285.21      	11.9977      	2.27235      	-1.35122      	418.431      
   6.05      	1408.31      	32801.8      	31619.3      	-8607.91      	-8581.47      	12.0977      	2.17045      	-1.29995      	417.861      
    6.1      	1396.17      	32468.7      	31202.1      	-8866.44      	-8839.79      	12.1977      	2.06582      	-1.25042      	 417.26      
   6.15      	1378.72      	32115.5      	30768.4      	-9095.6      	-9068.76      	12.2977      	1.95867      	-1.20298      	416.461      
    6.2      	1362.01      	31758.8      	30332.9      	-9306.49      	-9279.51      	12.3977      	 1.8508      	-1.15816      	415.287      
   6.25      	1346.79      	31419.5      	29914.2      	-9510.41      	-9483.29      	12.4976      	 1.7431      	-1.11714      	 414.09      
    6.3      	1326.93      	31097.5      	29512.5      	-9707.33      	-9680.08      	12.5976      	1.63545      	-1.08062      	412.933      
   6.35      	 1313.2      	30777.3      	  29112      	-9896.86      	-9869.49      	12.6976      	1.52807      	-1.04767      	411.484      
    6.4      	1293.89      	30451.3      	28704.1      	-10080.7      	-10053.2      	12.7976      	1.42168      	-1.01598      	 409.71      
   6.45      	 1277.5      	30123.7      	28296.5      	-10249.3      	-10221.8      	12.8976      	1.31657      	-0.983907      	407.971      
    6.5      	1260.52      	29798.6      	27898.7      	 -10391      	-10363.4      	12.9975      	1.21253      	-0.951127      	406.617      
   6.55      	1241.28      	29470.8      	27509.2      	-10495.9      	-10468.2      	13.0975      	1.10995      	-0.917703      	405.816      
    6.6      	1224.38      	29136.3      	27124.6      	-10564.7      	 -10537      	13.1975      	1.00971      	-0.883485      	405.232      
   6.65      	1202.42      	28800.5      	26749.2      	 -10603      	-10575.2      	13.2975      	0.911564      	-0.848718      	404.936      
    6.7      	1183.66      	28471.1      	26391.7      	-10610.7      	 -10583      	13.3975      	0.814453      	-0.814918      	405.254      
   6.75      	1162.81      	  28140      	26041.9      	-10593.6      	-10565.8      	13.4975      	0.718759      	-0.784265      	405.867      
    6.8      	 1141.7      	27801.5      	25692.9      	-10553.6      	-10525.8      	13.5974      	0.625946      	-0.758336      	406.096      
   6.85      	1122.35      	27459.2      	25347.8      	-10493.3      	-10465.7      	13.6974      	0.535853      	-0.737846      	405.796      
    6.9      	1100.31      	27122.4      	25015.5      	-10416.2      	-10388.6      	13.7974      	0.447078      	-0.72332      	405.108      
   6.95      	1081.41      	26788.9      	24695.9      	-10316.6      	-10289.2      	13.8974      	0.359835      	-0.715184      	404.028      
      7      	1059.73      	  26444      	24376.7      	-10186.7      	-10159.5      	13.9974      	0.275721      	-0.713105      	402.458      
   7.05      	1038.41      	26086.7      	24058.7      	-10021.7      	-9994.7      	14.0973      	0.195054      	-0.715909      	400.581      
    7.1      	1017.54      	25728.9      	  23756      	-9818.22      	-9791.52      	14.1973      	0.116882      	-0.721986      	398.892      
   7.15      	994.926      	25367.5      	23465.1      	-9575.64      	-9549.24      	14.2973      	0.0410688      	-0.730072      	397.503      
    7.2      	974.225      	24990.9      	  23169      	-9304.25      	-9278.18      	14.3973      	-0.0316053      	-0.739568      	 395.93      
   7.25      	950.833      	24604.7      	22866.7      	-9019.99      	-8994.27      	14.4973      	-0.101022      	-0.750011      	394.184      
    7.3      	 929.11      	24234.6      	22583.8      	-8727.42      	-8702.05      	14.5972      	-0.167851      	-0.760979      	392.759      
   7.35      	 906.84      	23886.4      	22326.3      	-8426.04      	  -8401      	14.6972      	-0.232331      	-0.772247      	391.857      
    7.4      	883.661      	23544.5      	22075.6      	-8120.01      	-8095.29      	14.7972      	-0.293973      	-0.783803      	391.089      
   7.45      	861.569      	23201.2      	21822.9      	-7810.39      	-7786.01      	14.8972      	-0.352599      	-0.795628      	390.261      
    7.5      	838.237      	22863.2      	21577.7      	-7489.72      	-7465.67      	14.9972      	-0.408903      	-0.807433      	 389.65      
   7.55      	816.499      	22533.7      	21345.7      	-7149.23      	-7125.52      	15.0972      	-0.463362      	-0.819193      	389.418      
    7.6      	793.597      	22200.4      	21114.7      	-6784.7      	-6761.35      	15.1971      	-0.515518      	-0.831747      	389.302      
   7.65      	770.588      	21857.7      	20877.2      	-6397.1      	-6374.12      	15.2971      	-0.565135      	-0.846373      	389.052      
    7.7      	 748.26      	21516.3      	20642.4      	-5990.24      	-5967.67      	15.3971      	-0.612978      	-0.863918      	388.726      
   7.75      	725.001      	  21181      	20412.6      	-5569.8      	-5547.65      	15.4971      	-0.659742      	-0.884711      	388.275      
    7.8      	703.029      	20844.4      	20177.5      	-5141.71      	-5120.01      	15.5971      	-0.705303      	-0.909063      	387.371      
   7.85      	680.151      	20492.9      	19921.6      	-4710.77      	-4689.55      	 15.697      	-0.749742      	-0.937245      	385.811      
    7.9      	658.164      	20123.1      	19641.3      	-4275.73      	-4255.01      	 15.797      	-0.794015      	-0.968938      	383.648      
   7.95      	636.686      	19743.1      	19345.3      	-3833.28      	-3813.08      	 15.896      	-0.83896      	-1.00303      	381.266      
      8      	615.148      	19362.2      	19042.7      	-3382.17      	-3362.4      	15.9067      	-0.882705      	-1.03864      	381.381      
   8.05      	595.149      	18991.5      	18744.3      	-2918.41      	-2899.05      	15.8956      	-0.920894      	-1.07581      	382.199      
    8.1      	574.483      	18638.9      	18457.9      	-2433.79      	-2414.85      	 15.879      	-0.952293      	-1.11406      	383.011      
   8.15      	554.819      	18309.2      	18186.7      	-1922.91      	-1904.41      	15.8606      	-0.979312      	-1.15173      	383.973      
    8.2      	534.963      	18005.5      	17930.8      	-1387.65      	-1369.62      	15.8414      	-1.00272      	-1.18774      	384.789      
   8.25      	515.283      	17745.3      	17704.6      	-837.136      	-819.594      	15.8217      	-1.02099      	 -1.223      	385.534      
    8.3      	497.788      	17568.6      	17545.6      	-275.066      	-258.019      	15.8015      	-1.03385      	-1.25935      	386.379      
   8.35      	482.301      	17496.6      	17473.3      	299.642      	316.209      	15.7808      	-1.04273      	-1.29799      	 387.84      
    8.4      	469.522      	17483.7      	17440.9      	876.778      	 892.86      	15.7595      	-1.04861      	-1.33921      	389.223      
   8.45      	456.848      	17467.5      	17386.9      	1443.67      	1459.26      	15.7377      	-1.0515      	-1.38322      	390.061      
    8.5      	445.175      	17440.4      	17304.2      	2003.37      	2018.44      	15.7153      	-1.05159      	-1.43049      	390.371      
   8.55      	435.894      	17436.3      	17225.5      	 2567.4      	2581.96      	15.6923      	-1.04921      	 -1.481      	390.862      
    8.6      	428.526      	17469.1      	17163.5      	3142.16      	3156.21      	15.6687      	-1.0441      	-1.53381      	391.639      
   8.65      	423.017      	17515.5      	17093.6      	3727.46      	   3741      	15.6445      	-1.03647      	-1.58769      	392.483      
    8.7      	417.402      	17557.9      	16996.5      	 4323.9      	 4336.9      	15.6196      	-1.02815      	-1.64196      	393.122      
   8.75      	413.389      	17612.3      	16887.4      	4930.93      	4943.39      	15.5941      	-1.02107      	-1.69631      	393.894      
    8.8      	411.232      	17693.5      	16782.9      	5541.29      	5553.21      	15.5675      	-1.01482      	-1.75038      	394.808      
   8.85      	411.038      	17797.1      	16681.6      	6146.35      	6157.75      	15.5402      	-1.00794      	-1.80375      	395.811      
    8.9      	412.724      	17913.8      	16576.2      	6742.27      	6753.15      	15.5121      	-1.00084      	-1.85634      	396.745      
   8.95      	415.104      	18036.1      	16460.2      	7327.42      	7337.78      	15.4833      	-0.995307      	-1.90815      	397.663      
      9      	418.355      	18152.6      	16324.6      	7896.85      	 7906.7      	15.4538      	-0.991887      	-1.95868      	398.423      
   9.05      	422.731      	18260.7      	16168.8      	8448.11      	8457.48      	15.4235      	-0.989951      	-2.00718      	399.102      
    9.1      	428.824      	18370.6      	16002.2      	8986.87      	8995.75      	15.3925      	-0.989701      	-2.05352      	399.782      
   9.15      	436.983      	18492.8      	15831.3      	9524.51      	9532.93      	15.3607      	-0.99222      	-2.09807      	400.714      
    9.2      	446.383      	18625.5      	15651.9      	10064.9      	10072.8      	15.3282      	-0.997925      	-2.14096      	401.823      
   9.25      	457.513      	18763.8      	15460.9      	10603.1      	10610.6      	15.2949      	-1.00652      	-2.1819      	 402.97      
    9.3      	469.805      	18911.5      	15264.5      	11137.1      	11144.1      	15.2607      	-1.01815      	-2.22093      	403.943      
   9.35      	 482.94      	19078.2      	15075.7      	11666.4      	  11673      	15.2259      	-1.03325      	-2.25892      	404.734      
    9.4      	496.504      	19261.4      	14898.1      	12184.5      	12190.6      	15.1902      	-1.05138      	-2.2968      	405.217      
   9.45      	510.471      	  19449      	14724.4      	12683.9      	12689.5      	15.1537      	-1.0713      	-2.33473      	405.286      
    9.5      	 525.32      	19639.8      	14555.8      	13163.8      	13168.9      	15.1163      	-1.09243      	-2.37229      	404.953      
   9.55      	540.703      	19841.8      	  14401      	  13629      	13633.7      	15.0782      	-1.11484      	-2.40916      	404.501      
    9.6      	556.591      	  20054      	14256.9      	14083.9      	14088.1      	15.0392      	-1.13789      	-2.44509      	404.063      
   9.65      	572.652      	20270.8      	14114.2      	14531.2      	  14535      	14.9993      	-1.1603      	-2.4793      	403.759      
    9.7      	588.942      	20493.6      	13972.4      	14974.2      	14977.5      	14.9582      	-1.1816      	-2.51085      	403.669      
   9.75      	605.534      	20726.8      	13837.7      	  15414      	15416.9      	14.9155      	-1.20236      	-2.53961      	403.909      
    9.8      	 622.25      	20968.6      	13711.3      	15848.1      	15850.7      	14.8715      	-1.22269      	-2.56623      	404.436      
   9.85      	639.315      	21209.7      	13588.8      	  16269      	16271.3      	14.8264      	-1.2419      	-2.59129      	405.126      
    9.9      	656.721      	21445.8      	13473.3      	16669.8      	16671.7      	14.7804      	-1.25975      	-2.61514      	405.741      
   9.95      	674.378      	21682.1      	13377.2      	17048.8      	17050.3      	14.7333      	-1.27676      	-2.63823      	406.208      
     10      	691.982      	21920.4      	13300.7      	17409.6      	17410.7      	14.6852      	-1.29314      	-2.66107      	406.522      
  10.05      	709.179      	22155.8      	13232.2      	17756.4      	17757.3      	14.6361      	-1.30834      	-2.68398      	406.727      
   10.1      	 726.38      	22391.2      	13172.5      	18092.9      	18093.5      	14.5859      	-1.32193      	-2.70689      	406.815      
  10.15      	743.606      	22637.3      	13136.5      	18422.4      	18422.6      	14.5347      	-1.33397      	-2.72965      	406.833      
   10.2      	760.992      	22898.7      	13127.8      	18748.8      	18748.7      	14.4824      	-1.34427      	-2.75241      	406.837      
  10.25      	778.658      	23170.6      	13137.1      	19073.6      	19073.2      	14.4289      	-1.35206      	-2.77541      	406.927      
   10.3      	796.537      	23450.7      	13163.3      	19395.1      	19394.4      	14.3744      	-1.3567      	-2.79869      	407.114      
  10.35      	 814.43      	23741.1      	13215.2      	19710.4      	19709.4      	14.3182      	-1.35805      	-2.82213      	407.402      
   10.4      	831.843      	24038.1      	13295.3      	20014.1      	20012.9      	14.2601      	-1.35595      	-2.84565      	407.711      
