# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:05      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	15490.4 [104.1s]      	1.95984e+07 [175.25s]      	19598.4 [175.25s]      	-1093.12 [103.2s]      	7.53962 [194.05s]      	7.53962 [194.05s]      	402.871 [100.05s]      	      0 [100.05s]      
    Max      	15574.5 [422.85s]      	1.9624e+07 [100.05s]      	  19624 [100.05s]      	822.905 [268.25s]      	 7.5793 [198s]      	 7.5793 [198s]      	2991.26 [700.05s]      	      0 [100.05s]      
   Mean      	15530.3      	1.96168e+07      	19616.8      	175.125      	7.56002      	7.56002      	1697.07      	      0      
Standard deviation      	17.6152      	8733.28      	8.73328      	421.783      	0.00865246      	0.00865246      	747.295      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	13756.6      	1.87665e+07      	18766.5      	-18766.5      	      7      	      7      	0.191064      	      0      
   0.05      	13756.6      	1.87665e+07      	18766.5      	-18766.9      	      7      	      7      	0.191064      	      0      
    0.1      	13588.6      	1.85415e+07      	18541.5      	-18544.9      	6.99844      	6.99844      	0.379794      	      0      
   0.15      	13588.8      	1.85415e+07      	18541.5      	-18552.6      	6.99852      	6.99852      	0.568527      	      0      
    0.2      	  13559      	1.85414e+07      	18541.4      	-18567.3      	6.98322      	6.98322      	0.756846      	      0      
   0.25      	13552.4      	1.85412e+07      	18541.2      	-18590.5      	6.97992      	6.97992      	0.945074      	      0      
    0.3      	13541.6      	1.85407e+07      	18540.7      	-18624.2      	6.97456      	6.97456      	1.13315      	      0      
   0.35      	13537.2      	1.85399e+07      	18539.9      	-18669.1      	6.97258      	6.97258      	1.32117      	      0      
    0.4      	13544.4      	1.85388e+07      	18538.8      	-18727.1      	6.97672      	6.97672      	1.50929      	      0      
   0.45      	13535.9      	1.85375e+07      	18537.5      	-18799.1      	6.97281      	6.97281      	1.69728      	      0      
    0.5      	13552.2      	1.85359e+07      	18535.9      	-18884.6      	 6.9818      	 6.9818      	1.88551      	      0      
   0.55      	13708.4      	1.87609e+07      	18760.9      	-19213.4      	6.97757      	6.97757      	 2.0759      	      0      
    0.6      	  13868      	1.89859e+07      	18985.9      	 -19555      	6.97513      	6.97513      	2.26852      	      0      
   0.65      	  14038      	1.92109e+07      	19210.9      	-19913.6      	6.97796      	6.97796      	2.46349      	      0      
    0.7      	14203.9      	1.94359e+07      	19435.9      	-20285.4      	6.97867      	6.97867      	2.66076      	      0      
   0.75      	  14358      	1.9624e+07      	  19624      	-20633.7      	6.98676      	6.98676      	2.86018      	      0      
    0.8      	14349.3      	1.9624e+07      	  19624      	 -20809      	6.98255      	6.98255      	3.05948      	      0      
   0.85      	14345.4      	1.9624e+07      	  19624      	-20990.2      	6.98062      	6.98062      	3.25872      	      0      
    0.9      	14346.8      	1.9624e+07      	  19624      	-21183.1      	6.98134      	6.98134      	3.45798      	      0      
   0.95      	  14343      	1.9624e+07      	  19624      	-21375.7      	6.97945      	6.97945      	3.65719      	      0      
      1      	14343.5      	1.9624e+07      	  19624      	-21571.2      	6.97971      	6.97971      	 3.8564      	      0      
   1.05      	14320.7      	1.9624e+07      	  19624      	-21771.5      	6.96862      	6.96862      	 4.0553      	      0      
    1.1      	14326.8      	1.9624e+07      	  19624      	-21970.8      	6.97161      	6.97161      	4.25428      	      0      
   1.15      	14316.4      	1.9624e+07      	  19624      	-22184.8      	6.96651      	6.96651      	4.45312      	      0      
    1.2      	14321.2      	1.9624e+07      	  19624      	-22396.3      	6.96887      	6.96887      	4.65203      	      0      
   1.25      	14320.4      	1.9624e+07      	  19624      	-22619.3      	6.96847      	6.96847      	4.85092      	      0      
    1.3      	  14306      	1.9624e+07      	  19624      	-22850.4      	6.96147      	6.96147      	5.04962      	      0      
