# Sensor: Sensor Rotor      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:03      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	     11      	     12      	     13      	     14      	     15      	     16      	     17      	     18      	     19      	     20      	      
Time [s]      	Power (aero)      [    k W      ]      	Torque (aero)      [   k Nm      ]      	Thrust (aero)      [    k N      ]      	    RPM      [    rpm      ]      	    TSR      [             ]      	Demanded collective pitch angle      [      °      ]      	Power coef. (CP)      [      %      ]      	Thrust coef. (CT)      [      %      ]      	Tip speed      [    m/s      ]      	1P (one revolution)      [      s      ]      	nP (blade passing)      [      s      ]      	Azimuth angle      [      °      ]      	Rotation per timestep      [      °      ]      	Wind speed at hub, magnitude      [    m/s      ]      	Wind speed at hub     .x      [    m/s      ]      	Wind speed at hub     .y      [    m/s      ]      	Wind speed at hub     .z      [    m/s      ]      	Wind angle at hub      [      °      ]      	Yaw angle      [      °      ]      
   0.35      	-94.4312      	-129.252      	-2.95157      	6.97672      	4.90552      	29.3001      	-0.0576085      	-0.0324113      	88.2993      	8.60003      	2.86668      	12.5763      	2.09302      	     18      	      0      	    -18      	      0      	      0      	      0      
    0.4      	-137.523      	-188.338      	-4.57539      	6.97281      	4.90277      	29.2002      	-0.0838967      	-0.0502425      	88.2499      	8.60485      	2.86828      	14.6687      	2.09184      	     18      	      0      	    -18      	      0      	      0      	      0      
   0.45      	-191.281      	-261.623      	-6.6765      	 6.9818      	4.90909      	29.1002      	-0.116692      	-0.0733149      	88.3637      	8.59377      	2.86459      	16.7611      	2.09454      	     18      	      0      	    -18      	      0      	      0      	      0      
    0.5      	-254.79      	-348.698      	-9.28697      	6.97757      	4.90612      	29.0002      	-0.155437      	-0.101981      	88.3101      	8.59898      	2.86633      	18.8543      	2.09327      	     18      	      0      	    -18      	      0      	      0      	      0      
   0.55      	-330.461      	-452.417      	-12.3465      	6.97513      	 4.9044      	28.9002      	-0.2016      	-0.135577      	88.2793      	8.60199      	2.86733      	20.9482      	2.09254      	     18      	      0      	    -18      	      0      	      0      	      0      
    0.6      	-415.848      	-569.085      	-15.9964      	6.97796      	 4.9064      	28.8002      	-0.253691      	-0.175658      	88.3151      	 8.5985      	2.86617      	23.0411      	2.09339      	     18      	      0      	    -18      	      0      	      0      	      0      
   0.65      	-513.479      	-702.622      	-19.9926      	6.97867      	4.90689      	28.7002      	-0.313252      	-0.21954      	 88.324      	8.59763      	2.86588      	25.1341      	 2.0936      	     18      	      0      	    -18      	      0      	      0      	      0      
    0.7      	-621.479      	-849.419      	-24.5103      	6.98676      	4.91258      	28.6003      	-0.379138      	-0.269149      	88.4265      	8.58767      	2.86256      	27.2276      	2.09603      	     18      	      0      	    -18      	      0      	      0      	      0      
   0.75      	-738.252      	-1009.63      	-29.3595      	6.98255      	4.90962      	28.5003      	-0.450377      	-0.322398      	88.3731      	8.59285      	2.86428      	29.3224      	2.09476      	     18      	      0      	    -18      	      0      	      0      	      0      
    0.8      	-866.22      	-1184.96      	-34.4835      	6.98062      	4.90826      	28.4003      	-0.528444      	-0.378665      	88.3487      	8.59522      	2.86507      	31.4178      	2.09419      	     18      	      0      	    -18      	      0      	      0      	      0      
   0.85      	-998.783      	-1366.17      	-39.9991      	6.98134      	4.90877      	28.3003      	-0.609315      	-0.439231      	88.3578      	8.59434      	2.86478      	33.5123      	 2.0944      	     18      	      0      	    -18      	      0      	      0      	      0      
    0.9      	-1139.49      	-1559.05      	-45.4189      	6.97945      	4.90744      	28.2003      	-0.695155      	-0.498747      	 88.334      	8.59666      	2.86555      	35.6065      	2.09384      	     18      	      0      	    -18      	      0      	      0      	      0      
   0.95      	-1280.33      	-1751.68      	-51.0705      	6.97971      	4.90762      	28.1004      	-0.781073      	-0.560808      	88.3372      	8.59634      	2.86545      	37.7007      	2.09391      	     18      	      0      	    -18      	      0      	      0      	      0      
      1      	-1420.91      	-1947.12      	-56.4188      	6.96862      	4.89982      	28.0004      	-0.866839      	-0.619537      	88.1968      	8.61003      	2.87001      	39.7945      	2.09058      	     18      	      0      	    -18      	      0      	      0      	      0      
   1.05      	-1567.75      	-2147.41      	-61.654      	6.97161      	4.90193      	27.9004      	-0.95642      	-0.677025      	88.2347      	8.60633      	2.86878      	41.8868      	2.09148      	     18      	      0      	    -18      	      0      	      0      	      0      
    1.1      	-1712.05      	-2346.78      	-66.9995      	6.96651      	4.89834      	27.8004      	-1.04445      	-0.735724      	88.1701      	8.61263      	2.87088      	43.9778      	2.08995      	     18      	      0      	    -18      	      0      	      0      	      0      
   1.15      	-1868.8      	-2560.78      	-72.1876      	6.96887      	    4.9      	27.7004      	-1.14008      	-0.792695      	   88.2      	8.60972      	2.86991      	46.0685      	2.09066      	     18      	      0      	    -18      	      0      	      0      	      0      
    1.2      	-2023.03      	-2772.28      	-77.9829      	6.96847      	4.89972      	27.6005      	-1.23417      	-0.856334      	88.1949      	8.61022      	2.87007      	48.1588      	2.09054      	     18      	      0      	    -18      	      0      	      0      	      0      
   1.25      	-2183.56      	-2995.27      	-83.626      	6.96147      	 4.8948      	27.5005      	-1.3321      	-0.918301      	88.1064      	8.61886      	2.87295      	50.2494      	2.08844      	     18      	      0      	    -18      	      0      	      0      	      0      
    1.3      	-2350.75      	-3226.37      	-89.7557      	6.95767      	4.89212      	27.4005      	-1.43409      	-0.985612      	88.0582      	8.62358      	2.87453      	52.3389      	 2.0873      	     18      	      0      	    -18      	      0      	      0      	      0      
   1.35      	-2517.75      	-3462.81      	-96.3075      	6.94315      	4.88192      	27.3005      	-1.53598      	-1.05756      	87.8745      	8.64161      	2.88054      	54.4268      	2.08294      	     18      	      0      	    -18      	      0      	      0      	      0      
    1.4      	-2696.47      	  -3717      	-103.165      	6.92746      	4.87089      	27.2005      	 -1.645      	-1.13286      	 87.676      	8.66118      	2.88706      	56.5119      	2.07824      	     18      	      0      	    -18      	      0      	      0      	      0      
   1.45      	-2871.6      	-3964.75      	-110.903      	 6.9164      	4.86311      	27.1005      	-1.75184      	-1.21783      	 87.536      	8.67503      	2.89168      	58.5925      	2.07492      	     18      	      0      	    -18      	      0      	      0      	      0      
    1.5      	-3049.56      	-4218.32      	-118.423      	6.90348      	4.85403      	27.0006      	-1.86041      	-1.30041      	87.3725      	8.69126      	2.89709      	60.6691      	2.07105      	     18      	      0      	    -18      	      0      	      0      	      0      
   1.55      	-3221.46      	-4460.26      	-126.247      	6.89706      	4.84951      	26.9006      	-1.96528      	-1.38632      	87.2912      	8.69936      	2.89979      	62.7421      	2.06912      	     18      	      0      	    -18      	      0      	      0      	      0      
    1.6      	-3380.64      	-4693.81      	-133.697      	6.87773      	4.83592      	26.8006      	-2.06239      	-1.46814      	87.0465      	8.72381      	2.90794      	64.8121      	2.06332      	     18      	      0      	    -18      	      0      	      0      	      0      
   1.65      	-3544.07      	-4933.58      	-140.916      	 6.8598      	4.82331      	26.7006      	-2.16209      	-1.5474      	86.8196      	8.74661      	2.91554      	66.8783      	2.05794      	     18      	      0      	    -18      	      0      	      0      	      0      
    1.7      	-3691.65      	  -5154      	-148.691      	6.83986      	4.80929      	26.6006      	-2.25212      	-1.63278      	86.5673      	8.77211      	2.92404      	 68.939      	2.05196      	     18      	      0      	    -18      	      0      	      0      	      0      
   1.75      	-3838.36      	-5373.74      	-155.855      	6.82088      	4.79595      	26.5007      	-2.34162      	-1.71145      	 86.327      	8.79652      	2.93217      	70.9939      	2.04626      	     18      	      0      	    -18      	      0      	      0      	      0      
    1.8      	-3963.22      	-5560.38      	-163.293      	6.80635      	4.78573      	26.4007      	-2.41779      	-1.79313      	86.1431      	 8.8153      	2.93843      	 73.043      	2.04191      	     18      	      0      	    -18      	      0      	      0      	      0      
   1.85      	-4069.12      	-5724.43      	-169.345      	6.78797      	 4.7728      	26.3007      	-2.4824      	-1.85959      	85.9105      	8.83917      	2.94639      	75.0871      	2.03639      	     18      	      0      	    -18      	      0      	      0      	      0      
    1.9      	-4160.62      	-5864.71      	-174.285      	6.77459      	 4.7634      	26.2007      	-2.53822      	-1.91383      	85.7411      	8.85663      	2.95221      	77.1262      	2.03238      	     18      	      0      	    -18      	      0      	      0      	      0      
   1.95      	-4219.77      	-5963.87      	-178.098      	6.75667      	 4.7508      	26.1007      	-2.57431      	-1.95571      	85.5144      	8.88011      	2.96004      	79.1606      	  2.027      	     18      	      0      	    -18      	      0      	      0      	      0      
      2      	-4260.24      	-6039.2      	-179.944      	6.73637      	4.73652      	26.0008      	-2.59899      	-1.97598      	85.2574      	8.90687      	2.96896      	81.1903      	2.02091      	     18      	      0      	    -18      	      0      	      0      	      0      
   2.05      	-4259.07      	-6054.55      	-180.656      	6.71746      	4.72323      	25.9008      	-2.59828      	-1.98379      	85.0181      	8.93195      	2.97732      	83.2143      	2.01524      	     18      	      0      	    -18      	      0      	      0      	      0      
    2.1      	-4219.13      	-6017.7      	-178.564      	 6.6952      	4.70758      	25.8008      	-2.57391      	-1.96081      	84.7364      	8.96164      	2.98721      	85.2323      	2.00856      	     18      	      0      	    -18      	      0      	      0      	      0      
   2.15      	-4147.4      	-5928.4      	-174.085      	6.68051      	4.69725      	25.7008      	-2.53015      	-1.91163      	84.5505      	8.98135      	2.99378      	87.2442      	2.00415      	     18      	      0      	    -18      	      0      	      0      	      0      
    2.2      	-4033.4      	-5782.24      	-167.438      	 6.6611      	 4.6836      	25.6008      	-2.46061      	-1.83865      	84.3049      	9.00752      	3.00251      	89.2506      	1.99833      	     18      	      0      	    -18      	      0      	      0      	      0      
   2.25      	-3907.26      	-5616.61      	-158.476      	6.64308      	4.67093      	25.5008      	-2.38366      	-1.74023      	84.0767      	9.03195      	3.01065      	91.2518      	1.99292      	     18      	      0      	    -18      	      0      	      0      	      0      
    2.3      	  -3739      	-5390.08      	-148.921      	6.62417      	4.65763      	25.4009      	 -2.281      	-1.63531      	83.8374      	9.05774      	3.01925      	93.2474      	1.98725      	     18      	      0      	    -18      	      0      	      0      	      0      
   2.35      	-3555.51      	-5140.4      	-136.862      	6.60506      	 4.6442      	25.3009      	-2.16907      	-1.50288      	83.5955      	9.08395      	3.02798      	95.2375      	1.98152      	     18      	      0      	    -18      	      0      	      0      	      0      
    2.4      	-3340.34      	-4844.36      	-124.047      	6.58456      	4.62978      	25.2009      	-2.0378      	-1.36217      	83.3361      	9.11223      	3.03741      	97.2219      	1.97537      	     18      	      0      	    -18      	      0      	      0      	      0      
   2.45      	-3103.37      	-4517.32      	-109.582      	6.56031      	4.61273      	25.1009      	-1.89324      	-1.20332      	83.0291      	9.14591      	3.04864      	99.2003      	1.96809      	     18      	      0      	    -18      	      0      	      0      	      0      
    2.5      	-2867.58      	-4190.01      	-94.1067      	6.53541      	4.59522      	25.0009      	-1.74939      	-1.03339      	 82.714      	9.18076      	3.06025      	101.172      	1.96062      	     18      	      0      	    -18      	      0      	      0      	      0      
   2.55      	-2623.67      	-3845.71      	-79.0209      	6.51485      	4.58076      	 24.901      	-1.60059      	-0.867732      	82.4538      	9.20973      	3.06991      	103.136      	1.95445      	     18      	      0      	    -18      	      0      	      0      	      0      
    2.6      	-2391.99      	-3517.97      	-63.5828      	6.49291      	4.56534      	 24.801      	-1.45925      	-0.698206      	82.1761      	9.24085      	3.08028      	105.094      	1.94787      	     18      	      0      	    -18      	      0      	      0      	      0      
   2.65      	-2153.04      	-3175.09      	-49.2414      	6.47541      	4.55304      	 24.701      	-1.31348      	-0.540722      	81.9546      	9.26582      	3.08861      	107.045      	1.94262      	     18      	      0      	    -18      	      0      	      0      	      0      
    2.7      	-1907.74      	-2823.16      	-34.5891      	 6.4529      	4.53721      	 24.601      	-1.16383      	-0.379824      	81.6697      	9.29815      	3.09938      	 108.99      	1.93587      	     18      	      0      	    -18      	      0      	      0      	      0      
   2.75      	-1668.64      	-2476.68      	-19.7896      	6.43374      	4.52373      	 24.501      	-1.01797      	-0.21731      	81.4272      	9.32584      	3.10861      	 110.93      	1.93012      	     18      	      0      	    -18      	      0      	      0      	      0      
    2.8      	-1414.29      	-2107.05      	-5.52234      	6.40968      	4.50682      	24.4011      	-0.862801      	-0.060641      	81.1227      	9.36084      	3.12028      	112.863      	 1.9229      	     18      	      0      	    -18      	      0      	      0      	      0      
   2.85      	-1172.09      	-1752.26      	9.32239      	6.38757      	4.49128      	24.3011      	-0.715045      	0.10237      	 80.843      	9.39324      	3.13108      	114.789      	1.91627      	     18      	      0      	    -18      	      0      	      0      	      0      
    2.9      	-909.478      	-1364.54      	23.3008      	6.36469      	4.47518      	24.2011      	-0.554834      	0.255868      	80.5533      	9.42701      	3.14234      	116.709      	1.90941      	     18      	      0      	    -18      	      0      	      0      	      0      
   2.95      	-644.672      	-970.233      	38.4381      	6.34504      	4.46137      	24.1011      	-0.393287      	0.42209      	80.3046      	9.45621      	3.15207      	118.621      	1.90351      	     18      	      0      	    -18      	      0      	      0      	      0      
      3      	-371.051      	-560.094      	 53.747      	6.32621      	4.44813      	24.0011      	-0.226362      	0.590198      	80.0663      	9.48436      	3.16145      	120.528      	1.89786      	     18      	      0      	    -18      	      0      	      0      	      0      
   3.05      	-86.976      	-131.696      	69.4977      	6.30665      	4.43438      	23.9012      	-0.0530604      	0.763157      	79.8188      	9.51377      	3.17126      	122.429      	1.89199      	     18      	      0      	    -18      	      0      	      0      	      0      
    3.1      	191.896      	291.644      	85.7983      	6.28323      	4.41791      	23.8012      	0.117067      	0.942155      	79.5223      	9.54923      	3.18308      	124.323      	1.88497      	     18      	      0      	    -18      	      0      	      0      	      0      
   3.15      	492.078      	750.477      	101.777      	6.26135      	4.40253      	23.7012      	0.300196      	1.11762      	79.2455      	9.58259      	 3.1942      	126.212      	1.87841      	     18      	      0      	    -18      	      0      	      0      	      0      
    3.2      	797.679      	1221.25      	118.992      	6.23726      	4.38558      	23.6012      	0.48663      	1.30665      	78.9405      	9.61961      	3.20654      	128.094      	1.87118      	     18      	      0      	    -18      	      0      	      0      	      0      
   3.25      	1120.05      	1720.47      	136.499      	6.21673      	4.37115      	23.5012      	0.683297      	1.49891      	78.6808      	9.65137      	3.21712      	129.968      	1.86502      	     18      	      0      	    -18      	      0      	      0      	      0      
    3.3      	1452.68      	2239.74      	154.939      	 6.1936      	4.35489      	23.4012      	0.886218      	 1.7014      	 78.388      	9.68742      	3.22914      	131.836      	1.85808      	     18      	      0      	    -18      	      0      	      0      	      0      
   3.35      	1780.92      	2754.06      	174.056      	6.17506      	4.34185      	23.3013      	1.08646      	1.91131      	78.1534      	 9.7165      	3.23883      	133.698      	1.85252      	     18      	      0      	    -18      	      0      	      0      	      0      
    3.4      	2118.96      	3287.08      	192.911      	6.15578      	 4.3283      	23.2013      	1.29269      	2.11837      	77.9094      	9.74693      	3.24898      	135.553      	1.84674      	     18      	      0      	    -18      	      0      	      0      	      0      
   3.45      	2450.46      	3812.26      	212.394      	6.13813      	4.31589      	23.1013      	1.49492      	 2.3323      	 77.686      	9.77496      	3.25832      	137.403      	1.84144      	     18      	      0      	    -18      	      0      	      0      	      0      
    3.5      	2793.56      	4360.29      	231.538      	6.11806      	4.30178      	23.0013      	1.70423      	2.54253      	 77.432      	9.80703      	3.26901      	139.247      	1.83542      	     18      	      0      	    -18      	      0      	      0      	      0      
   3.55      	3137.68      	4912.73      	 251.56      	6.09897      	4.28835      	22.9013      	1.91417      	 2.7624      	77.1904      	9.83772      	3.27924      	141.085      	1.82969      	     18      	      0      	    -18      	      0      	      0      	      0      
    3.6      	3475.91      	5459.04      	271.756      	6.08027      	 4.2752      	22.8014      	 2.1205      	2.98416      	76.9536      	9.86799      	3.28933      	142.918      	1.82408      	     18      	      0      	    -18      	      0      	      0      	      0      
   3.65      	3809.26      	5998.93      	291.656      	6.06371      	4.26356      	22.7014      	2.32387      	3.20268      	 76.744      	9.89494      	3.29831      	144.745      	1.81911      	     18      	      0      	    -18      	      0      	      0      	      0      
    3.7      	4124.45      	6512.41      	311.245      	6.04778      	4.25236      	22.6014      	2.51615      	 3.4178      	76.5425      	9.92099      	  3.307      	146.566      	1.81433      	     18      	      0      	    -18      	      0      	      0      	      0      
   3.75      	4434.95      	7018.65      	329.969      	6.03402      	4.24268      	22.5014      	2.70558      	3.62341      	76.3683      	9.94361      	3.31454      	148.383      	1.81021      	     18      	      0      	    -18      	      0      	      0      	      0      
    3.8      	4740.65      	7521.12      	348.465      	6.01903      	4.23214      	22.4014      	2.89207      	 3.8265      	76.1786      	9.96838      	3.32279      	150.195      	1.80571      	     18      	      0      	    -18      	      0      	      0      	      0      
   3.85      	5048.64      	 8027.9      	366.761      	6.00542      	4.22258      	22.3015      	3.07996      	4.02741      	76.0064      	9.99097      	3.33032      	152.003      	1.80163      	     18      	      0      	    -18      	      0      	      0      	      0      
    3.9      	5351.33      	8533.48      	 385.08      	5.98835      	4.21057      	22.2015      	3.26462      	4.22858      	75.7903      	10.0195      	3.33982      	153.807      	1.79651      	     18      	      0      	    -18      	      0      	      0      	      0      
   3.95      	5641.93      	9019.95      	 403.27      	5.97303      	 4.1998      	22.1015      	 3.4419      	4.42832      	75.5964      	10.0452      	3.34838      	155.606      	1.79191      	     18      	      0      	    -18      	      0      	      0      	      0      
      4      	   5927      	9500.54      	420.792      	5.95742      	4.18882      	22.0015      	3.61581      	4.62073      	75.3988      	10.0715      	3.35716      	  157.4      	1.78723      	     18      	      0      	    -18      	      0      	      0      	      0      
   4.05      	6196.64      	9954.55      	438.069      	5.94438      	4.17965      	21.9015      	3.78031      	4.81046      	75.2337      	10.0936      	3.36453      	 159.19      	1.78331      	     18      	      0      	    -18      	      0      	      0      	      0      
    4.1      	6453.66      	10389.8      	454.357      	5.93158      	4.17066      	21.8015      	3.93711      	4.98931      	75.0718      	10.1153      	3.37178      	160.975      	1.77947      	     18      	      0      	    -18      	      0      	      0      	      0      
   4.15      	6694.46      	10799.2      	    470      	5.91962      	4.16224      	21.7016      	4.08401      	5.16109      	74.9204      	10.1358      	 3.3786      	162.756      	1.77589      	     18      	      0      	    -18      	      0      	      0      	      0      
    4.2      	 6918.2      	  11183      	484.805      	5.90754      	4.15375      	21.6016      	 4.2205      	5.32367      	74.7675      	10.1565      	 3.3855      	164.534      	1.77226      	     18      	      0      	    -18      	      0      	      0      	      0      
   4.25      	7129.59      	11548.1      	 498.75      	5.89557      	4.14533      	21.5016      	4.34947      	 5.4768      	 74.616      	10.1771      	3.39238      	166.308      	1.76867      	     18      	      0      	    -18      	      0      	      0      	      0      
    4.3      	7325.18      	11890.6      	512.027      	5.88282      	4.13637      	21.4016      	4.46879      	 5.6226      	74.4546      	10.1992      	3.39973      	168.079      	1.76485      	     18      	      0      	    -18      	      0      	      0      	      0      
   4.35      	7513.04      	  12219      	524.522      	5.87153      	4.12843      	21.3016      	4.58339      	 5.7598      	74.3118      	10.2188      	3.40626      	169.845      	1.76146      	     18      	      0      	    -18      	      0      	      0      	      0      
    4.4      	7690.05      	12530.1      	536.527      	5.86066      	4.12079      	21.2017      	4.69138      	5.89163      	74.1742      	10.2378      	3.41259      	171.609      	 1.7582      	     18      	      0      	    -18      	      0      	      0      	      0      
   4.45      	 7864.2      	12831.1      	547.912      	 5.8528      	4.11526      	21.1017      	4.79762      	6.01665      	74.0747      	10.2515      	3.41717      	173.368      	1.75584      	     18      	      0      	    -18      	      0      	      0      	      0      
    4.5      	8043.01      	13142.1      	558.854      	5.84419      	 4.1092      	21.0017      	 4.9067      	 6.1368      	73.9657      	10.2666      	3.42221      	175.125      	1.75326      	     18      	      0      	    -18      	      0      	      0      	      0      
   4.55      	8240.71      	13481.4      	570.064      	5.83714      	4.10425      	20.9017      	5.02731      	 6.2599      	73.8765      	 10.279      	3.42634      	 176.88      	1.75114      	     18      	      0      	    -18      	      0      	      0      	      0      
    4.6      	 8467.3      	13871.8      	582.172      	5.82885      	4.09842      	20.8017      	5.16554      	6.39286      	73.7716      	10.2936      	3.43121      	178.632      	1.74865      	     18      	      0      	    -18      	      0      	      0      	      0      
   4.65      	8721.69      	  14308      	595.885      	5.82093      	4.09286      	20.7018      	5.32074      	6.54344      	73.6714      	10.3076      	3.43587      	180.382      	1.74628      	     18      	      0      	    -18      	      0      	      0      	      0      
    4.7      	9001.93      	14788.5      	610.934      	5.81276      	4.08711      	20.6018      	 5.4917      	6.70869      	73.5679      	10.3221      	3.44071      	182.129      	1.74383      	     18      	      0      	    -18      	      0      	      0      	      0      
   4.75      	9295.39      	15289.9      	 627.19      	5.80541      	4.08194      	20.5018      	5.67073      	6.88721      	 73.475      	10.3352      	3.44506      	183.875      	1.74162      	     18      	      0      	    -18      	      0      	      0      	      0      
    4.8      	9583.03      	15779.3      	  643.9      	5.79944      	4.07774      	20.4018      	5.84621      	7.07069      	73.3994      	10.3458      	3.44861      	185.617      	1.73983      	     18      	      0      	    -18      	      0      	      0      	      0      
   4.85      	 9852.4      	16234.9      	660.054      	5.79512      	4.07471      	20.3018      	6.01053      	7.24809      	73.3447      	10.3535      	3.45118      	187.358      	1.73854      	     18      	      0      	    -18      	      0      	      0      	      0      
    4.9      	  10092      	16643.4      	675.032      	5.79037      	4.07137      	20.2018      	6.15671      	7.41255      	73.2846      	 10.362      	3.45401      	189.097      	1.73711      	     18      	      0      	    -18      	      0      	      0      	      0      
   4.95      	10306.5      	17009.3      	688.546      	5.78622      	4.06845      	20.1019      	6.28757      	7.56095      	73.2321      	10.3695      	3.45649      	190.835      	1.73587      	     18      	      0      	    -18      	      0      	      0      	      0      
      5      	10501.2      	  17346      	700.842      	 5.7811      	4.06485      	20.0019      	6.40633      	7.69598      	73.1673      	10.3786      	3.45955      	192.572      	1.73433      	     18      	      0      	    -18      	      0      	      0      	      0      
   5.05      	10685.3      	17662.3      	 712.38      	5.77709      	4.06203      	19.9019      	6.51863      	7.82268      	73.1166      	10.3858      	3.46195      	194.307      	1.73313      	     18      	      0      	    -18      	      0      	      0      	      0      
    5.1      	10864.7      	17972.8      	723.418      	5.77265      	 4.0589      	19.8019      	6.62812      	7.94389      	73.0603      	10.3938      	3.46462      	 196.04      	1.73179      	     18      	      0      	    -18      	      0      	      0      	      0      
   5.15      	11046.6      	18282.1      	734.386      	5.76997      	4.05702      	19.7019      	6.73907      	8.06432      	73.0264      	10.3987      	3.46622      	197.773      	1.73099      	     18      	      0      	    -18      	      0      	      0      	      0      
    5.2      	11234.5      	18598.9      	745.439      	5.76816      	4.05575      	 19.602      	6.85367      	 8.1857      	73.0035      	10.4019      	3.46731      	199.504      	1.73045      	     18      	      0      	    -18      	      0      	      0      	      0      
   5.25      	11426.4      	18918.2      	756.857      	5.76767      	 4.0554      	 19.502      	6.97075      	8.31108      	72.9972      	10.4028      	3.46761      	201.235      	 1.7303      	     18      	      0      	    -18      	      0      	      0      	      0      
    5.3      	11621.9      	19243.5      	768.471      	5.76719      	4.05506      	 19.402      	7.09003      	8.43862      	72.9912      	10.4037      	 3.4679      	202.965      	1.73016      	     18      	      0      	    -18      	      0      	      0      	      0      
   5.35      	11820.3      	19574.5      	 780.38      	5.76645      	4.05454      	 19.302      	7.21105      	8.56938      	72.9818      	 10.405      	3.46834      	204.696      	1.72993      	     18      	      0      	    -18      	      0      	      0      	      0      
