# Sensor: Sensor Node loads [Node TW_1 | Tubular tower]      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:15      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      
Time [s]      	Gravity load - material (1129) (mag.)      [    k N      ]      	Gravity load - material (1129) (sign)      [    k N      ]      	Gravity load - material (1129)     .x      [    k N      ]      	Gravity load - material (1129)     .y      [    k N      ]      	Gravity load - material (1129)     .z      [    k N      ]      
----------	----------	----------	----------	----------	----------      
    Min      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
    Max      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
   3.75      	1.39915      	-1.39915      	      0      	      0      	-1.39915      
    3.8      	1.41519      	-1.41519      	      0      	      0      	-1.41519      
   3.85      	1.43035      	-1.43035      	      0      	      0      	-1.43035      
    3.9      	1.44462      	-1.44462      	      0      	      0      	-1.44462      
   3.95      	1.45798      	-1.45798      	      0      	      0      	-1.45798      
      4      	1.47044      	-1.47044      	      0      	      0      	-1.47044      
   4.05      	1.48201      	-1.48201      	      0      	      0      	-1.48201      
    4.1      	1.49268      	-1.49268      	      0      	      0      	-1.49268      
   4.15      	1.50246      	-1.50246      	      0      	      0      	-1.50246      
    4.2      	1.51137      	-1.51137      	      0      	      0      	-1.51137      
   4.25      	1.51943      	-1.51943      	      0      	      0      	-1.51943      
    4.3      	1.52665      	-1.52665      	      0      	      0      	-1.52665      
   4.35      	1.53306      	-1.53306      	      0      	      0      	-1.53306      
    4.4      	1.53868      	-1.53868      	      0      	      0      	-1.53868      
   4.45      	1.54355      	-1.54355      	      0      	      0      	-1.54355      
