# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:03      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	751.884 [506.45s]      	21326.6 [336.3s]      	20175.4 [111.3s]      	-10160.3 [115.95s]      	-10128.6 [115.95s]      	 15.601 [147.55s]      	-0.460247 [111.5s]      	-2.25276 [341.55s]      	498.466 [425.35s]      
    Max      	1928.85 [431.1s]      	30788.6 [413.3s]      	24989.2 [107.05s]      	22122.2 [318s]      	22129.6 [318s]      	15.6262 [127.5s]      	-0.0737225 [123.9s]      	0.437834 [449.5s]      	 664.83 [437.35s]      
   Mean      	1405.83      	26090.7      	22604.5      	5991.64      	6010.88      	15.6137      	-0.262457      	-0.886466      	572.137      
Standard deviation      	404.018      	2580.44      	1332.69      	11723.8      	11714.9      	0.00784316      	0.0871723      	0.967859      	 51.924      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	5.21675e-10      	9.15795e-10      	8.55531e-10      	3.24012e-10      	3.2454e-10      	   29.9      	-3.43028      	0.115043      	1.91899e-11      
   0.05      	 1870.4      	 53.601      	9.53066      	 52.689      	52.7451      	   29.9      	-3.42033      	0.114197      	2.43423      
    0.1      	677.551      	 88.355      	78.5698      	-40.1567      	-39.9871      	   29.8      	-3.3886      	0.107619      	3.01162      
   0.15      	945.446      	209.039      	208.362      	-12.9912      	-12.737      	29.7001      	-3.33679      	0.0907343      	5.54536      
    0.2      	1569.76      	451.604      	451.055      	 6.0415      	6.40514      	29.6001      	-3.26335      	0.0669727      	8.46854      
   0.25      	324.045      	1054.02      	1052.86      	-15.8145      	-15.3944      	29.5001      	-3.17156      	0.0411615      	9.28706      
    0.3      	1765.01      	1434.78      	1432.33      	54.0691      	54.6136      	29.4001      	-3.07687      	0.0185562      	13.6649      
   0.35      	559.024      	1857.14      	1855.34      	 2.2561      	2.74696      	29.3001      	-2.98865      	-0.00238359      	11.3033      
    0.4      	1203.45      	2515.44      	2512.14      	65.1726      	65.8971      	29.2002      	-2.90767      	-0.0267131      	18.0327      
   0.45      	1252.26      	2930.53      	2926.59      	80.4152      	81.0715      	29.1002      	-2.82388      	-0.049783      	16.8028      
    0.5      	584.758      	3717.14      	3713.15      	55.0538      	55.7818      	29.0002      	-2.73657      	-0.0693409      	17.8912      
   0.55      	1623.66      	4238.65      	   4232      	147.212      	148.044      	28.9002      	-2.65828      	-0.088321      	22.2981      
    0.6      	 533.55      	4655.87      	4649.93      	117.529      	118.128      	28.8002      	-2.59658      	-0.103312      	16.3015      
   0.65      	1358.69      	4947.37      	4937.48      	224.867      	225.808      	28.7002      	-2.55671      	-0.108182      	26.4923      
    0.7      	1003.74      	4716.02      	4706.78      	210.649      	211.361      	28.6003      	-2.53731      	-0.104779      	20.9215      
   0.75      	822.766      	4846.96      	4835.66      	253.356      	254.227      	28.5003      	-2.53769      	-0.100271      	25.4967      
    0.8      	1436.85      	4764.47      	4745.29      	372.536      	373.332      	28.4003      	-2.56011      	-0.0988852      	26.3806      
   0.85      	584.768      	4665.44      	4640.42      	437.508      	437.952      	28.3003      	-2.60701      	-0.0973118      	19.7298      
    0.9      	1410.71      	4491.77      	 4447.2      	 600.09      	600.586      	28.2003      	-2.68305      	-0.089158      	24.4811      
   0.95      	816.851      	3955.72      	3898.19      	650.109      	650.128      	28.1004      	-2.7895      	-0.0733937      	 14.626      
      1      	1032.07      	3558.18      	3465.31      	793.183      	793.152      	28.0004      	-2.92368      	-0.053521      	16.6028      
   1.05      	1192.85      	2794.12      	   2629      	939.223      	938.865      	27.9004      	-3.07158      	-0.0328096      	12.2975      
    1.1      	730.298      	2220.61      	1950.05      	1058.84      	1058.07      	27.8004      	-3.22186      	-0.0138642      	5.37329      
