# Sensor: Sensor Sea      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:00      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      
Time [s]      	Surface elevation (origin)      [      m      ]      	Dynamic pressure (origin)      [   k Pa      ]      
----------	----------	----------      
    Min      	 -1.299 [586.6s]      	-13.0815 [586.6s]      
    Max      	  1.299 [177.7s]      	13.0815 [177.7s]      
   Mean      	0.004409      	0.0444006      
Standard deviation      	0.918536      	9.25007      
----------	----------	----------      
      0      	      0      	      0      
   0.05      	0.0533793      	0.537553      
    0.1      	0.106668      	 1.0742      
   0.15      	0.159777      	1.60903      
    0.2      	0.212616      	2.14114      
   0.25      	0.265096      	2.66964      
    0.3      	0.317128      	3.19362      
   0.35      	0.368624      	3.71221      
    0.4      	0.419498      	4.22453      
   0.45      	0.469663      	4.72972      
    0.5      	0.519034      	5.22691      
   0.55      	0.567529      	5.71527      
    0.6      	0.615065      	6.19398      
   0.65      	0.661562      	6.66223      
    0.7      	0.706941      	7.11922      
   0.75      	0.751126      	7.56418      
    0.8      	0.794042      	7.99636      
   0.85      	0.835617      	8.41504      
    0.9      	0.87578      	 8.8195      
   0.95      	0.914464      	9.20906      
      1      	0.951603      	9.58307      
   1.05      	0.987134      	9.94088      
    1.1      	  1.021      	10.2819      
   1.15      	1.05314      	10.6056      
    1.2      	 1.0835      	10.9113      
   1.25      	1.11203      	11.1986      
    1.3      	1.13868      	 11.467      
   1.35      	 1.1634      	 11.716      
    1.4      	1.18617      	11.9452      
   1.45      	1.20692      	12.1543      
    1.5      	1.22564      	12.3428      
   1.55      	1.24229      	12.5104      
    1.6      	1.25684      	 12.657      
   1.65      	1.26927      	12.7821      
    1.7      	1.27955      	12.8857      
   1.75      	1.28767      	12.9675      
    1.8      	1.29362      	13.0273      
   1.85      	1.29738      	13.0652      
    1.9      	1.29895      	 13.081      
   1.95      	1.29832      	13.0747      
      2      	1.29551      	13.0463      
   2.05      	 1.2905      	12.9959      
    2.1      	1.28331      	12.9235      
   2.15      	1.27396      	12.8293      
    2.2      	1.26245      	12.7134      
   2.25      	1.24881      	12.5761      
    2.3      	1.23306      	12.4175      
   2.35      	1.21523      	12.2379      
    2.4      	1.19534      	12.0376      
   2.45      	1.17344      	 11.817      
    2.5      	1.14955      	11.5765      
   2.55      	1.12372      	11.3164      
    2.6      	1.09599      	11.0371      
   2.65      	1.06641      	10.7393      
    2.7      	1.03503      	10.4232      
   2.75      	 1.0019      	10.0896      
    2.8      	0.967082      	9.73895      
   2.85      	0.930627      	9.37183      
    2.9      	 0.8926      	8.98888      
   2.95      	0.853064      	8.59074      
      3      	0.812088      	8.17809      
   3.05      	0.76974      	7.75163      
    3.1      	0.726092      	7.31207      
   3.15      	0.681216      	6.86016      
    3.2      	0.635191      	6.39665      
   3.25      	0.588092      	5.92235      
    3.3      	0.539999      	5.43804      
   3.35      	0.490995      	4.94454      
    3.4      	0.441161      	4.44269      
   3.45      	0.390581      	3.93333      
    3.5      	0.339342      	3.41733      
   3.55      	0.28753      	2.89556      
    3.6      	0.235232      	2.36889      
   3.65      	0.182536      	1.83822      
    3.7      	0.129533      	1.30445      
   3.75      	0.0763099      	0.768475      
    3.8      	0.0229584      	0.231201      
   3.85      	-0.030432      	-0.306464      
    3.9      	-0.0837709      	-0.843611      
   3.95      	-0.136968      	-1.37933      
      4      	-0.189934      	-1.91272      
   4.05      	-0.24258      	-2.44289      
    4.1      	-0.294815      	-2.96892      
   4.15      	-0.346552      	-3.48994      
    4.2      	-0.397704      	-4.00506      
   4.25      	-0.448184      	-4.51342      
    4.3      	-0.497907      	-5.01415      
   4.35      	-0.546789      	-5.50641      
    4.4      	-0.594747      	-5.98937      
   4.45      	-0.641701      	-6.46221      
    4.5      	-0.68757      	-6.92414      
   4.55      	-0.732278      	-7.37437      
    4.6      	-0.775749      	-7.81214      
   4.65      	-0.817909      	-8.23671      
    4.7      	-0.858688      	-8.64737      
   4.75      	-0.898016      	-9.04342      
    4.8      	-0.935827      	-9.42419      
   4.85      	-0.972057      	-9.78905      
    4.9      	-1.00664      	-10.1374      
   4.95      	-1.03953      	-10.4686      
      5      	-1.07066      	-10.7821      
   5.05      	-1.09999      	-11.0774      
    5.1      	-1.12745      	-11.3539      
   5.15      	-1.15301      	-11.6113      
    5.2      	-1.17662      	-11.8491      
   5.25      	-1.19825      	-12.0669      
    5.3      	-1.21785      	-12.2643      
   5.35      	-1.23539      	-12.4409      
    5.4      	-1.25085      	-12.5966      
   5.45      	-1.26419      	-12.7309      
    5.5      	-1.2754      	-12.8438      
   5.55      	-1.28445      	-12.935      
    5.6      	-1.29133      	-13.0043      
   5.65      	-1.29603      	-13.0516      
    5.7      	-1.29854      	-13.0769      
   5.75      	-1.29886      	-13.0801      
    5.8      	-1.29699      	-13.0612      
   5.85      	-1.29292      	-13.0203      
    5.9      	-1.28667      	-12.9573      
   5.95      	-1.27824      	-12.8725      
      6      	-1.26766      	-12.7659      
   6.05      	-1.25493      	-12.6377      
    6.1      	-1.24009      	-12.4882      
   6.15      	-1.22315      	-12.3176      
    6.2      	-1.20414      	-12.1262      
   6.25      	-1.1831      	-11.9143      
    6.3      	-1.16006      	-11.6823      
   6.35      	-1.13506      	-11.4306      
    6.4      	-1.10814      	-11.1595      
   6.45      	-1.07936      	-10.8696      
    6.5      	-1.04874      	-10.5613      
   6.55      	-1.01636      	-10.2352      
    6.6      	-0.982259      	-9.89179      
   6.65      	-0.946499      	-9.53167      
    6.7      	-0.90914      	-9.15545      
   6.75      	-0.870245      	-8.76376      
    6.8      	-0.82988      	-8.35727      
   6.85      	-0.788113      	-7.93665      
    6.9      	-0.745015      	-7.50264      
   6.95      	-0.700658      	-7.05594      
      7      	-0.655118      	-6.59733      
   7.05      	-0.608471      	-6.12757      
    7.1      	-0.560796      	-5.64746      
   7.15      	-0.512173      	-5.15781      
    7.2      	-0.462686      	-4.65945      
   7.25      	-0.412416      	-4.15322      
    7.3      	-0.361451      	-3.63997      
   7.35      	-0.309874      	-3.12057      
    7.4      	-0.257774      	-2.5959      
   7.45      	-0.205238      	-2.06684      
    7.5      	-0.152356      	-1.5343      
   7.55      	-0.0992167      	-0.999157      
    7.6      	-0.0459096      	-0.46233      
   7.65      	0.00747517      	0.0752783      
    7.7      	0.0608473      	0.612759      
   7.75      	0.114117      	1.14921      
    7.8      	0.167193      	1.68371      
   7.85      	0.219987      	2.21537      
    7.9      	0.27241      	2.74329      
   7.95      	0.324372      	3.26657      
      8      	0.375786      	3.78434      
   8.05      	0.426566      	4.29571      
    8.1      	0.476625      	4.79982      
   8.15      	0.525878      	5.29583      
    8.2      	0.574244      	5.78289      
   8.25      	0.621639      	6.26018      
    8.3      	0.667984      	 6.7269      
   8.35      	0.713201      	7.18225      
    8.4      	0.757213      	7.62547      
   8.45      	0.799945      	8.05581      
    8.5      	0.841327      	8.47254      
   8.55      	0.881287      	8.87495      
    8.6      	0.919758      	9.26238      
   8.65      	0.956675      	9.63415      
    8.7      	0.991977      	9.98965      
   8.75      	 1.0256      	10.3283      
    8.8      	 1.0575      	10.6495      
   8.85      	 1.0876      	10.9526      
    8.9      	1.11587      	11.2373      
   8.95      	1.14226      	 11.503      
      9      	1.16671      	11.7493      
   9.05      	1.18919      	11.9757      
    9.1      	1.20967      	12.1819      
   9.15      	 1.2281      	12.3675      
    9.2      	1.24446      	12.5322      
   9.25      	1.25871      	12.6758      
    9.3      	1.27084      	12.7979      
   9.35      	1.28082      	12.8984      
    9.4      	1.28864      	12.9772      
   9.45      	1.29428      	 13.034      
    9.5      	1.29773      	13.0687      
   9.55      	1.29899      	13.0815      
    9.6      	1.29806      	13.0721      
   9.65      	1.29494      	13.0406      
    9.7      	1.28962      	12.9871      
   9.75      	1.28213      	12.9116      
    9.8      	1.27247      	12.8144      
   9.85      	1.26067      	12.6955      
    9.9      	1.24673      	12.5551      
   9.95      	1.23069      	12.3936      
     10      	1.21256      	12.2111      
  10.05      	1.19239      	12.0079      
   10.1      	1.17021      	11.7845      
  10.15      	1.14605      	11.5412      
   10.2      	1.11995      	11.2784      
  10.25      	1.09196      	10.9965      
   10.3      	1.06213      	10.6961      
  10.35      	 1.0305      	10.3776      
   10.4      	0.997129      	10.0415      
  10.45      	0.962075      	9.68853      
   10.5      	0.925396      	9.31915      
  10.55      	0.887154      	8.93404      
   10.6      	0.847413      	8.53383      
  10.65      	0.80624      	 8.1192      
   10.7      	0.763706      	7.69086      
  10.75      	0.719881      	7.24953      
   10.8      	0.67484      	6.79595      
  10.85      	0.62866      	6.33088      
   10.9      	0.581417      	5.85513      
  10.95      	0.533192      	5.36948      
     11      	0.484066      	4.87476      
  11.05      	0.434123      	4.37181      
   11.1      	0.383446      	3.86147      
  11.15      	0.332121      	3.34461      
   11.2      	0.280235      	 2.8221      
  11.25      	0.227876      	2.29482      
   11.3      	0.175132      	1.76366      
  11.35      	0.122093      	1.22953      
   11.4      	0.0688464      	0.693314      
  11.45      	0.015484      	0.155931      
   11.5      	-0.0379046      	-0.381716      
  11.55      	-0.0912291      	-0.918718      
   11.6      	-0.1444      	-1.45417      
  11.65      	-0.197326      	-1.98716      
   11.7      	-0.249919      	-2.5168      
  11.75      	-0.30209      	-3.04218      
   11.8      	-0.353751      	-3.56243      
  11.85      	-0.404814      	-4.07666      
   11.9      	-0.455193      	 -4.584      
  11.95      	-0.504803      	-5.0836      
     12      	-0.553561      	-5.5746      
  12.05      	-0.601383      	-6.0562      
   12.1      	-0.648189      	-6.52756      
  12.15      	-0.693901      	-6.98789      
   12.2      	-0.73844      	-7.43642      
  12.25      	-0.781732      	-7.87239      
   12.3      	-0.823703      	-8.29506      
  12.35      	-0.864282      	-8.70371      
   12.4      	-0.903402      	-9.09766      
  12.45      	-0.940995      	-9.47625      
   12.5      	-0.976999      	-9.83882      
  12.55      	-1.01135      	-10.1848      
   12.6      	 -1.044      	-10.5135      
  12.65      	-1.07488      	-10.8245      
   12.7      	-1.10394      	-11.1172      
  12.75      	-1.13114      	-11.3911      
   12.8      	-1.15643      	-11.6458      
  12.85      	-1.17977      	-11.8808      
   12.9      	-1.20111      	-12.0957      
  12.95      	-1.22043      	-12.2902      
     13      	-1.23768      	-12.464      
  13.05      	-1.25284      	-12.6167      
   13.1      	-1.26589      	-12.748      
  13.15      	-1.27679      	-12.8579      
   13.2      	-1.28554      	-12.946      
  13.25      	-1.29212      	-13.0122      
   13.3      	-1.29652      	-13.0565      
  13.35      	-1.29872      	-13.0787      
   13.4      	-1.29873      	-13.0788      
  13.45      	-1.29655      	-13.0568      
   13.5      	-1.29217      	-13.0128      
  13.55      	-1.28562      	-12.9468      
   13.6      	-1.27689      	-12.8589      
  13.65      	-1.26601      	-12.7492      
   13.7      	-1.25298      	-12.6181      
  13.75      	-1.23784      	-12.4656      
   13.8      	-1.22061      	-12.2921      
  13.85      	-1.20132      	-12.0978      
   13.9      	-1.17999      	-11.8831      
  13.95      	-1.15668      	-11.6483      
     14      	-1.13141      	-11.3938      
  14.05      	-1.10423      	 -11.12      
   14.1      	-1.07518      	-10.8275      
  14.15      	-1.04432      	-10.5167      
   14.2      	-1.01169      	-10.1881      
  14.25      	-0.977351      	-9.84236      
   14.3      	-0.941363      	-9.47995      
  14.35      	-0.903786      	-9.10153      
   14.4      	-0.864681      	-8.70773      
  14.45      	-0.824116      	-8.29921      
   14.5      	-0.782158      	-7.87668      
  14.55      	-0.738879      	-7.44084      
   14.6      	-0.694352      	-6.99244      
  14.65      	-0.648652      	-6.53222      
   14.7      	-0.601856      	-6.06096      
  14.75      	-0.554044      	-5.57947      
   14.8      	-0.505295      	-5.08855      
  14.85      	-0.455693      	-4.58903      
   14.9      	-0.405321      	-4.08177      
  14.95      	-0.354265      	-3.5676      
     15      	-0.302609      	-3.04741      
  15.05      	-0.250443      	-2.52208      
   15.1      	-0.197854      	-1.99248      
  15.15      	-0.14493      	-1.45951      
   15.2      	-0.0917618      	-0.924082      
  15.25      	-0.0384383      	-0.387091      
   15.3      	0.0149501      	0.150554      
  15.35      	0.0683132      	0.687945      
   15.4      	0.121561      	1.22417      
  15.45      	0.174603      	1.75833      
   15.5      	0.227351      	2.28952      
  15.55      	0.279714      	2.81685      
   15.6      	0.331605      	3.33941      
  15.65      	0.382936      	3.85633      
   15.7      	0.433619      	4.36674      
  15.75      	0.483571      	4.86977      
   15.8      	0.532705      	5.36458      
  15.85      	0.580939      	5.85032      
   15.9      	0.628192      	6.32618      
  15.95      	0.674384      	6.79135      
     16      	0.719437      	7.24505      
  16.05      	0.763274      	7.68651      
   16.1      	0.805822      	8.11499      
  16.15      	0.847008      	8.52975      
   16.2      	0.886764      	8.93011      
  16.25      	0.925021      	9.31538      
   16.3      	0.961716      	9.68492      
  16.35      	0.996787      	10.0381      
   16.4      	1.03017      	10.3743      
  16.45      	1.06182      	 10.693      
   16.5      	1.09167      	10.9936      
  16.55      	1.11968      	11.2757      
   16.6      	 1.1458      	11.5387      
  16.65      	1.16998      	11.7822      
   16.7      	1.19218      	12.0058      
  16.75      	1.21237      	12.2091      
   16.8      	1.23052      	12.3918      
  16.85      	1.24658      	12.5536      
   16.9      	1.26054      	12.6942      
  16.95      	1.27237      	12.8133      
     17      	1.28205      	12.9108      
  17.05      	1.28956      	12.9864      
   17.1      	1.29489      	13.0402      
  17.15      	1.29804      	13.0719      
   17.2      	  1.299      	13.0815      
  17.25      	1.29776      	 13.069      
   17.3      	1.29432      	13.0344      
  17.35      	 1.2887      	12.9778      
   17.4      	1.28091      	12.8993      
  17.45      	1.27095      	 12.799      
   17.5      	1.25884      	12.6771      
  17.55      	1.24461      	12.5338      
   17.6      	1.22827      	12.3693      
  17.65      	1.20986      	12.1839      
   17.7      	1.18941      	11.9779      
  17.75      	1.16695      	11.7517      
   17.8      	1.14251      	11.5056      
  17.85      	1.11614      	11.2401      
   17.9      	1.08789      	10.9556      
  17.95      	1.05781      	10.6526      
     18      	1.02593      	10.3316      
  18.05      	0.992322      	9.99312      
   18.1      	0.957037      	9.63779      
  18.15      	0.920135      	9.26617      
   18.2      	0.881679      	 8.8789      
  18.25      	0.841733      	8.47663      
   18.3      	0.800366      	8.06004      
  18.35      	0.757646      	7.62984      
   18.4      	0.713647      	7.18674      
  18.45      	0.668442      	6.73151      
   18.5      	0.622108      	 6.2649      
  18.55      	0.574723      	5.78771      
   18.6      	0.526367      	5.30075      
  18.65      	0.477121      	4.80483      
   18.7      	0.42707      	4.30079      
  18.75      	0.376297      	3.78948      
   18.8      	0.324889      	3.27178      
  18.85      	0.272932      	2.74854      
   18.9      	0.220513      	2.22067      
  18.95      	0.167723      	1.68904      
     19      	0.114648      	1.15456      
  19.05      	0.0613806      	0.61813      
   19.1      	0.0080091      	0.0806552      
  19.15      	-0.0453759      	-0.456956      
   19.2      	-0.0986843      	-0.993796      
  19.25      	-0.151826      	-1.52896      
   19.3      	-0.204711      	-2.06153      
  19.35      	-0.257251      	-2.59063      
   19.4      	-0.309355      	-3.11535      
  19.45      	-0.360938      	-3.6348      
   19.5      	-0.41191      	-4.14812      
  19.55      	-0.462187      	-4.65443      
   19.6      	-0.511683      	-5.15287      
  19.65      	-0.560314      	-5.64261      
   19.7      	-0.607999      	-6.12282      
  19.75      	-0.654657      	-6.59269      
   19.8      	-0.700209      	-7.05141      
  19.85      	-0.744578      	-7.49823      
   19.9      	-0.787689      	-7.93238      
  19.95      	-0.829469      	-8.35313      
     20      	-0.869849      	-8.75977      
  20.05      	-0.908758      	-9.15161      
   20.1      	-0.946133      	-9.52798      
  20.15      	-0.981909      	-9.88827      
   20.2      	-1.01603      	-10.2318      
  20.25      	-1.04843      	-10.5581      
   20.3      	-1.07906      	-10.8666      
  20.35      	-1.10787      	-11.1567      
   20.4      	-1.1348      	-11.428      
  20.45      	-1.15982      	-11.6799      
   20.5      	-1.18288      	-11.9121      
  20.55      	-1.20394      	-12.1242      
   20.6      	-1.22297      	-12.3158      
  20.65      	-1.23993      	-12.4866      
   20.7      	-1.2548      	-12.6364      
  20.75      	-1.26754      	-12.7647      
   20.8      	-1.27815      	-12.8715      
  20.85      	-1.28659      	-12.9566      
   20.9      	-1.29287      	-13.0198      
  20.95      	-1.29696      	-13.0609      
     21      	-1.29885      	 -13.08      
  21.05      	-1.29856      	-13.0771      
   21.1      	-1.29607      	-13.052      
  21.15      	-1.29139      	-13.0049      
   21.2      	-1.28453      	-12.9358      
  21.25      	-1.2755      	-12.8448      
   21.3      	-1.26431      	-12.7322      
  21.35      	-1.25099      	-12.598      
   21.4      	-1.23555      	-12.4426      
  21.45      	-1.21803      	-12.2661      
   21.5      	-1.19845      	-12.069      
  21.55      	-1.17685      	-11.8514      
   21.6      	-1.15326      	-11.6138      
  21.65      	-1.12772      	-11.3566      
   21.7      	-1.10027      	-11.0802      
  21.75      	-1.07097      	-10.7851      
   21.8      	-1.03985      	-10.4718      
  21.85      	-1.00698      	-10.1408      
   21.9      	-0.972411      	-9.79261      
  21.95      	-0.936197      	-9.42792      
     22      	-0.898401      	-9.0473      
  22.05      	-0.859088      	-8.6514      
   22.1      	-0.818324      	-8.24089      
  22.15      	-0.776177      	-7.81645      
   22.2      	-0.732719      	-7.37881      
  22.25      	-0.688023      	-6.9287      
   22.3      	-0.642165      	-6.46689      
  22.35      	-0.595222      	-5.99415      
   22.4      	-0.547273      	-5.51129      
  22.45      	-0.4984      	-5.01912      
   22.5      	-0.448685      	-4.51846      
  22.55      	-0.398213      	-4.01018      
   22.6      	-0.347067      	-3.49512      
  22.65      	-0.295335      	-2.97416      
   22.7      	-0.243104      	-2.44817      
  22.75      	-0.190463      	-1.91804      
   22.8      	-0.137499      	-1.38468      
  22.85      	-0.0843038      	-0.848977      
   22.9      	-0.0309658      	-0.311839      
  22.95      	0.0224245      	0.225825      
     23      	0.0757769      	0.763107      
  23.05      	0.129001      	 1.2991      
   23.1      	0.182008      	 1.8329      
  23.15      	0.234707      	 2.3636      
   23.2      	0.287009      	2.89031      
  23.25      	0.338827      	3.41214      
   23.3      	0.390072      	 3.9282      
  23.35      	0.440659      	4.43763      
   23.4      	 0.4905      	4.93956      
  23.45      	0.539514      	5.43315      
   23.5      	0.587616      	5.91755      
  23.55      	0.634725      	6.39196      
   23.6      	0.680762      	6.85558      
  23.65      	0.725649      	7.30761      
   23.7      	0.76931      	 7.7473      
  23.75      	0.811671      	8.17389      
   23.8      	0.852662      	8.58669      
  23.85      	0.892212      	8.98497      
   23.9      	0.930254      	9.36808      
  23.95      	0.966725      	9.73536      
     24      	1.00156      	10.0862      
  24.05      	1.03471      	  10.42      
   24.1      	1.06611      	10.7362      
  24.15      	 1.0957      	11.0342      
   24.2      	1.12345      	11.3137      
  24.25      	 1.1493      	 11.574      
   24.3      	1.17321      	11.8147      
  24.35      	1.19513      	12.0355      
   24.4      	1.21504      	 12.236      
  24.45      	1.23289      	12.4158      
   24.5      	1.24866      	12.5746      
  24.55      	1.26232      	12.7122      
   24.6      	1.27385      	12.8283      
  24.65      	1.28323      	12.9227      
   24.7      	1.29044      	12.9953      
  24.75      	1.29547      	13.0459      
   24.8      	1.29831      	13.0745      
  24.85      	1.29895      	 13.081      
   24.9      	1.29741      	13.0655      
  24.95      	1.29367      	13.0278      
     25      	1.28774      	12.9682      
  25.05      	1.27964      	12.8866      
   25.1      	1.26938      	12.7833      
  25.15      	1.25698      	12.6583      
   25.2      	1.24245      	 12.512      
  25.25      	1.22582      	12.3446      
   25.3      	1.20712      	12.1563      
  25.35      	1.18638      	11.9474      
   25.4      	1.16364      	11.7184      
  25.45      	1.13893      	11.4696      
   25.5      	 1.1123      	11.2014      
  25.55      	1.08379      	10.9143      
   25.6      	1.05345      	10.6087      
  25.65      	1.02133      	10.2852      
   25.7      	0.987481      	9.94438      
  25.75      	0.951966      	9.58673      
   25.8      	0.914843      	9.21288      
  25.85      	0.876175      	8.82347      
   25.9      	0.836026      	8.41916      
  25.95      	0.794465      	8.00062      
     26      	0.751562      	7.56856      
  26.05      	0.707389      	7.12373      
   26.1      	0.662021      	6.66685      
  26.15      	0.615535      	6.19872      
   26.2      	0.568009      	5.72011      
  26.25      	0.519524      	5.23184      
   26.3      	0.470161      	4.73473      
  26.35      	0.420003      	4.22962      
   26.4      	0.369136      	3.71737      
  26.45      	0.317646      	3.19884      
   26.5      	0.265619      	 2.6749      
  26.55      	0.213143      	2.14645      
   26.6      	0.160307      	1.61437      
  26.65      	0.107201      	1.07956      
   26.7      	0.0539128      	0.542926      
  26.75      	0.000533943      	0.00537705      
   26.8      	-0.0528458      	-0.532181      
  26.85      	-0.106136      	-1.06884      
   26.9      	-0.159247      	-1.60369      
  26.95      	-0.21209      	-2.13584      
     27      	-0.264573      	-2.66437      
  27.05      	-0.31661      	-3.18841      
   27.1      	-0.368112      	-3.70706      
  27.15      	-0.418993      	-4.21944      
   27.2      	-0.469165      	-4.7247      
  27.25      	-0.518545      	-5.22198      
   27.3      	-0.567049      	-5.71044      
  27.35      	-0.614595      	-6.18924      
   27.4      	-0.661102      	-6.6576      
  27.45      	-0.706493      	-7.1147      
   27.5      	-0.750691      	-7.55979      
  27.55      	-0.79362      	-7.99211      
   27.6      	-0.835208      	-8.41092      
  27.65      	-0.875386      	-8.81553      
   27.7      	-0.914085      	-9.20524      
  27.75      	-0.951239      	-9.57941      
   27.8      	-0.986787      	-9.93739      
  27.85      	-1.02067      	-10.2786      
   27.9      	-1.05282      	-10.6024      
  27.95      	-1.0832      	-10.9083      
     28      	-1.11175      	-11.1958      
  28.05      	-1.13842      	-11.4644      
   28.1      	-1.16317      	-11.7136      
  28.15      	-1.18595      	-11.943      
   28.2      	-1.20673      	-12.1523      
  28.25      	-1.22547      	-12.341      
   28.3      	-1.24214      	-12.5089      
  28.35      	-1.25671      	-12.6556      
   28.4      	-1.26916      	-12.781      
  28.45      	-1.27946      	-12.8847      
   28.5      	-1.2876      	-12.9667      
  28.55      	-1.29357      	-13.0268      
   28.6      	-1.29735      	-13.0649      
  28.65      	-1.29894      	-13.081      
   28.7      	-1.29834      	-13.0749      
  28.75      	-1.29554      	-13.0467      
   28.8      	-1.29056      	-12.9965      
  28.85      	-1.28339      	-12.9243      
   28.9      	-1.27406      	-12.8304      
  28.95      	-1.26257      	-12.7147      
     29      	-1.24895      	-12.5775      
  29.05      	-1.23323      	-12.4191      
   29.1      	-1.21541      	-12.2398      
  29.15      	-1.19555      	-12.0397      
   29.2      	-1.17366      	-11.8193      
  29.25      	-1.1498      	-11.579      
   29.3      	-1.12399      	-11.3191      
  29.35      	-1.09628      	 -11.04      
   29.4      	-1.06672      	-10.7423      
  29.45      	-1.03535      	-10.4265      
   29.5      	-1.00224      	-10.093      
  29.55      	-0.967438      	-9.74254      
   29.6      	-0.930999      	-9.37558      
  29.65      	-0.892987      	-8.99278      
   29.7      	-0.853467      	-8.5948      
  29.75      	-0.812505      	-8.18229      
   29.8      	-0.77017      	-7.75596      
  29.85      	-0.726534      	-7.31653      
   29.9      	-0.681671      	-6.86473      
  29.95      	-0.635656      	-6.40134      
     30      	-0.588568      	-5.92714      
  30.05      	-0.540485      	-5.44293      
   30.1      	-0.491489      	-4.94952      
  30.15      	-0.441663      	-4.44774      
   30.2      	-0.391091      	-3.93846      
  30.25      	-0.339858      	-3.42252      
   30.3      	-0.288051      	-2.9008      
  30.35      	-0.235757      	-2.37418      
   30.4      	-0.183065      	-1.84355      
  30.45      	-0.130064      	-1.3098      
   30.5      	-0.076843      	-0.773843      
  30.55      	-0.0234922      	-0.236577      
   30.6      	0.0298982      	0.301088      
  30.65      	0.0832381      	0.838245      
   30.7      	0.136437      	1.37399      
  30.75      	0.189406      	1.90741      
   30.8      	0.242055      	 2.4376      
  30.85      	0.294295      	2.96368      
   30.9      	0.346038      	3.48476      
  30.95      	0.397196      	3.99994      
     31      	0.447683      	4.50837      
  31.05      	0.497414      	5.00918      
   31.1      	0.546305      	5.50153      
  31.15      	0.594272      	5.98459      
   31.2      	0.641236      	6.45754      
  31.25      	0.687117      	6.91958      
   31.3      	0.731837      	7.36992      
  31.35      	0.77532      	7.80782      
   31.4      	0.817494      	8.23253      
  31.45      	0.858287      	8.64333      
   31.5      	0.89763      	9.03953      
  31.55      	0.935456      	9.42046      
   31.6      	0.971702      	9.78548      
  31.65      	1.00631      	 10.134      
   31.7      	1.03921      	10.4653      
  31.75      	1.07036      	 10.779      
   31.8      	 1.0997      	11.0745      
  31.85      	1.12719      	11.3513      
   31.9      	1.15276      	11.6089      
  31.95      	 1.1764      	11.8468      
     32      	1.19804      	12.0648      
  32.05      	1.21766      	12.2624      
   32.1      	1.23522      	12.4393      
  32.15      	 1.2507      	12.5951      
   32.2      	1.26407      	12.7297      
  32.25      	1.27529      	12.8428      
   32.3      	1.28437      	12.9342      
  32.35      	1.29127      	13.0037      
   32.4      	  1.296      	13.0513      
  32.45      	1.29853      	13.0768      
   32.5      	1.29887      	13.0802      
  32.55      	1.29702      	13.0615      
   32.6      	1.29297      	13.0208      
  32.65      	1.28674      	12.9581      
   32.7      	1.27834      	12.8734      
  32.75      	1.26778      	12.7671      
   32.8      	1.25507      	12.6391      
  32.85      	1.24025      	12.4898      
   32.9      	1.22333      	12.3195      
  32.95      	1.20434      	12.1283      
     33      	1.18332      	11.9166      
  33.05      	 1.1603      	11.6847      
   33.1      	1.13532      	11.4332      
  33.15      	1.10842      	11.1623      
   33.2      	1.07965      	10.8726      
  33.25      	1.04906      	10.5645      
   33.3      	1.01669      	10.2385      
  33.35      	0.982608      	9.89531      
   33.4      	0.946864      	9.53535      
  33.45      	0.909521      	9.15929      
   33.5      	0.870641      	8.76775      
  33.55      	0.830291      	 8.3614      
   33.6      	0.788538      	7.94093      
  33.65      	0.745452      	7.50704      
   33.7      	0.701108      	7.06047      
  33.75      	0.655579      	6.60197      
   33.8      	0.608942      	6.13232      
  33.85      	0.561277      	5.65231      
   33.9      	0.512664      	5.16276      
  33.95      	0.463185      	4.66448      
     34      	0.412923      	4.15832      
