# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:36:59      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	773.402 [136.85s]      	  26071 [220.7s]      	25321.3 [289.35s]      	-10804.8 [103.45s]      	-10773.1 [103.45s]      	13.0767 [140.4s]      	0.778375 [167.75s]      	-3.40287 [186.95s]      	486.347 [166.85s]      
    Max      	1936.41 [172.6s]      	34908.7 [186.65s]      	28937.2 [110.4s]      	22764.1 [210.5s]      	22770.4 [210.5s]      	13.1129 [144.25s]      	1.06876 [132.65s]      	-0.710788 [175s]      	643.945 [178.85s]      
   Mean      	1421.85      	  30141      	27115.9      	5965.14      	5983.66      	13.0948      	0.915743      	-2.06007      	554.887      
Standard deviation      	399.978      	2430.72      	933.867      	11872.4      	11863.4      	0.0113874      	0.0644684      	0.945184      	52.1204      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	1.73737e-10      	3.04993e-10      	-2.96654e-10      	-6.93318e-11      	-6.95504e-11      	   19.9      	-3.72841      	-0.850025      	-6.52414e-12      
   0.05      	1870.22      	84.8965      	49.7641      	68.6866      	68.7474      	   19.9      	-3.71786      	-0.849743      	2.89351      
    0.1      	677.945      	105.616      	100.028      	-33.4767      	-33.3124      	   19.8      	-3.68424      	-0.852475      	3.03678      
   0.15      	945.787      	161.391      	160.997      	-7.30362      	-7.08213      	19.7001      	-3.62949      	-0.862712      	4.91843      
