# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:01      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	  15500 [168.35s]      	1.96018e+07 [144.05s]      	19601.8 [144.05s]      	-900.969 [167.45s]      	  7.544 [115.45s]      	  7.544 [115.45s]      	422.432 [100.05s]      	      0 [100.05s]      
    Max      	15567.4 [111.45s]      	1.9624e+07 [100.05s]      	  19624 [100.05s]      	725.334 [171.15s]      	7.57557 [196.1s]      	7.57557 [196.1s]      	3010.93 [700.05s]      	      0 [100.05s]      
   Mean      	  15531      	1.96178e+07      	19617.8      	  180.8      	7.55998      	7.55998      	1716.68      	      0      
Standard deviation      	15.0815      	 7675.9      	 7.6759      	 353.89      	0.00731725      	0.00731725      	747.327      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	13756.6      	1.87665e+07      	18766.5      	-18766.5      	      7      	      7      	0.191064      	      0      
   0.05      	13756.6      	1.87665e+07      	18766.5      	-18766.6      	      7      	      7      	0.191064      	      0      
    0.1      	13590.6      	1.85415e+07      	18541.5      	-18541.8      	6.99944      	6.99944      	0.379822      	      0      
   0.15      	13595.1      	1.85415e+07      	18541.5      	-18542.5      	7.00176      	7.00176      	0.568642      	      0      
    0.2      	13567.4      	1.85415e+07      	18541.5      	-18543.8      	6.98754      	6.98754      	0.757079      	      0      
   0.25      	13563.7      	1.85414e+07      	18541.4      	-18545.5      	6.98565      	6.98565      	0.945463      	      0      
    0.3      	13550.9      	1.8541e+07      	  18541      	-18548.1      	 6.9792      	 6.9792      	1.13367      	      0      
   0.35      	13546.2      	1.85404e+07      	18540.4      	-18550.6      	  6.977      	  6.977      	1.32181      	      0      
