# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:24      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	354.566 [205.55s]      	23530.6 [181.45s]      	23414.7 [155.95s]      	-15419.1 [634.6s]      	-15394.9 [634.6s]      	1.28898 [192.95s]      	1.43434 [538.8s]      	-4.40129 [676.75s]      	213.886 [155.25s]      
    Max      	1227.74 [103.45s]      	30798.1 [484.7s]      	24681.4 [126.75s]      	18751.9 [652.65s]      	18746.6 [652.65s]      	1.29808 [100.05s]      	1.87506 [484.7s]      	-1.82886 [598.65s]      	288.006 [484.65s]      
   Mean      	857.035      	26862.1      	24003.4      	 1746.9      	1755.97      	 1.2903      	1.64611      	-3.12517      	246.085      
Standard deviation      	298.204      	2198.28      	384.601      	12078.6      	12068.2      	0.000944411      	0.151633      	0.908371      	25.6409      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	4.34343e-11      	7.62483e-11      	-7.56135e-11      	9.10195e-12      	9.02214e-12      	0.0999811      	-3.97893      	-2.67379      	-1.63103e-12      
   0.05      	954.234      	91.6156      	77.8811      	48.0838      	48.1288      	0.0999811      	-3.97328      	-2.67251      	2.07954      
    0.1      	346.769      	99.2895      	98.8433      	-8.16136      	-8.07587      	0.199962      	-3.95525      	-2.66989      	 1.7819      
   0.15      	482.211      	69.0352      	68.9117      	 2.4843      	 2.5407      	0.299943      	-3.92603      	-2.66794      	1.34705      
    0.2      	802.958      	212.872      	212.212      	13.4671      	13.6154      	0.399925      	-3.88535      	-2.66502      	3.69296      
   0.25      	165.946      	465.668      	464.632      	-23.1011      	-22.8896      	0.499906      	-3.83534      	-2.66076      	4.34674      
    0.3      	901.249      	667.087      	665.407      	36.7735      	37.0214      	0.599887      	-3.78293      	-2.65682      	 6.4861      
   0.35      	286.745      	899.583      	898.646      	-10.5918      	-10.3352      	0.699868      	-3.7307      	-2.65576      	5.65174      
    0.4      	612.079      	1206.77      	1205.26      	28.4306      	28.7335      	0.799849      	-3.67963      	-2.66043      	7.56417      
   0.45      	640.204      	1511.62      	1509.77      	34.4275      	34.7284      	0.89983      	-3.62761      	-2.6665      	7.64932      
    0.5      	 295.49      	 1859.3      	1857.52      	3.64625      	3.94359      	0.999811      	-3.57383      	-2.67326      	6.89659      
   0.55      	826.614      	2151.44      	2148.04      	75.8381      	76.1213      	1.09979      	-3.51836      	-2.68344      	8.14724      
    0.6      	270.771      	2462.51      	2459.66      	49.3555      	49.5673      	1.19977      	-3.46225      	-2.69432      	5.93272      
   0.65      	686.726      	2698.63      	2692.64      	135.696      	135.942      	1.29975      	-3.41152      	-2.70448      	8.61428      
    0.7      	  510.4      	2774.51      	2768.11      	144.295      	144.418      	1.39974      	-3.36637      	-2.71308      	 5.9685      
   0.75      	410.538      	2917.88      	2910.37      	165.954      	166.107      	1.49972      	-3.32531      	-2.7207      	 7.1383      
    0.8      	728.645      	3009.79      	2997.36      	239.778      	239.949      	1.49981      	-3.28945      	-2.72807      	9.14138      
   0.85      	289.962      	3099.92      	3087.04      	247.908      	248.047      	1.49974      	-3.26045      	-2.73309      	8.59781      
    0.9      	710.028      	3223.68      	3201.45      	 350.85      	351.096      	1.49967      	-3.24007      	-2.73431      	13.2922      
   0.95      	408.509      	3290.56      	3264.23      	390.001      	390.218      	1.49958      	-3.22807      	-2.73293      	13.4679      
      1      	512.568      	3370.89      	 3330.2      	501.183      	501.494      	1.49947      	-3.22533      	-2.73243      	18.0694      
   1.05      	598.039      	3333.95      	3274.44      	610.277      	610.601      	1.49934      	-3.22805      	-2.73305      	20.7473      
    1.1      	357.213      	3356.31      	3282.88      	    683      	683.306      	 1.4992      	-3.23164      	-2.73584      	21.9136      
   1.15      	651.328      	3431.11      	3322.77      	842.588      	842.997      	1.49903      	-3.23396      	-2.7414      	 27.764      
    1.2      	383.599      	3389.28      	3254.95      	933.605      	933.906      	1.49883      	-3.23258      	-2.75051      	27.2805      
   1.25      	534.099      	3394.14      	3202.64      	1114.77      	 1115.1      	1.49861      	-3.22891      	-2.76405      	32.0553      
    1.3      	521.124      	3359.31      	3099.73      	1287.31      	1287.56      	1.49835      	-3.22264      	-2.77888      	33.7573      
   1.35      	389.263      	3367.99      	3032.49      	1458.98      	1459.14      	1.49807      	-3.21277      	-2.79567      	35.5194      
    1.4      	605.432      	3436.06      	2982.71      	1700.41      	1700.52      	1.49775      	-3.19854      	-2.81579      	39.8101      
   1.45      	359.826      	3549.46      	3002.81      	1887.62      	1887.54      	1.49739      	-3.17785      	-2.83831      	39.3622      
    1.5      	554.078      	 3849.6      	3191.91      	2147.03      	2146.93      	  1.497      	-3.15075      	-2.86223      	  44.64      
   1.55      	451.171      	4147.03      	3388.12      	2386.33      	2386.03      	1.49656      	-3.11729      	-2.88517      	45.2354      
    1.6      	437.111      	4503.34      	3639.16      	2647.46      	2647.04      	1.49607      	-3.07692      	-2.90731      	48.1897      
   1.65      	547.003      	 4917.5      	3924.42      	 2957.8      	2957.28      	1.49554      	-3.02711      	-2.92927      	52.5615      
    1.7      	378.572      	5338.59      	4234.44      	3245.46      	3244.74      	1.49496      	-2.96571      	-2.95131      	54.1664      
   1.75      	552.616      	5843.71      	4611.72      	3582.86      	3582.06      	1.49432      	-2.89228      	-2.97355      	59.7554      
    1.8      	422.616      	6344.63      	5001.62      	3897.02      	   3896      	1.49363      	-2.80591      	-2.99738      	61.5882      
   1.85      	 483.15      	6896.25      	5429.96      	4244.21      	4243.05      	1.49288      	-2.70959      	-3.02505      	65.9574      
    1.9      	507.053      	 7436.3      	5836.01      	4601.07      	4599.73      	1.49206      	-2.60754      	-3.05531      	69.7004      
   1.95      	428.293      	7960.84      	6220.92      	4959.45      	4957.88      	1.49118      	-2.50246      	-3.08779      	72.1497      
      2      	545.143      	8542.75      	6642.25      	5363.69      	5361.94      	1.49023      	-2.39586      	-3.12263      	76.8623      
   2.05      	444.092      	 9145.6      	7107.59      	5746.46      	5744.43      	1.48921      	-2.28816      	-3.16087      	78.6973      
    2.1      	518.572      	 9789.3      	7588.56      	6174.76      	6172.49      	1.48812      	-2.18136      	-3.20302      	82.6182      
   2.15      	509.149      	  10433      	8079.78      	6590.34      	6587.76      	1.48695      	-2.0772      	-3.24695      	 84.683      
    2.2      	483.868      	11100.3      	8598.62      	7009.46      	7006.61      	 1.4857      	-1.97678      	-3.29215      	 87.392      
   2.25      	565.545      	11730.9      	 9057.4      	7444.03      	7440.92      	1.48436      	-1.88011      	-3.33758      	91.1606      
    2.3      	491.454      	12313.5      	9459.36      	7871.72      	7868.32      	1.48295      	-1.78551      	-3.38183      	93.8427      
   2.35      	572.458      	12904.9      	9854.06      	8321.02      	8317.43      	1.48144      	-1.69171      	-3.42392      	99.0424      
    2.4      	541.773      	13483.2      	  10240      	8759.53      	8755.69      	1.47984      	-1.5985      	-3.46296      	102.973      
   2.45      	557.085      	14043.4      	10598.7      	9201.04      	9197.02      	1.47815      	-1.50741      	-3.49987      	108.336      
    2.5      	601.608      	14571.7      	10914.1      	9642.56      	9638.36      	1.47637      	-1.41966      	-3.53539      	113.926      
   2.55      	562.226      	  15086      	11229.1      	10061.8      	10057.4      	1.47449      	-1.33554      	-3.56976      	119.054      
    2.6      	635.891      	15593.3      	11528.1      	10487.3      	10482.8      	 1.4725      	-1.25538      	-3.6025      	125.428      
   2.65      	602.727      	16089.4      	11823.9      	10898.6      	10893.9      	1.47042      	-1.17811      	-3.6343      	130.143      
    2.7      	641.962      	16612.8      	12142.4      	11324.6      	11319.8      	1.46823      	-1.10275      	-3.6668      	136.099      
   2.75      	657.483      	17124.1      	12452.5      	11741.1      	11736.1      	1.46594      	-1.02913      	-3.70017      	141.038      
    2.8      	649.203      	  17628      	  12761      	12147.9      	12142.7      	1.46354      	-0.957391      	-3.73464      	145.769      
   2.85      	 700.59      	18115.6      	13055.3      	12545.4      	12540.1      	1.46103      	-0.88712      	-3.77042      	 150.64      
    2.9      	680.336      	18592.1      	13356.1      	12919.6      	12914.1      	1.45841      	-0.816879      	-3.80769      	154.156      
   2.95      	722.778      	19076.8      	13665.6      	13296.5      	13290.7      	1.45568      	-0.745868      	-3.84583      	158.804      
      3      	728.431      	19536.5      	13957.4      	13655.3      	13649.4      	1.45283      	-0.6741      	-3.88255      	162.097      
   3.05      	735.928      	20002.9      	14266.7      	14005.8      	13999.7      	1.44988      	-0.602028      	-3.91705      	166.077      
    3.1      	773.712      	20465.8      	14578.7      	14348.5      	14342.2      	 1.4468      	-0.530441      	-3.94912      	170.268      
   3.15      	759.631      	20903.8      	  14885      	14661.3      	14654.9      	1.44362      	-0.459516      	-3.97864      	174.013      
    3.2      	 803.11      	21340.3      	  15197      	14966.2      	14959.8      	1.44032      	-0.388844      	-4.00548      	178.668      
   3.25      	801.968      	21767.6      	  15525      	15241.7      	15235.2      	1.43691      	-0.31824      	-4.02915      	182.252      
    3.3      	824.137      	  22201      	  15873      	15505.4      	15498.8      	1.43338      	-0.248046      	-4.05018      	186.761      
   3.35      	849.291      	  22601      	  16191      	15751.8      	15745.2      	1.42974      	-0.178665      	-4.06904      	190.847      
    3.4      	845.501      	  22981      	  16499      	15979.8      	15973.1      	1.42599      	-0.110211      	-4.08601      	194.919      
   3.45      	 883.34      	  23352      	16806.5      	  16195      	16188.3      	1.42212      	-0.0427167      	-4.1016      	199.535      
    3.5      	877.522      	  23687      	17094.8      	16378.2      	16371.4      	1.41814      	0.0237558      	-4.11701      	202.807      
   3.55      	904.312      	24016.5      	17388.8      	  16547      	16540.2      	1.41406      	0.0892041      	-4.13343      	206.574      
    3.6      	917.043      	24320.4      	17673.7      	16687.7      	16680.9      	1.40986      	0.153614      	-4.15047      	209.372      
   3.65      	922.881      	24602.3      	  17951      	  16804      	16797.3      	1.40556      	0.216615      	-4.16728      	 211.96      
    3.7      	950.687      	  24860      	18212.9      	16900.6      	16893.8      	1.40115      	0.27755      	-4.18292      	214.603      
   3.75      	 945.97      	25087.9      	18457.4      	16971.5      	16964.8      	1.39664      	0.336338      	-4.19687      	216.548      
    3.8      	970.156      	25310.2      	18703.4      	17031.5      	17024.9      	1.39203      	0.393399      	-4.20876      	219.135      
   3.85      	974.802      	  25501      	18937.6      	17056.8      	17050.2      	1.38732      	0.448536      	-4.21761      	220.959      
    3.9      	984.317      	25674.7      	19173.4      	17053.5      	17046.9      	1.38252      	0.501388      	-4.22306      	222.947      
   3.95      	 1004.9      	25832.2      	19410.3      	17022.8      	17016.4      	1.37763      	0.552013      	-4.22499      	224.878      
      4      	1002.54      	25961.1      	19635.4      	16959.9      	16953.7      	1.37264      	0.60034      	-4.22319      	226.601      
   4.05      	1026.01      	26067.3      	19844.5      	16878.8      	16872.7      	1.36757      	0.646381      	-4.21747      	228.826      
    4.1      	1025.19      	26142.4      	20033.9      	16770.4      	16764.5      	1.36242      	0.690238      	-4.20782      	230.588      
   4.15      	1037.68      	26208.1      	20222.5      	16645.6      	16639.9      	1.35719      	0.731778      	-4.19542      	232.673      
    4.2      	1048.48      	26251.8      	20399.8      	16497.2      	16491.7      	1.35189      	0.770975      	-4.18171      	 234.46      
   4.25      	1048.24      	26267.1      	20558.9      	16322.7      	16317.4      	1.34651      	0.808028      	-4.16753      	235.816      
    4.3      	 1066.4      	26269.5      	20713.1      	  16130      	  16125      	1.34107      	0.842972      	-4.15319      	237.042      
   4.35      	1063.67      	26253.6      	20857.6      	15916.2      	15911.4      	1.33557      	0.875542      	-4.13901      	237.685      
    4.4      	 1076.4      	26219.9      	20984.9      	15691.3      	15686.7      	   1.33      	0.905671      	-4.12525      	  238.3      
   4.45      	1079.68      	26163.6      	21092.7      	15450.7      	15446.4      	1.32439      	0.933551      	-4.11144      	238.468      
    4.5      	1080.73      	26096.9      	21193.1      	15198.2      	15194.1      	1.31872      	0.959215      	-4.09712      	238.486      
   4.55      	1092.04      	26019.9      	21289.4      	14928.9      	  14925      	1.31301      	0.982518      	 -4.082      	238.267      
    4.6      	1087.87      	25929.4      	21379.7      	14639.4      	14635.8      	1.30726      	1.00338      	-4.06592      	237.718      
   4.65      	1099.33      	25835.9      	  21469      	  14340      	14336.7      	1.30147      	1.02208      	-4.04838      	237.302      
    4.7      	1099.43      	25732.9      	  21552      	14026.7      	14023.7      	1.29565      	1.03883      	-4.02833      	236.794      
   4.75      	1103.26      	25618.8      	21623.5      	13703.9      	13701.2      	1.28981      	1.05344      	-4.00526      	236.467      
    4.8      	1109.83      	25495.5      	21684.1      	  13374      	13371.5      	1.28394      	1.06589      	-3.97932      	236.242      
   4.85      	1106.23      	25366.9      	21737.1      	13039.1      	13036.9      	1.27806      	1.07643      	-3.95118      	236.192      
    4.9      	1115.44      	  25230      	21780.1      	12697.1      	12695.3      	1.27217      	1.08528      	-3.92167      	236.216      
   4.95      	1112.52      	25084.6      	21815.7      	12342.8      	12341.3      	1.26626      	1.09251      	-3.89157      	236.023      
      5      	1117.93      	  24940      	21850.4      	  11983      	11981.8      	1.26036      	1.09818      	-3.86183      	235.888      
   5.05      	 1120.7      	24789.5      	21876.2      	11618.1      	11617.3      	1.25446      	1.10242      	-3.83313      	235.539      
    5.1      	 1119.1      	24628.5      	21886.1      	11251.2      	11250.8      	1.24856      	1.10534      	-3.80556      	235.057      
   5.15      	 1125.1      	24458.9      	21881.2      	10884.9      	10884.7      	1.24268      	1.10694      	-3.77902      	234.393      
    5.2      	1121.19      	24288.7      	21870.8      	10518.4      	10518.5      	1.23681      	1.10724      	-3.75358      	233.462      
   5.25      	1125.81      	24125.5      	  21863      	10152.9      	10153.4      	1.23096      	1.10631      	-3.72943      	232.504      
    5.3      	1125.58      	23962.8      	21853.4      	9781.37      	9782.13      	1.22513      	1.10443      	-3.70619      	 231.27      
   5.35      	1125.66      	23805.8      	21847.1      	9404.85      	9405.92      	1.21933      	1.10181      	-3.68301      	229.962      
    5.4      	1130.01      	23658.1      	21846.9      	9024.99      	9026.36      	1.21357      	1.09839      	-3.65895      	 228.69      
   5.45      	 1127.1      	  23512      	21843.9      	8642.56      	8644.24      	1.20784      	1.09414      	-3.63339      	227.456      
    5.5      	1131.42      	23366.4      	21835.9      	8259.26      	8261.26      	1.20215      	1.08927      	-3.60592      	  226.4      
   5.55      	1129.65      	23225.4      	21828.7      	7871.73      	7874.06      	1.19651      	1.08417      	-3.5762      	225.442      
    5.6      	1130.79      	23094.2      	  21827      	 7480.7      	7483.37      	1.19091      	1.07895      	-3.5445      	224.671      
   5.65      	1132.72      	22968.9      	21827.6      	7082.43      	7085.45      	1.18537      	1.07362      	-3.51155      	223.932      
    5.7      	1130.51      	22848.1      	21828.1      	6678.76      	6682.13      	1.17988      	1.06825      	-3.47804      	223.233      
   5.75      	1133.99      	22729.9      	21824.5      	6275.07      	 6278.8      	1.17444      	 1.0629      	-3.44429      	222.568      
    5.8      	 1131.1      	22606.9      	21809.8      	5868.92      	   5873      	1.16907      	1.05739      	-3.41056      	  221.7      
   5.85      	1132.24      	22481.9      	21786.2      	5462.37      	5466.79      	1.16376      	1.05148      	-3.37746      	220.687      
    5.9      	1131.28      	22357.2      	21756.2      	5055.67      	5060.43      	1.15852      	1.04502      	-3.34561      	219.452      
   5.95      	1129.25      	22233.4      	21720.4      	4647.48      	4652.57      	1.15335      	1.03789      	-3.31528      	 217.97      
      6      	1130.36      	22111.4      	21680.3      	4234.21      	4239.62      	1.14825      	1.02972      	-3.28634      	 216.24      
   6.05      	1127.29      	21992.5      	21637.3      	3815.08      	 3820.8      	1.14322      	1.02005      	-3.25839      	214.305      
    6.1      	1128.08      	21878.2      	21591.4      	3395.14      	3401.18      	1.13828      	1.00864      	-3.2308      	212.406      
   6.15      	1126.15      	21761.8      	21535.9      	2974.62      	2980.98      	1.13341      	0.995358      	-3.20264      	210.571      
    6.2      	1124.57      	21642.5      	21469.6      	2555.19      	2561.88      	1.12862      	0.98022      	-3.17307      	208.943      
   6.25      	1124.44      	21527.2      	21399.4      	2136.84      	2143.88      	1.12391      	0.963412      	-3.14169      	207.692      
    6.3      	 1121.4      	21419.5      	21329.1      	1718.34      	1725.75      	1.11929      	0.945362      	-3.10866      	206.903      
