# Sensor: Sensor Sea      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:27      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      
Time [s]      	Surface elevation (origin)      [      m      ]      	Dynamic pressure (origin)      [   k Pa      ]      
----------	----------	----------      
    Min      	-0.589499 [479.9s]      	-5.93652 [479.9s]      
    Max      	0.589499 [683.5s]      	5.93652 [683.5s]      
   Mean      	0.00122325      	0.0123187      
Standard deviation      	0.416943      	 4.1988      
----------	----------	----------      
      0      	      0      	      0      
   0.05      	0.0222807      	0.224377      
    0.1      	0.0445296      	0.448433      
   0.15      	0.0667148      	0.671848      
    0.2      	0.0888047      	0.894304      
   0.25      	0.110768      	1.11548      
    0.3      	0.132572      	1.33506      
   0.35      	0.154188      	1.55274      
    0.4      	0.175583      	 1.7682      
   0.45      	0.196727      	1.98113      
    0.5      	0.217589      	2.19122      
   0.55      	0.238141      	2.39819      
    0.6      	0.258353      	2.60173      
   0.65      	0.278195      	2.80155      
    0.7      	0.29764      	2.99737      
   0.75      	0.31666      	3.18891      
    0.8      	0.335227      	3.37588      
   0.85      	0.353315      	3.55804      
    0.9      	0.370898      	3.73511      
   0.95      	0.387951      	3.90684      
      1      	0.404449      	4.07299      
   1.05      	0.42037      	4.23331      
    1.1      	0.43569      	4.38759      
   1.15      	0.450387      	 4.5356      
    1.2      	0.464441      	4.67713      
   1.25      	0.477831      	4.81197      
    1.3      	0.490538      	4.93994      
   1.35      	0.502544      	5.06084      
    1.4      	0.513832      	5.17452      
   1.45      	0.524386      	 5.2808      
    1.5      	0.53419      	5.37953      
   1.55      	0.543231      	5.47058      
    1.6      	0.551495      	5.55381      
   1.65      	0.558972      	 5.6291      
    1.7      	0.56565      	5.69635      
   1.75      	0.571519      	5.75545      
    1.8      	0.576572      	5.80634      
   1.85      	 0.5808      	5.84892      
    1.9      	0.584199      	5.88315      
   1.95      	0.586763      	5.90897      
      2      	0.588488      	5.92634      
   2.05      	0.589373      	5.93525      
    2.1      	0.589415      	5.93567      
   2.15      	0.588615      	5.92761      
    2.2      	0.586973      	5.91108      
   2.25      	0.584493      	5.88611      
    2.3      	0.581178      	5.85272      
   2.35      	0.577032      	5.81097      
    2.4      	0.572061      	5.76091      
   2.45      	0.566273      	5.70262      
    2.5      	0.559676      	5.63619      
   2.55      	0.552279      	5.56169      
    2.6      	0.544092      	5.47926      
   2.65      	0.535129      	5.38899      
    2.7      	 0.5254      	5.29101      
   2.75      	0.514921      	5.18548      
    2.8      	0.503705      	5.07254      
   2.85      	0.49177      	4.95235      
    2.9      	0.479133      	4.82508      
   2.95      	0.46581      	4.69092      
      3      	0.451822      	4.55005      
   3.05      	0.437188      	4.40268      
    3.1      	0.421929      	4.24902      
   3.15      	0.406068      	4.08929      
    3.2      	0.389626      	3.92371      
   3.25      	0.372627      	3.75252      
