# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:27      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	2911.33 [101.55s]      	5.55982e+06 [102.1s]      	5559.82 [102.1s]      	-144.933 [123.6s]      	4.99617 [316.7s]      	4.99617 [316.7s]      	79.7571 [100.05s]      	      0 [100.05s]      
    Max      	2929.58 [380.25s]      	5.59444e+06 [380.4s]      	5594.44 [380.4s]      	  143.5 [401.45s]      	5.00406 [103.45s]      	5.00406 [103.45s]      	567.041 [700.05s]      	      0 [100.05s]      
   Mean      	 2923.7      	5.58378e+06      	5583.78      	46.1689      	5.00008      	5.00008      	323.385      	      0      
Standard deviation      	3.20979      	5832.93      	5.83293      	62.5242      	0.00156289      	0.00156289      	140.691      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	4953.23      	9.45997e+06      	9459.97      	-9459.97      	      5      	      5      	0.0687948      	      0      
   0.05      	4953.23      	9.45997e+06      	9459.97      	-9459.92      	      5      	      5      	0.0687948      	      0      
    0.1      	4954.61      	9.45997e+06      	9459.97      	-9459.58      	5.00139      	5.00139      	0.137609      	      0      
   0.15      	4957.64      	9.45998e+06      	9459.98      	-9458.73      	5.00445      	5.00445      	0.206465      	      0      
    0.2      	4952.19      	9.46001e+06      	9460.01      	-9457.25      	4.99893      	4.99893      	0.275245      	      0      
   0.25      	4953.07      	9.46007e+06      	9460.07      	-9454.95      	4.99978      	4.99978      	0.344038      	      0      
    0.3      	4948.88      	9.4601e+06      	9460.09      	-9451.79      	4.99554      	4.99554      	0.412772      	      0      
   0.35      	4948.15      	9.46009e+06      	9460.09      	-9447.51      	4.99482      	4.99482      	0.481497      	      0      
    0.4      	4949.83      	9.46003e+06      	9460.03      	  -9442      	4.99653      	4.99653      	0.550244      	      0      
   0.45      	4945.46      	9.45994e+06      	9459.94      	-9435.41      	4.99217      	4.99217      	0.618931      	      0      
    0.5      	4950.15      	9.45971e+06      	9459.71      	-9426.93      	4.99703      	4.99703      	0.687683      	      0      
   0.55      	4943.36      	9.45945e+06      	9459.45      	-9417.39      	4.99031      	4.99031      	0.756341      	      0      
    0.6      	4940.58      	9.4591e+06      	 9459.1      	-9405.52      	 4.9877      	 4.9877      	0.82496      	      0      
   0.65      	4939.04      	9.45861e+06      	9458.61      	-9391.59      	 4.9864      	 4.9864      	0.893558      	      0      
    0.7      	4936.88      	9.45798e+06      	9457.98      	-9375.35      	4.98455      	4.98455      	0.962126      	      0      
   0.75      	4944.22      	9.45722e+06      	9457.22      	-9355.71      	4.99236      	4.99236      	 1.0308      	      0      
    0.8      	4942.37      	9.45639e+06      	9456.39      	-9332.18      	4.99093      	4.99093      	1.09944      	      0      
   0.85      	 4945.2      	9.45552e+06      	9455.52      	-9303.78      	4.99424      	4.99424      	1.16812      	      0      
    0.9      	4945.24      	9.45462e+06      	9454.62      	-9272.06      	4.99476      	4.99476      	1.23681      	      0      
   0.95      	4942.53      	9.45372e+06      	9453.72      	-9236.01      	4.99249      	4.99249      	1.30545      	      0      
      1      	4943.02      	9.45281e+06      	9452.81      	-9195.1      	4.99348      	4.99348      	1.37411      	      0      
   1.05      	4938.39      	9.45186e+06      	9451.86      	-9152.28      	 4.9893      	 4.9893      	1.44269      	      0      
