# Sensor: Sensor Sea      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:02      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      
Time [s]      	Surface elevation (origin)      [      m      ]      	Dynamic pressure (origin)      [   k Pa      ]      
----------	----------	----------      
    Min      	-0.7685 [480.1s]      	-7.73914 [480.1s]      
    Max      	 0.7685 [667.55s]      	7.73914 [667.55s]      
   Mean      	0.00295607      	0.0297689      
Standard deviation      	0.543642      	5.47472      
----------	----------	----------      
      0      	      0      	      0      
   0.05      	0.0315467      	0.317689      
    0.1      	0.0630402      	0.634843      
   0.15      	0.0944274      	0.950926      
    0.2      	0.125655      	1.26541      
   0.25      	0.156672      	1.57775      
    0.3      	0.187424      	1.88744      
   0.35      	0.21786      	2.19395      
    0.4      	0.247929      	2.49675      
   0.45      	0.27758      	2.79535      
    0.5      	0.306763      	3.08924      
   0.55      	0.335428      	3.37791      
    0.6      	0.363529      	 3.6609      
   0.65      	0.391016      	3.93771      
    0.7      	0.417845      	4.20788      
   0.75      	0.443969      	4.47096      
    0.8      	0.469344      	4.72651      
   0.85      	0.493929      	4.97408      
    0.9      	0.51768      	5.21327      
   0.95      	0.540559      	5.44367      
      1      	0.562527      	 5.6649      
   1.05      	0.583546      	5.87657      
    1.1      	0.603582      	6.07834      
   1.15      	 0.6226      	6.26986      
    1.2      	0.640569      	6.45081      
   1.25      	0.657457      	6.62089      
    1.3      	0.673238      	6.77981      
   1.35      	0.687883      	6.92729      
    1.4      	0.701369      	 7.0631      
   1.45      	0.713673      	  7.187      
    1.5      	0.724773      	7.29879      
   1.55      	0.734652      	7.39827      
    1.6      	0.743292      	7.48528      
   1.65      	0.750679      	7.55967      
    1.7      	 0.7568      	7.62132      
   1.75      	0.761646      	7.67012      
    1.8      	0.765208      	7.70599      
   1.85      	0.76748      	7.72887      
    1.9      	0.768458      	7.73872      
   1.95      	0.76814      	7.73552      
      2      	0.766528      	7.71928      
   2.05      	0.763624      	7.69003      
    2.1      	0.759432      	7.64782      
   2.15      	0.75396      	7.59271      
    2.2      	0.747217      	7.52481      
   2.25      	0.739214      	7.44421      
    2.3      	0.729965      	7.35107      
   2.35      	0.719485      	7.24554      
    2.4      	0.707793      	7.12779      
   2.45      	0.694907      	6.99803      
    2.5      	0.68085      	6.85647      
   2.55      	0.665646      	6.70335      
    2.6      	0.649319      	6.53893      
   2.65      	0.631897      	6.36349      
    2.7      	0.61341      	6.17732      
   2.75      	0.59389      	5.98073      
    2.8      	0.573368      	5.77407      
   2.85      	0.551879      	5.55767      
    2.9      	0.52946      	 5.3319      
   2.95      	0.506149      	5.09714      
      3      	0.481984      	4.85379      
   3.05      	0.457006      	4.60226      
    3.1      	0.431259      	4.34297      
   3.15      	0.404784      	4.07636      
    3.2      	0.377627      	3.80287      
   3.25      	0.349833      	3.52298      
    3.3      	0.32145      	3.23714      
   3.35      	0.292525      	2.94585      
    3.4      	0.263106      	 2.6496      
   3.45      	0.233244      	2.34887      
    3.5      	0.202989      	2.04419      
   3.55      	0.172391      	1.73606      
    3.6      	0.141503      	  1.425      
   3.65      	0.110377      	1.11154      
    3.7      	0.0790642      	0.796212      
   3.75      	0.0476183      	0.479538      
    3.8      	0.0160921      	0.162055      
   3.85      	-0.0154612      	-0.155701      
    3.9      	-0.0469884      	-0.473194      
   3.95      	-0.0784365      	-0.78989      
      4      	-0.109752      	-1.10525      
   4.05      	-0.140883      	-1.41876      
    4.1      	-0.171776      	-1.72987      
   4.15      	-0.20238      	-2.03806      
    4.2      	-0.232643      	-2.34282      
   4.25      	-0.262513      	-2.64362      
    4.3      	-0.291941      	-2.93997      
   4.35      	-0.320876      	-3.23137      
    4.4      	-0.349271      	-3.51732      
   4.45      	-0.377077      	-3.79734      
    4.5      	-0.404247      	-4.07095      
   4.55      	-0.430736      	-4.33771      
    4.6      	-0.456499      	-4.59715      
   4.65      	-0.481492      	-4.84884      
    4.7      	-0.505673      	-5.09236      
   4.75      	-0.529002      	-5.32729      
    4.8      	-0.55144      	-5.55324      
   4.85      	-0.572947      	-5.76983      
    4.9      	-0.593489      	-5.9767      
   4.95      	-0.61303      	-6.17349      
      5      	-0.631538      	-6.35987      
   5.05      	-0.648981      	-6.53553      
    5.1      	-0.66533      	-6.70017      
   5.15      	-0.680558      	-6.85352      
    5.2      	-0.694638      	-6.99531      
   5.25      	-0.707547      	-7.12532      
    5.3      	-0.719263      	-7.24331      
   5.35      	-0.729767      	-7.34908      
    5.4      	-0.739041      	-7.44247      
   5.45      	-0.747069      	-7.52332      
    5.5      	-0.753837      	-7.59148      
   5.55      	-0.759335      	-7.64684      
    5.6      	-0.763552      	-7.68931      
   5.65      	-0.766483      	-7.71882      
    5.7      	-0.768121      	-7.73532      
   5.75      	-0.768464      	-7.73878      
    5.8      	-0.767512      	-7.72919      
   5.85      	-0.765266      	-7.70657      
    5.9      	-0.76173      	-7.67096      
   5.95      	-0.75691      	-7.62242      
      6      	-0.750814      	-7.56103      
   6.05      	-0.743452      	-7.48689      
    6.1      	-0.734837      	-7.40013      
   6.15      	-0.724983      	-7.3009      
    6.2      	-0.713907      	-7.18936      
   6.25      	-0.701627      	-7.0657      
    6.3      	-0.688164      	-6.93013      
   6.35      	-0.673542      	-6.78287      
    6.4      	-0.657784      	-6.62418      
   6.45      	-0.640917      	-6.45432      
    6.5      	-0.62297      	-6.27359      
   6.55      	-0.603972      	-6.08227      
    6.6      	-0.583957      	-5.88071      
   6.65      	-0.562957      	-5.66923      
    6.7      	-0.541008      	-5.44819      
   6.75      	-0.518146      	-5.21797      
    6.8      	-0.494412      	-4.97895      
   6.85      	-0.469844      	-4.73154      
    6.9      	-0.444484      	-4.47615      
   6.95      	-0.418374      	-4.21322      
      7      	-0.39156      	-3.94318      
   7.05      	-0.364085      	-3.6665      
    7.1      	-0.335996      	-3.38363      
   7.15      	-0.307341      	-3.09506      
    7.2      	-0.278168      	-2.80128      
   7.25      	-0.248526      	-2.50277      
    7.3      	-0.218465      	-2.20004      
   7.35      	-0.188036      	-1.8936      
    7.4      	-0.157289      	-1.58397      
   7.45      	-0.126278      	-1.27168      
    7.5      	-0.0950537      	-0.957233      
   7.55      	-0.0636691      	-0.641177      
    7.6      	-0.0321772      	-0.324039      
   7.65      	-0.000631111      	-0.00635557      
    7.7      	0.0309161      	0.311339      
   7.75      	0.0624112      	0.628508      
    7.8      	0.093801      	0.944618      
   7.85      	0.125033      	1.25914      
    7.9      	0.156054      	1.57153      
   7.95      	0.186812      	1.88128      
      8      	0.217255      	2.18785      
   8.05      	0.247331      	2.49074      
    8.1      	0.276991      	2.78942      
   8.15      	0.306184      	3.08341      
    8.2      	0.33486      	 3.3722      
   8.25      	0.362973      	 3.6553      
    8.3      	0.390473      	3.93224      
   8.35      	0.417315      	4.20255      
    8.4      	0.443453      	4.46577      
   8.45      	0.468844      	4.72147      
    8.5      	0.493445      	4.96921      
   8.55      	0.517214      	5.20857      
    8.6      	0.54011      	5.43915      
   8.65      	0.562097      	5.66057      
    8.7      	0.583135      	5.87244      
   8.75      	0.603191      	6.07441      
    8.8      	0.62223      	6.26614      
   8.85      	0.64022      	 6.4473      
    8.9      	0.65713      	 6.6176      
   8.95      	0.672933      	6.77674      
      9      	0.687602      	6.92446      
   9.05      	0.701111      	 7.0605      
    9.1      	0.713438      	7.18464      
   9.15      	0.724563      	7.29667      
    9.2      	0.734466      	 7.3964      
   9.25      	0.743131      	7.48366      
    9.3      	0.750543      	7.55831      
   9.35      	0.75669      	7.62021      
    9.4      	0.761562      	7.66927      
   9.45      	0.765149      	 7.7054      
    9.5      	0.767447      	7.72854      
   9.55      	0.768451      	7.73865      
    9.6      	0.768159      	7.73571      
   9.65      	0.766573      	7.71973      
    9.7      	0.763694      	7.69074      
   9.75      	0.759528      	7.64879      
    9.8      	0.754082      	7.59394      
   9.85      	0.747364      	7.52629      
    9.9      	0.739386      	7.44595      
   9.95      	0.730162      	7.35306      
     10      	0.719707      	7.24777      
  10.05      	0.708039      	7.13027      
   10.1      	0.695177      	7.00074      
  10.15      	0.681143      	6.85942      
   10.2      	0.665961      	6.70652      
  10.25      	0.649656      	6.54233      
   10.3      	0.632256      	 6.3671      
  10.35      	0.61379      	6.18115      
   10.4      	0.59429      	5.98477      
  10.45      	0.573788      	 5.7783      
   10.5      	0.552318      	5.56209      
  10.55      	0.529917      	 5.3365      
   10.6      	0.506623      	5.10192      
  10.65      	0.482475      	4.85874      
   10.7      	0.457514      	4.60737      
  10.75      	0.431781      	4.34823      
   10.8      	0.40532      	4.08176      
  10.85      	0.378176      	3.80841      
   10.9      	0.350395      	3.52864      
  10.95      	0.322023      	3.24292      
     11      	0.293108      	2.95173      
  11.05      	0.263699      	2.65557      
   11.1      	0.233845      	2.35493      
  11.15      	0.203597      	2.05032      
   11.2      	0.173006      	1.74225      
  11.25      	0.142124      	1.43125      
   11.3      	0.111001      	1.11783      
  11.35      	0.079692      	0.802534      
   11.4      	0.0482482      	0.485881      
  11.45      	0.0167231      	0.168409      
   11.5      	-0.0148302      	-0.149347      
  11.55      	-0.0463585      	-0.466851      
   11.6      	-0.0778086      	-0.783568      
  11.65      	-0.109128      	-1.09896      
   11.7      	-0.140263      	-1.41251      
  11.75      	-0.171161      	-1.72367      
   11.8      	-0.201771      	-2.03193      
  11.85      	-0.232041      	-2.33676      
   11.9      	-0.26192      	-2.63765      
  11.95      	-0.291357      	-2.93409      
     12      	-0.320303      	-3.22559      
  12.05      	-0.348709      	-3.51166      
   12.1      	-0.376527      	-3.7918      
  12.15      	-0.403711      	-4.06555      
   12.2      	-0.430213      	-4.33244      
  12.25      	-0.455991      	-4.59203      
   12.3      	 -0.481      	-4.84389      
  12.35      	-0.505198      	-5.08757      
   12.4      	-0.528544      	-5.32268      
  12.45      	 -0.551      	-5.54882      
   12.5      	-0.572526      	-5.7656      
  12.55      	-0.593088      	-5.97266      
   12.6      	-0.612649      	-6.16965      
  12.65      	-0.631178      	-6.35625      
   12.7      	-0.648643      	-6.53212      
  12.75      	-0.665014      	-6.69699      
   12.8      	-0.680264      	-6.85057      
  12.85      	-0.694368      	-6.99259      
   12.9      	-0.7073      	-7.12283      
  12.95      	-0.719041      	-7.24106      
     13      	-0.729569      	-7.34709      
  13.05      	-0.738868      	-7.44073      
   13.1      	-0.746921      	-7.52182      
  13.15      	-0.753714      	-7.59024      
