# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:01      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	900.544 [144.3s]      	56721.9 [228.45s]      	  56187 [228.1s]      	-11276.2 [431.35s]      	-11251.4 [431.35s]      	      0 [100.05s]      	9.11042 [168.25s]      	-5.45185 [401.4s]      	320.567 [227.45s]      
    Max      	 1850.8 [157.1s]      	64106.5 [240.15s]      	59891.2 [155.95s]      	23115.2 [325.1s]      	23119.7 [325.1s]      	      0 [100.05s]      	10.1401 [240.4s]      	-2.84556 [414.55s]      	610.633 [240.25s]      
   Mean      	1420.07      	59564.7      	57982.6      	5929.01      	5943.37      	      0      	9.60191      	-4.14232      	458.375      
Standard deviation      	329.522      	2499.41      	1206.66      	12206.4      	12199.3      	      0      	0.357487      	0.928028      	102.337      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	4.34343e-11      	7.62483e-11      	-7.56135e-11      	9.10195e-12      	9.02214e-12      	      0      	-3.97893      	-2.67379      	-1.63103e-12      
   0.05      	1869.99      	179.464      	152.624      	94.0795      	94.1742      	      0      	-3.96786      	-2.67129      	4.22186      
    0.1      	678.675      	195.236      	194.263      	-17.1488      	-16.9741      	      0      	-3.93257      	-2.66614      	3.63137      
   0.15      	946.427      	136.819      	136.499      	 6.5488      	6.67197      	      0      	-3.87542      	-2.66224      	2.96655      
    0.2      	1571.71      	420.632      	419.594      	21.7372      	22.0649      	      0      	-3.79603      	-2.65621      	7.98881      
   0.25      	 326.27      	915.872      	913.987      	-42.206      	-41.7883      	      0      	-3.69876      	-2.64762      	8.65575      
    0.3      	1766.72      	1309.63      	1306.59      	67.3133      	67.8485      	      0      	-3.59724      	-2.63957      	13.7388      
   0.35      	561.139      	1765.35      	1763.52      	-20.0189      	-19.5025      	      0      	-3.49654      	-2.63735      	 11.404      
    0.4      	1203.71      	2360.64      	2357.76      	52.2084      	52.8388      	      0      	-3.39827      	-2.64636      	15.5943      
   0.45      	1254.29      	2954.05      	2950.53      	62.7193      	63.3463      	      0      	-3.29825      	-2.65804      	15.7448      
    0.5      	584.363      	3625.27      	3621.79      	3.61689      	4.20384      	      0      	-3.19487      	-2.67136      	13.5363      
   0.55      	1624.77      	4180.21      	4173.87      	139.502      	 140.11      	      0      	-3.08824      	-2.69133      	16.9892      
    0.6      	534.439      	4772.18      	4766.82      	87.4818      	87.8933      	      0      	-2.98044      	-2.71271      	11.3436      
   0.65      	1358.79      	5209.18      	5198.32      	247.429      	 247.98      	      0      	-2.88285      	-2.73253      	18.0384      
    0.7      	 1005.5      	5342.06      	5330.97      	253.053      	253.372      	      0      	-2.79543      	-2.74924      	  12.83      
   0.75      	823.393      	5614.63      	5602.02      	285.361      	285.789      	      0      	-2.7148      	-2.76382      	16.0342      
    0.8      	 1441.3      	5789.64      	5769.44      	411.739      	412.276      	      0      	-2.64284      	-2.77762      	21.2835      
   0.85      	588.968      	5974.35      	5954.31      	413.549      	414.027      	      0      	-2.58267      	-2.78644      	19.9739      
    0.9      	1417.54      	6226.37      	 6192.6      	587.656      	588.454      	      0      	-2.53717      	-2.78742      	31.1171      
   0.95      	824.195      	6380.53      	6342.25      	639.815      	640.578      	      0      	-2.5054      	-2.78325      	31.4386      
      1      	1041.49      	6569.72      	6512.19      	818.513      	819.566      	      0      	-2.48814      	-2.78071      	41.9988      
   1.05      	1205.28      	6542.68      	6461.07      	989.639      	990.826      	      0      	-2.47729      	-2.78024      	48.8219      
    1.1      	743.543      	6656.61      	6561.47      	   1083      	1084.22      	      0      	-2.46377      	-2.78388      	51.6511      
   1.15      	1324.93      	6869.69      	6731.94      	1335.27      	1336.84      	      0      	-2.44347      	-2.79252      	 65.286      
    1.2      	800.725      	6864.19      	6703.41      	1446.21      	1447.66      	      0      	-2.41223      	-2.80772      	 64.805      
   1.25      	1109.98      	6954.58      	6731.65      	1720.12      	1721.83      	      0      	-2.37272      	-2.83076      	76.8495      
    1.3      	 1080.9      	6972.05      	6681.59      	1968.25      	1969.95      	      0      	-2.32459      	-2.85539      	81.8714      
   1.35      	835.216      	7086.32      	6729.03      	2200.49      	2202.21      	      0      	-2.26635      	-2.88294      	87.3264      
    1.4      	1263.15      	 7302.7      	6833.68      	 2555.7      	2557.56      	      0      	-2.19703      	-2.91584      	98.4158      
   1.45      	783.766      	7635.05      	7098.09      	 2793.8      	2795.44      	      0      	-2.11333      	-2.95207      	98.6714      
    1.5      	1180.28      	 8327.2      	7697.63      	3156.49      	3158.34      	      0      	-2.01584      	-2.98944      	111.204      
   1.55      	973.435      	9005.88      	8302.99      	3467.31      	3468.94      	      0      	-1.90536      	-3.0234      	113.123      
    1.6      	961.238      	 9805.7      	9027.24      	3806.69      	3808.33      	      0      	 -1.781      	-3.05448      	120.732      
   1.65      	1177.09      	  10692      	9811.05      	4226.34      	4228.03      	      0      	-1.63845      	-3.08401      	130.802      
    1.7      	850.115      	11595.9      	10639.1      	4586.83      	4588.36      	      0      	-1.47486      	-3.11264      	135.095      
   1.75      	1204.54      	12641.8      	11590.2      	5020.44      	 5022.1      	      0      	-1.29015      	-3.14065      	147.702      
    1.8      	942.107      	13675.9      	12552.7      	5397.71      	 5399.2      	      0      	-1.08372      	-3.17086      	152.039      
   1.85      	1075.36      	14788.6      	13582.5      	5817.17      	5818.71      	      0      	-0.861731      	-3.20751      	162.151      
    1.9      	1118.64      	15845.7      	14549.8      	6241.66      	6243.17      	      0      	-0.632082      	-3.24795      	170.749      
   1.95      	962.027      	16861.6      	15480.4      	 6646.9      	6648.31      	      0      	-0.399225      	-3.29143      	177.219      
      2      	 1203.3      	17961.8      	16470.9      	7126.25      	7127.69      	      0      	-0.165394      	-3.33819      	188.327      
   2.05      	 989.85      	19097.6      	  17527      	7543.17      	7544.43      	      0      	0.068653      	-3.39028      	193.509      
    2.1      	1152.05      	20268.9      	18590.7      	8031.97      	 8033.2      	      0      	0.300105      	-3.44854      	203.521      
   2.15      	   1123      	21414.4      	19646.1      	8475.18      	8476.25      	      0      	0.52649      	-3.5085      	 209.39      
    2.2      	 1069.1      	22603.5      	20750.2      	8915.19      	8916.19      	      0      	0.746607      	-3.56919      	217.422      
   2.25      	1237.16      	23684.9      	21733.8      	9362.92      	9363.92      	      0      	0.961233      	-3.62862      	227.151      
    2.3      	1066.65      	24672.8      	22627.9      	9782.32      	9783.27      	      0      	1.17337      	-3.68426      	235.225      
   2.35      	1243.73      	25668.2      	23517.7      	10230.1      	10231.2      	      0      	1.38475      	-3.73445      	 247.95      
    2.4      	1161.41      	26638.1      	24395.1      	10642.8      	10643.9      	      0      	1.59464      	-3.77781      	257.658      
   2.45      	1191.94      	27576.2      	25242.9      	11043.4      	11044.7      	      0      	1.80023      	-3.81655      	270.106      
    2.5      	1277.15      	  28453      	26030.8      	11428.1      	11429.5      	      0      	 2.0004      	-3.85225      	281.868      
   2.55      	1174.69      	29338.5      	26851.4      	11759.6      	11761.2      	      0      	2.19588      	-3.88556      	292.839      
    2.6      	1332.29      	30208.5      	27656.2      	12088.7      	12090.6      	      0      	2.38685      	-3.91571      	305.151      
   2.65      	1235.28      	31061.9      	28459.9      	12378.9      	12380.8      	      0      	2.57444      	-3.94421      	  314.4      
    2.7      	 1318.1      	31952.7      	29295.4      	12689.1      	12691.3      	      0      	2.75988      	-3.97412      	325.988      
   2.75      	1334.38      	32801.6      	30101.1      	12962.6      	12964.9      	      0      	 2.9436      	-4.00549      	335.369      
    2.8      	1300.22      	33647.5      	30917.2      	13203.8      	13206.2      	      0      	 3.1258      	-4.0386      	344.503      
   2.85      	1405.47      	34477.6      	  31728      	13416.1      	13418.7      	      0      	3.30753      	-4.07349      	353.306      
    2.9      	1335.04      	35323.1      	32575.7      	13579.1      	13581.9      	      0      	3.49063      	-4.11012      	359.849      
   2.95      	1422.48      	36178.8      	33433.7      	13741.1      	13744.1      	      0      	3.67541      	-4.14686      	368.335      
      3      	1412.88      	36973.1      	34242.3      	13859.9      	  13863      	      0      	3.86068      	-4.1792      	374.378      
   3.05      	1413.83      	  37785      	  35078      	13955.1      	13958.5      	      0      	4.04542      	-4.20586      	381.776      
    3.1      	1485.94      	38591.6      	35915.6      	14027.5      	14031.1      	      0      	 4.2289      	 -4.227      	388.943      
   3.15      	1430.78      	  39373      	36747.2      	  14041      	14044.9      	      0      	4.41141      	 -4.243      	395.095      
    3.2      	1519.14      	  40152      	37580.3      	14037.5      	14041.6      	      0      	 4.5936      	-4.25408      	402.154      
   3.25      	1489.96      	40930.3      	38430.5      	13978.5      	13982.9      	      0      	4.77483      	-4.25959      	407.351      
    3.3      	1524.21      	41715.8      	  39293      	13897.7      	13902.5      	      0      	 4.9538      	-4.26086      	414.038      
   3.35      	1559.62      	42416.8      	40073.4      	13786.4      	13791.6      	      0      	5.13007      	-4.25924      	419.412      
    3.4      	1529.42      	43090.3      	40830.1      	13649.5      	  13655      	      0      	5.30408      	-4.25571      	424.729      
   3.45      	1600.56      	43762.7      	41585.7      	13502.4      	13508.3      	      0      	5.47584      	-4.25162      	430.316      
    3.5      	1563.46      	44395.5      	42312.5      	13304.2      	13310.5      	      0      	5.64461      	-4.2492      	433.664      
   3.55      	1609.74      	  45034      	43046.6      	13088.6      	13095.2      	      0      	5.81044      	-4.25042      	437.605      
    3.6      	1616.23      	45641.5      	  43756      	12833.9      	12840.9      	      0      	5.97384      	-4.25409      	439.952      
   3.65      	1610.77      	46228.1      	44446.8      	  12552      	12559.3      	      0      	6.13427      	-4.25838      	441.908      
    3.7      	1656.22      	46780.9      	45102.5      	12252.7      	12260.4      	      0      	6.29047      	-4.26142      	 443.49      
   3.75      	1625.85      	47304.6      	45730.9      	11925.3      	11933.3      	      0      	6.44232      	-4.26211      	443.949      
    3.8      	1668.08      	47830.7      	46357.7      	11594.5      	11602.9      	      0      	6.59063      	-4.25981      	445.031      
   3.85      	1659.45      	48321.2      	46955.3      	11212.8      	11221.5      	      0      	6.73478      	-4.25276      	444.494      
    3.9      	1666.12      	48812.8      	47556.2      	10796.9      	  10806      	      0      	6.87397      	-4.24066      	 443.83      
   3.95      	1694.25      	49307.6      	48159.4      	10357.7      	10367.1      	      0      	7.00855      	-4.22353      	442.835      
      4      	1671.33      	49767.7      	48727.7      	9884.52      	9894.35      	      0      	 7.1384      	-4.20121      	441.109      
   4.05      	1708.35      	50174.8      	49237.4      	 9399.9      	9410.11      	      0      	7.26293      	-4.17364      	 439.03      
    4.1      	1688.06      	50534.9      	49698.2      	8885.88      	8896.43      	      0      	7.38135      	-4.14116      	435.698      
   4.15      	1703.02      	50884.5      	50142.8      	8363.15      	8374.05      	      0      	7.49255      	-4.10625      	432.181      
    4.2      	 1709.7      	51192.2      	50541.4      	7819.12      	7830.34      	      0      	7.59569      	-4.07143      	427.557      
   4.25      	1695.22      	51449.2      	  50886      	7246.57      	7258.07      	      0      	 7.6897      	-4.03768      	421.797      
    4.3      	1719.05      	51684.1      	51202.4      	6661.23      	6673.04      	      0      	7.77239      	-4.00466      	415.887      
   4.35      	1697.34      	51884.3      	51478.7      	6057.43      	6069.57      	      0      	7.84135      	-3.97208      	410.225      
    4.4      	1712.24      	52020.3      	51682.6      	5454.07      	5466.59      	      0      	7.89716      	-3.94025      	405.792      
   4.45      	1704.84      	52090.5      	51813.7      	4843.84      	4856.81      	      0      	7.94415      	 -3.909      	402.666      
    4.5      	 1697.2      	52132.1      	51908.6      	4234.68      	4248.16      	      0      	 7.9873      	-3.87846      	401.223      
   4.55      	1708.68      	52149.9      	51973.2      	3615.21      	3629.25      	      0      	8.02947      	-3.84863      	400.292      
    4.6      	1688.11      	52138.7      	  52002      	2982.94      	2997.51      	      0      	8.07124      	-3.81908      	398.752      
   4.65      	 1699.9      	52109.7      	52004.6      	2369.32      	2384.36      	      0      	8.11241      	-3.78853      	396.018      
    4.7      	1684.55      	52090.7      	52009.1      	1778.51      	1793.94      	      0      	8.15197      	-3.75474      	 391.99      
   4.75      	 1680.2      	52130.1      	52064.5      	1223.79      	1239.56      	      0      	8.18779      	-3.71671      	387.442      
    4.8      	1680.87      	52273.3      	52217.2      	700.799      	716.892      	      0      	8.21839      	-3.67496      	383.469      
   4.85      	1665.88      	  52519      	52467.1      	195.351      	211.808      	      0      	8.24357      	-3.6312      	380.763      
    4.9      	 1677.1      	52804.3      	52751.6      	-308.237      	-291.401      	      0      	8.26376      	-3.58752      	378.432      
   4.95      	1663.72      	  53087      	53028.5      	-826.802      	-809.578      	      0      	8.28001      	-3.54558      	375.999      
      5      	 1667.4      	53351.3      	53281.9      	-1349.92      	-1332.31      	      0      	 8.2942      	-3.50669      	373.508      
   5.05      	1662.56      	53569.3      	53483.9      	-1876.36      	-1858.36      	      0      	8.30842      	-3.47101      	370.708      
    5.1      	1651.14      	53724.7      	53618.7      	-2394.27      	-2375.92      	      0      	8.32365      	-3.43763      	367.568      
   5.15      	1652.44      	53824.5      	53694.1      	-2892.84      	-2874.16      	      0      	8.33932      	-3.40562      	364.077      
    5.2      	1635.57      	53897.3      	53739.3      	-3369.63      	-3350.64      	      0      	8.35431      	-3.37476      	360.821      
   5.25      	1635.12      	53955.7      	53767.3      	-3825.93      	-3806.64      	      0      	8.36774      	-3.34532      	357.716      
    5.3      	1624.17      	54004.8      	53781.9      	-4285.76      	-4266.17      	      0      	8.37928      	-3.31686      	354.618      
   5.35      	1615.57      	  54073      	53810.4      	-4760.68      	-4740.76      	      0      	8.38867      	-3.28831      	351.749      
    5.4      	1613.57      	54170.7      	53862.6      	-5254.39      	-5234.11      	      0      	8.39554      	-3.25854      	 349.21      
   5.45      	 1599.5      	54274.7      	  53915      	-5764.11      	-5743.46      	      0      	8.40005      	-3.22679      	346.618      
    5.5      	1598.29      	54368.1      	53951.6      	-6279.18      	-6258.18      	      0      	  8.403      	-3.19228      	343.533      
   5.55      	1584.97      	54461.6      	53983.5      	-6793.75      	-6772.39      	      0      	8.40508      	-3.15402      	340.403      
    5.6      	1577.35      	54563.4      	54021.5      	-7290.38      	-7268.67      	      0      	8.40644      	-3.11194      	337.604      
