# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:03      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	13929.8 [353.8s]      	1.88503e+07 [323.75s]      	18850.3 [323.75s]      	-453.317 [106.3s]      	7.05332 [215.05s]      	7.05332 [215.05s]      	386.762 [100.05s]      	      0 [100.05s]      
    Max      	13979.9 [105.8s]      	1.88897e+07 [350.5s]      	18889.7 [350.5s]      	504.952 [163.25s]      	7.07076 [241.75s]      	7.07076 [241.75s]      	2712.53 [700.05s]      	      0 [100.05s]      
   Mean      	13954.6      	1.88701e+07      	18870.1      	225.253      	7.06176      	7.06176      	1549.65      	      0      
Standard deviation      	11.7367      	11725.5      	11.7255      	 186.65      	0.00331222      	0.00331222      	671.474      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	13591.7      	1.85415e+07      	18541.5      	-18541.5      	      7      	      7      	0.188773      	      0      
   0.05      	13591.7      	1.85415e+07      	18541.5      	-18541.4      	      7      	      7      	0.188773      	      0      
    0.1      	13593.5      	1.85415e+07      	18541.5      	-18540.2      	7.00093      	7.00093      	0.377571      	      0      
   0.15      	13606.8      	1.85416e+07      	18541.6      	-18537.3      	7.00777      	7.00777      	0.566554      	      0      
    0.2      	13585.7      	1.85416e+07      	18541.6      	-18532.2      	 6.9969      	 6.9969      	0.755245      	      0      
   0.25      	13587.4      	1.85417e+07      	18541.7      	-18523.8      	6.99775      	6.99775      	0.943959      	      0      
    0.3      	13573.2      	1.85417e+07      	18541.7      	-18512.2      	6.99042      	6.99042      	1.13248      	      0      
   0.35      	13568.3      	1.85416e+07      	18541.6      	-18496.2      	6.98796      	6.98796      	1.32092      	      0      
    0.4      	13575.5      	1.85414e+07      	18541.4      	-18475.3      	6.99171      	6.99171      	1.50947      	      0      
   0.45      	13558.5      	1.8541e+07      	  18541      	-18449.5      	 6.9831      	 6.9831      	1.69778      	      0      
    0.5      	13574.7      	1.85405e+07      	18540.5      	-18416.3      	6.99166      	6.99166      	1.88632      	      0      
   0.55      	13550.2      	1.85399e+07      	18539.9      	-18377.8      	6.97927      	6.97927      	2.07452      	      0      
    0.6      	13537.4      	1.8539e+07      	  18539      	-18329.3      	6.97298      	6.97298      	2.26254      	      0      
   0.65      	13533.4      	1.85379e+07      	18537.9      	-18271.8      	6.97134      	6.97134      	 2.4505      	      0      
    0.7      	13525.2      	1.85365e+07      	18536.5      	-18203.8      	6.96766      	6.96766      	2.63835      	      0      
   0.75      	13553.5      	1.85349e+07      	18534.9      	-18121.9      	6.98285      	6.98285      	2.82659      	      0      
    0.8      	13548.4      	1.8533e+07      	  18533      	-18030.2      	6.98094      	6.98094      	3.01477      	      0      
   0.85      	13557.5      	1.85312e+07      	18531.2      	-17921.7      	6.98632      	6.98632      	3.20307      	      0      
    0.9      	13560.8      	1.85292e+07      	18529.2      	-17801.3      	6.98875      	6.98875      	3.39141      	      0      
   0.95      	13548.9      	1.85273e+07      	18527.3      	-17666.1      	6.98334      	6.98334      	3.57959      	      0      
      1      	13553.4      	1.85253e+07      	18525.3      	-17516.6      	6.98639      	6.98639      	3.76783      	      0      
   1.05      	13536.6      	1.85234e+07      	18523.4      	-17361.3      	6.97848      	6.97848      	3.95584      	      0      
    1.1      	13557.3      	1.85213e+07      	18521.3      	-17197.2      	6.98992      	6.98992      	4.14413      	      0      
   1.15      	13547.7      	1.85193e+07      	18519.3      	-17038.6      	6.98574      	6.98574      	 4.3323      	      0      
    1.2      	13547.6      	1.85173e+07      	18517.3      	-16880.4      	6.98646      	6.98646      	4.52046      	      0      
   1.25      	13537.8      	1.85153e+07      	18515.3      	 -16728      	6.98214      	6.98214      	4.70848      	      0      
    1.3      	13511.4      	1.85132e+07      	18513.2      	-16586.1      	6.96928      	6.96928      	4.89614      	      0      
   1.35      	13512.3      	1.8511e+07      	  18511      	-16450.6      	6.97061      	6.97061      	5.08381      	      0      
    1.4      	13500.9      	1.85087e+07      	18508.7      	-16331.3      	6.96561      	6.96561      	5.27132      	      0      
   1.45      	13501.1      	1.85061e+07      	18506.1      	-16219.8      	 6.9667      	 6.9667      	5.45884      	      0      
    1.5      	13507.6      	1.85034e+07      	18503.4      	-16116.3      	6.97105      	6.97105      	5.64645      	      0      
   1.55      	13498.2      	1.85005e+07      	18500.5      	-16015.4      	6.96728      	6.96728      	5.83392      	      0      
    1.6      	13503.5      	1.84976e+07      	18497.6      	-15911.2      	6.97112      	6.97112      	6.02147      	      0      
   1.65      	  13482      	1.84945e+07      	18494.5      	-15813.3      	6.96119      	6.96119      	6.20872      	      0      
    1.7      	13475.3      	1.84913e+07      	18491.3      	-15713.2      	6.95891      	6.95891      	6.39588      	      0      
   1.75      	13471.3      	1.84879e+07      	18487.9      	-15619.2      	6.95814      	6.95814      	6.58298      	      0      
    1.8      	13467.8      	1.84843e+07      	18484.3      	-15518.4      	6.95765      	6.95765      	6.77003      	      0      
   1.85      	13465.7      	1.84806e+07      	18480.6      	-15405.6      	6.95799      	6.95799      	6.95705      	      0      
    1.9      	13449.6      	1.84767e+07      	18476.7      	-15277.7      	6.95117      	6.95117      	7.14385      	      0      
   1.95      	13436.3      	1.84726e+07      	18472.6      	-15126.6      	6.94582      	6.94582      	7.33047      	      0      
      2      	13411.4      	1.84682e+07      	18468.2      	-14959.9      	 6.9346      	 6.9346      	7.51674      	      0      
   2.05      	13390.6      	1.84635e+07      	18463.5      	-14774.2      	6.92563      	6.92563      	7.70272      	      0      
