# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:19      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	7040.38 [106.15s]      	1.19578e+07 [114.45s]      	11957.8 [114.45s]      	-278.04 [279.2s]      	5.61888 [113.2s]      	5.61888 [113.2s]      	195.993 [100.05s]      	      0 [100.05s]      
    Max      	7062.35 [349.95s]      	1.1984e+07 [350.75s]      	  11984 [350.75s]      	256.221 [138.8s]      	5.63031 [421s]      	5.63031 [421s]      	1371.33 [700.05s]      	      0 [100.05s]      
   Mean      	7052.02      	1.19722e+07      	11972.2      	87.2069      	5.62486      	5.62486      	783.652      	      0      
Standard deviation      	4.99974      	 6413.6      	 6.4136      	110.358      	0.00223576      	0.00223576      	339.339      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	8559.18      	1.36224e+07      	13622.4      	-13622.4      	      6      	      6      	0.118877      	      0      
   0.05      	8559.18      	1.36224e+07      	13622.4      	-13622.3      	      6      	      6      	0.118877      	      0      
    0.1      	 8561.1      	1.36224e+07      	13622.4      	-13621.6      	6.00135      	6.00135      	0.237782      	      0      
   0.15      	8567.84      	1.36224e+07      	13622.4      	-13619.8      	6.00606      	6.00606      	0.356779      	      0      
    0.2      	8556.51      	1.36224e+07      	13622.4      	-13616.7      	5.99809      	5.99809      	0.47562      	      0      
   0.25      	8557.86      	1.36225e+07      	13622.5      	-13611.7      	5.99902      	5.99902      	0.594479      	      0      
    0.3      	8549.68      	1.36225e+07      	13622.5      	-13604.7      	5.99327      	5.99327      	0.713225      	      0      
   0.35      	8547.62      	1.36225e+07      	13622.5      	 -13595      	5.99184      	5.99184      	0.831942      	      0      
    0.4      	8551.28      	1.36224e+07      	13622.4      	-13582.4      	5.99446      	5.99446      	0.950709      	      0      
   0.45      	8542.17      	1.36222e+07      	13622.2      	-13566.8      	5.98816      	5.98816      	1.06935      	      0      
    0.5      	8551.48      	1.36219e+07      	13621.9      	-13546.8      	5.99481      	5.99481      	1.18812      	      0      
   0.55      	8537.86      	1.36215e+07      	13621.5      	-13523.6      	5.98542      	5.98542      	 1.3067      	      0      
    0.6      	8531.57      	1.3621e+07      	  13621      	-13494.5      	5.98123      	5.98123      	 1.4252      	      0      
   0.65      	8528.97      	1.36204e+07      	13620.4      	-13459.9      	5.97968      	5.97968      	1.54365      	      0      
    0.7      	8524.62      	1.36196e+07      	13619.6      	-13419.1      	  5.977      	  5.977      	1.66205      	      0      
   0.75      	8539.98      	1.36186e+07      	13618.6      	-13369.7      	 5.9882      	 5.9882      	1.78066      	      0      
    0.8      	8536.87      	1.36175e+07      	13617.5      	-13314.9      	5.98649      	5.98649      	1.89923      	      0      
   0.85      	 8542.4      	1.36164e+07      	13616.4      	-13249.8      	5.99086      	5.99086      	2.01787      	      0      
    0.9      	8543.51      	1.36152e+07      	13615.2      	-13177.6      	5.99215      	5.99215      	2.13653      	      0      
   0.95      	8537.65      	1.36141e+07      	13614.1      	-13096.1      	5.98854      	5.98854      	2.25511      	      0      
      1      	8539.55      	1.36129e+07      	13612.9      	 -13005      	5.99038      	5.99038      	2.37372      	      0      
   1.05      	 8530.4      	1.36118e+07      	13611.8      	-12910.2      	5.98448      	5.98448      	 2.4922      	      0      
    1.1      	8541.48      	1.36105e+07      	13610.5      	-12808.2      	5.99279      	5.99279      	2.61083      	      0      
   1.15      	8536.02      	1.36093e+07      	13609.3      	-12708.9      	 5.9895      	 5.9895      	2.72938      	      0      
    1.2      	8536.11      	1.36081e+07      	13608.1      	-12607.8      	5.99009      	5.99009      	2.84794      	      0      
   1.25      	8530.55      	1.36069e+07      	13606.9      	-12508.7      	5.98672      	5.98672      	2.96642      	      0      
    1.3      	8515.89      	1.36056e+07      	13605.6      	-12414.6      	5.97698      	5.97698      	 3.0847      	      0      
   1.35      	8516.02      	1.36043e+07      	13604.3      	-12323.2      	5.97767      	5.97767      	3.20297      	      0      
    1.4      	8508.95      	1.36028e+07      	13602.8      	-12242.7      	5.97336      	5.97336      	3.32115      	      0      
   1.45      	8508.85      	1.36012e+07      	13601.2      	-12169.5      	  5.974      	  5.974      	3.43933      	      0      
    1.5      	8511.43      	1.35995e+07      	13599.5      	-12106.4      	5.97657      	5.97657      	3.55755      	      0      
   1.55      	8506.21      	1.35976e+07      	13597.6      	-12051.4      	5.97371      	5.97371      	3.67569      	      0      
    1.6      	8508.41      	1.35957e+07      	13595.7      	-11999.4      	5.97611      	5.97611      	3.79386      	      0      
   1.65      	8496.29      	1.35937e+07      	13593.7      	-11954.9      	5.96849      	5.96849      	3.91187      	      0      
    1.7      	8491.92      	1.35915e+07      	13591.5      	-11908.3      	5.96636      	5.96636      	4.02981      	      0      
   1.75      	8488.78      	1.35892e+07      	13589.2      	-11863.1      	5.96516      	5.96516      	4.14771      	      0      
    1.8      	8486.24      	1.35868e+07      	13586.8      	-11809.2      	5.96446      	5.96446      	4.26557      	      0      
   1.85      	8484.27      	1.35842e+07      	13584.2      	-11743.9      	5.96421      	5.96421      	4.38341      	      0      
    1.9      	8474.86      	1.35814e+07      	13581.4      	-11665.3      	5.95879      	5.95879      	4.50112      	      0      
   1.95      	8466.86      	1.35785e+07      	13578.5      	-11570.3      	5.95444      	5.95444      	4.61871      	      0      
      2      	8452.17      	1.35754e+07      	13575.4      	-11463.7      	5.94547      	5.94547      	 4.7361      	      0      
   2.05      	8439.84      	1.3572e+07      	  13572      	-11345.7      	5.93828      	5.93828      	4.85332      	      0      
    2.1      	8429.41      	1.35683e+07      	13568.3      	-11214.7      	5.93257      	5.93257      	 4.9704      	      0      
   2.15      	8419.69      	1.35642e+07      	13564.2      	 -11074      	5.92751      	5.92751      	5.08734      	      0      
    2.2      	8416.78      	1.35598e+07      	13559.8      	-10918.1      	5.92741      	5.92741      	5.20424      	      0      
   2.25      	8406.99      	1.3555e+07      	  13555      	-10756.4      	5.92261      	5.92261      	  5.321      	      0      
    2.3      	8398.37      	1.35498e+07      	13549.8      	-10583.5      	 5.9188      	 5.9188      	5.43765      	      0      
