# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:16      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	 543.31 [181.25s]      	37365.3 [165.85s]      	37161.6 [126.25s]      	-13531.5 [114.9s]      	-13507.3 [114.9s]      	      0 [100.05s]      	4.63375 [168.25s]      	-4.86173 [162.95s]      	260.121 [125.55s]      
    Max      	 1417.2 [389.2s]      	44497.4 [162.75s]      	39332.1 [323.4s]      	20920.5 [109.45s]      	20919.2 [109.45s]      	      0 [100.05s]      	5.34498 [162.85s]      	-2.26066 [114.9s]      	428.154 [162.85s]      
   Mean      	1035.14      	  40244      	38215.4      	 3745.6      	3756.76      	      0      	4.97069      	-3.56739      	337.372      
Standard deviation      	302.727      	2182.83      	704.928      	12104.3      	12095.3      	      0      	0.246568      	0.914033      	58.7515      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	4.34343e-11      	7.62483e-11      	-7.56135e-11      	9.10195e-12      	9.02214e-12      	      0      	-3.97893      	-2.67379      	-1.63103e-12      
   0.05      	1373.99      	131.889      	 112.14      	69.1808      	69.2479      	      0      	-3.9708      	-2.67195      	3.04822      
    0.1      	499.031      	143.192      	142.514      	-12.1757      	-12.0499      	      0      	-3.94485      	-2.66817      	2.61744      
   0.15      	 694.82      	99.8604      	99.6562      	4.19084      	4.27675      	      0      	-3.90281      	-2.66533      	2.06104      
    0.2      	1155.59      	307.478      	306.625      	17.6853      	17.9127      	      0      	-3.84434      	-2.66101      	5.59854      
   0.25      	239.354      	671.146      	669.708      	-32.1433      	-31.837      	      0      	-3.77257      	-2.65479      	6.32037      
    0.3      	1297.98      	960.402      	958.074      	51.2013      	51.5775      	      0      	-3.69749      	-2.64899      	 9.7407      
   0.35      	412.806      	1294.75      	 1293.4      	-15.0006      	-14.6242      	      0      	-3.62279      	-2.6474      	8.30163      
    0.4      	883.006      	1734.24      	 1732.1      	39.5856      	40.0385      	      0      	-3.54977      	-2.65406      	11.2474      
   0.45      	922.137      	2171.35      	2168.74      	 47.684      	48.1362      	      0      	-3.47534      	-2.66272      	11.4072      
    0.5      	 427.78      	2668.23      	2665.67      	3.65685      	  4.094      	      0      	-3.39831      	-2.67246      	10.1025      
   0.55      	1192.61      	3082.78      	3078.02      	105.333      	105.771      	      0      	-3.3187      	-2.68712      	12.3471      
    0.6      	392.091      	3525.15      	3521.15      	66.8441      	67.1621      	      0      	-3.23799      	-2.7028      	 8.7499      
   0.65      	994.389      	3857.61      	3849.36      	187.387      	187.787      	      0      	-3.16464      	-2.71739      	13.2534      
    0.7      	738.227      	3963.98      	 3955.4      	195.092      	195.324      	      0      	-3.0987      	-2.72972      	9.55839      
   0.75      	 599.31      	 4171.8      	4161.92      	221.855      	222.156      	      0      	-3.03775      	-2.74056      	11.7376      
    0.8      	1055.95      	4308.47      	4292.42      	320.475      	320.835      	      0      	-2.98324      	-2.75095      	15.2548      
   0.85      	427.119      	4449.52      	4433.33      	325.849      	326.173      	      0      	-2.93745      	-2.75781      	14.5232      
    0.9      	1034.32      	4641.78      	4614.23      	462.463      	 462.99      	      0      	-2.90273      	-2.75907      	22.1751      
   0.95      	599.808      	4759.91      	4728.16      	 508.07      	508.572      	      0      	-2.8785      	-2.75657      	22.5839      
      1      	754.713      	4903.39      	4855.17      	651.668      	652.355      	      0      	-2.86565      	-2.75532      	29.9666      
