# Sensor: Sensor Sea      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:19      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      
Time [s]      	Surface elevation (origin)      [      m      ]      	Dynamic pressure (origin)      [   k Pa      ]      
----------	----------	----------      
    Min      	 -0.658 [534.4s]      	-6.62635 [534.4s]      
    Max      	  0.658 [666.5s]      	6.62635 [666.5s]      
   Mean      	-8.5164e-05      	-0.000857639      
Standard deviation      	0.465437      	4.68716      
----------	----------	----------      
      0      	      0      	      0      
   0.05      	0.0258136      	0.259955      
    0.1      	0.0515875      	0.519509      
   0.15      	0.0772819      	0.778264      
    0.2      	0.102857      	1.03582      
   0.25      	0.128274      	1.29178      
    0.3      	0.153494      	1.54575      
   0.35      	0.178477      	1.79735      
    0.4      	0.203186      	2.04617      
   0.45      	0.227582      	2.29185      
    0.5      	0.251627      	2.53399      
   0.55      	0.275285      	2.77224      
    0.6      	0.298519      	3.00622      
   0.65      	0.321293      	3.23557      
    0.7      	0.343573      	3.45993      
   0.75      	0.365324      	3.67897      
    0.8      	0.386512      	3.89235      
   0.85      	0.407105      	4.09973      
    0.9      	0.427072      	 4.3008      
   0.95      	0.446381      	4.49525      
      1      	0.465002      	4.68278      
   1.05      	0.482908      	 4.8631      
    1.1      	0.50007      	5.03593      
   1.15      	0.516463      	5.20101      
    1.2      	0.53206      	5.35808      
   1.25      	0.546838      	 5.5069      
    1.3      	0.560774      	5.64725      
   1.35      	0.573847      	5.77889      
    1.4      	0.586036      	5.90164      
   1.45      	0.597323      	6.01531      
    1.5      	0.60769      	6.11971      
   1.55      	0.617122      	6.21469      
    1.6      	0.625603      	6.30011      
   1.65      	0.633122      	6.37582      
    1.7      	0.639665      	6.44172      
   1.75      	0.645224      	 6.4977      
    1.8      	0.64979      	6.54367      
   1.85      	0.653354      	6.57957      
    1.9      	0.655913      	6.60534      
   1.95      	0.657463      	6.62094      
      2      	  0.658      	6.62635      
   2.05      	0.657523      	6.62156      
    2.1      	0.656035      	6.60657      
   2.15      	0.653536      	 6.5814      
    2.2      	0.650032      	6.54611      
   2.25      	0.645526      	6.50074      
    2.3      	0.640027      	6.44536      
   2.35      	0.633542      	6.38005      
    2.4      	0.626082      	6.30492      
   2.45      	0.617658      	6.22009      
    2.5      	0.608283      	6.12568      
   2.55      	0.597971      	6.02184      
    2.6      	0.586739      	5.90872      
   2.65      	0.574603      	5.78651      
    2.7      	0.561583      	5.65539      
   2.75      	0.547698      	5.51556      
    2.8      	0.53297      	5.36725      
   2.85      	0.517421      	5.21066      
    2.9      	0.501076      	5.04606      
   2.95      	0.483959      	4.87368      
      3      	0.466097      	4.69381      
   3.05      	0.447518      	 4.5067      
    3.1      	0.428249      	4.31266      
   3.15      	0.408321      	4.11198      
    3.2      	0.387765      	3.90496      
   3.25      	0.366611      	3.69194      
    3.3      	0.344893      	3.47323      
   3.35      	0.322644      	3.24917      
    3.4      	0.299898      	3.02011      
   3.45      	0.276691      	 2.7864      
    3.5      	0.253058      	 2.5484      
   3.55      	0.229034      	2.30648      
    3.6      	0.204659      	2.06101      
   3.65      	0.179968      	1.81236      
    3.7      	  0.155      	1.56092      
   3.75      	0.129794      	1.30708      
    3.8      	0.104387      	1.05123      
   3.85      	0.0788202      	0.793755      
    3.9      	0.0531318      	0.535061      
   3.95      	0.0273616      	0.275543      
      4      	0.00154921      	0.0156013      
   4.05      	-0.0242655      	-0.244365      
    4.1      	-0.0500429      	-0.503954      
   4.15      	-0.0757432      	-0.762768      
    4.2      	-0.101327      	-1.02041      
   4.25      	-0.126755      	-1.27648      
    4.3      	-0.151987      	-1.53058      
   4.35      	-0.176986      	-1.78233      
    4.4      	-0.201712      	-2.03133      
   4.45      	-0.226127      	-2.2772      
    4.5      	-0.250195      	-2.51957      
   4.55      	-0.273877      	-2.75806      
    4.6      	-0.297137      	-2.99231      
   4.65      	-0.31994      	-3.22194      
    4.7      	-0.342251      	-3.44662      
   4.75      	-0.364034      	-3.66599      
    4.8      	-0.385257      	-3.87971      
   4.85      	-0.405887      	-4.08746      
    4.9      	-0.425892      	-4.28892      
   4.95      	-0.445241      	-4.48378      
      5      	-0.463905      	-4.67173      
   5.05      	-0.481854      	-4.85249      
    5.1      	-0.499062      	-5.02578      
   5.15      	-0.515501      	-5.19133      
    5.2      	-0.531147      	-5.34889      
   5.25      	-0.545975      	-5.49821      
    5.3      	-0.559962      	-5.63907      
   5.35      	-0.573087      	-5.77124      
    5.4      	-0.58533      	-5.89453      
   5.45      	-0.596671      	-6.00875      
    5.5      	-0.607094      	-6.11371      
   5.55      	-0.616583      	-6.20926      
    5.6      	-0.625122      	-6.29525      
   5.65      	-0.632698      	-6.37155      
    5.7      	-0.6393      	-6.43804      
   5.75      	-0.644919      	-6.49462      
    5.8      	-0.649544      	-6.5412      
   5.85      	-0.653169      	-6.5777      
    5.9      	-0.655788      	-6.60408      
   5.95      	-0.657398      	-6.62029      
      6      	-0.657996      	-6.62631      
   6.05      	-0.657581      	-6.62213      
    6.1      	-0.656153      	-6.60775      
   6.15      	-0.653715      	-6.5832      
    6.2      	-0.65027      	-6.54851      
   6.25      	-0.645825      	-6.50374      
    6.3      	-0.640385      	-6.44896      
   6.35      	-0.633959      	-6.38425      
    6.4      	-0.626557      	-6.30971      
   6.45      	-0.61819      	-6.22545      
    6.5      	-0.608872      	-6.13161      
   6.55      	-0.598616      	-6.02833      
    6.6      	-0.587438      	-5.91577      
   6.65      	-0.575356      	-5.7941      
    6.7      	-0.562389      	-5.66351      
   6.75      	-0.548555      	-5.5242      
    6.8      	-0.533877      	-5.37638      
   6.85      	-0.518377      	-5.22029      
    6.9      	-0.502079      	-5.05616      
   6.95      	-0.485007      	-4.88424      
      7      	-0.467189      	-4.70481      
   7.05      	-0.448652      	-4.51813      
    7.1      	-0.429424      	-4.32449      
   7.15      	-0.409535      	-4.1242      
    7.2      	-0.389015      	-3.91756      
   7.25      	-0.367897      	-3.70488      
    7.3      	-0.346212      	-3.48651      
   7.35      	-0.323993      	-3.26276      
    7.4      	-0.301277      	-3.03399      
   7.45      	-0.278096      	-2.80055      
    7.5      	-0.254487      	-2.5628      
   7.55      	-0.230486      	-2.3211      
    7.6      	-0.206131      	-2.07583      
   7.65      	-0.181458      	-1.82736      
    7.7      	-0.156505      	-1.57608      
   7.75      	-0.131312      	-1.32237      
    7.8      	-0.105917      	-1.06663      
   7.85      	-0.080358      	-0.809241      
    7.9      	-0.0546758      	-0.55061      
   7.95      	-0.0289094      	-0.29113      
      8      	-0.00309842      	-0.0312024      
   8.05      	0.0227173      	0.228773      
    8.1      	0.048498      	0.488397      
   8.15      	0.0742041      	0.747268      
    8.2      	0.0997959      	1.00499      
   8.25      	0.125234      	1.26116      
    8.3      	0.150479      	 1.5154      
   8.35      	0.175493      	1.76729      
    8.4      	0.200237      	2.01647      
   8.45      	0.224672      	2.26255      
    8.5      	0.248761      	2.50514      
   8.55      	0.272467      	2.74387      
    8.6      	0.295754      	2.97838      
   8.65      	0.318586      	 3.2083      
    8.7      	0.340927      	3.43328      
   8.75      	0.362743      	3.65298      
    8.8      	  0.384      	3.86705      
   8.85      	0.404667      	4.07517      
    8.9      	0.42471      	4.27702      
   8.95      	0.444099      	4.47228      
      9      	0.462805      	4.66065      
   9.05      	0.480798      	4.84185      
    9.1      	0.498051      	 5.0156      
   9.15      	0.514537      	5.18162      
    9.2      	0.530231      	5.33966      
   9.25      	0.545109      	5.48949      
    9.3      	0.559147      	5.63086      
   9.35      	0.572324      	5.76356      
    9.4      	0.584621      	5.88739      
   9.45      	0.596017      	6.00216      
    9.5      	0.606495      	6.10768      
   9.55      	0.61604      	 6.2038      
    9.6      	0.624636      	6.29037      
   9.65      	0.632271      	6.36725      
    9.7      	0.638932      	6.43433      
   9.75      	0.644609      	6.49151      
    9.8      	0.649294      	6.53869      
   9.85      	0.65298      	 6.5758      
    9.9      	0.65566      	6.60279      
   9.95      	0.65733      	6.61961      
     10      	0.657989      	6.62624      
  10.05      	0.657634      	6.62267      
   10.1      	0.656267      	 6.6089      
  10.15      	0.653889      	6.58496      
   10.2      	0.650505      	6.55088      
  10.25      	0.646119      	6.50671      
   10.3      	0.640739      	6.45253      
  10.35      	0.634372      	6.38841      
   10.4      	0.627028      	6.31446      
  10.45      	0.618719      	6.23078      
   10.5      	0.609457      	6.13751      
  10.55      	0.599257      	6.03479      
   10.6      	0.588135      	5.92278      
  10.65      	0.576107      	5.80165      
   10.7      	0.563191      	5.67159      
  10.75      	0.549409      	 5.5328      
   10.8      	0.534781      	5.38549      
  10.85      	0.51933      	5.22988      
   10.9      	0.503079      	5.06623      
  10.95      	0.486053      	4.89477      
     11      	0.468279      	4.71578      
  11.05      	0.449784      	4.52953      
   11.1      	0.430597      	 4.3363      
  11.15      	0.410746      	 4.1364      
   11.2      	0.390264      	3.93013      
  11.25      	0.36918      	3.71781      
   11.3      	0.347528      	3.49976      
  11.35      	0.325341      	3.27633      
   11.4      	0.302653      	3.04785      
  11.45      	0.279499      	2.81468      
   11.5      	0.255915      	2.57718      
  11.55      	0.231937      	2.33571      
   11.6      	0.207601      	2.09064      
  11.65      	0.182946      	1.84235      
   11.7      	0.15801      	1.59123      
  11.75      	0.13283      	1.33765      
   11.8      	0.107445      	1.08202      
  11.85      	0.0818954      	0.824724      
   11.9      	0.0562195      	0.566155      
  11.95      	0.030457      	0.306716      
     12      	0.0046476      	0.0468035      
  12.05      	-0.0211689      	-0.213181      
   12.1      	-0.0469529      	-0.472837      
  12.15      	-0.0726645      	-0.731765      
   12.2      	-0.0982643      	-0.989566      
  12.25      	-0.123713      	-1.24584      
   12.3      	-0.148971      	-1.5002      
  12.35      	 -0.174      	-1.75225      
   12.4      	-0.19876      	-2.00161      
  12.45      	-0.223215      	-2.24788      
   12.5      	-0.247326      	-2.49069      
  12.55      	-0.271056      	-2.72966      
   12.6      	-0.294369      	-2.96443      
  12.65      	-0.317229      	-3.19464      
   12.7      	-0.339601      	-3.41993      
  12.75      	-0.361449      	-3.63995      
   12.8      	-0.382741      	-3.85437      
  12.85      	-0.403444      	-4.06286      
   12.9      	-0.423525      	-4.26509      
  12.95      	-0.442955      	-4.46075      
     13      	-0.461702      	-4.64955      
  13.05      	-0.479739      	-4.83119      
   13.1      	-0.497037      	-5.00539      
  13.15      	-0.51357      	-5.17188      
   13.2      	-0.529312      	-5.33041      
  13.25      	-0.544239      	-5.48073      
   13.3      	-0.558329      	-5.62262      
  13.35      	-0.571558      	-5.75585      
   13.4      	-0.583908      	-5.88021      
  13.45      	-0.595359      	-5.99553      
   13.5      	-0.605893      	-6.10161      
  13.55      	-0.615494      	-6.1983      
   13.6      	-0.624147      	-6.28545      
  13.65      	-0.63184      	-6.36291      
   13.7      	-0.63856      	-6.43059      
  13.75      	-0.644297      	-6.48836      
   13.8      	-0.649041      	-6.53614      
  13.85      	-0.652787      	-6.57386      
   13.9      	-0.655527      	-6.60145      
  13.95      	-0.657258      	-6.61889      
     14      	-0.657978      	-6.62613      
  14.05      	-0.657684      	-6.62317      
   14.1      	-0.656377      	-6.61002      
  14.15      	-0.654061      	-6.58668      
   14.2      	-0.650737      	-6.55321      
  14.25      	-0.646411      	-6.50965      
   14.3      	-0.64109      	-6.45606      
